opd_date;vehicle_id;event_no;meters;act_dep_time;nom_dep_time;nom_end_time;act_end_time;line_id;trip_id;pattern_id;pattern_direction;trip_type;pattern_quality;block_id;passenger_data;time_grp_id;is_additional_trip
30/12/2016;1000110;1729646104;40241;59328;59328;-1;61719;31;;2042534;Outbound;0;96;31098;;;1
30/12/2016;1000110;1729646167;56587;62100;62100;-1;64596;31;;2313183;Inbound;0;27;31070;;;1
30/12/2016;1000113;1729646219;46534;49156;46800;52489;51797;16;1896490;1005952;Outbound;0;55;1712128;;1886349;0
30/12/2016;1000113;1729646279;58590;52924;52800;52800;53028;16;2798251;202;;3;100;1712128;;2789027;0
30/12/2016;1000113;1729646282;59318;53296;53280;59064;59335;16;1896492;1885243;Inbound;0;98;1712128;;1886403;0
30/12/2016;1000113;1729646386;81915;59951;59760;64657;66130;16;1896493;1005952;Outbound;0;100;1712128;;1886356;0
30/12/2016;1000113;1729646487;105240;66332;65880;65880;66464;16;2798252;202;;3;100;1712128;;2796185;0
30/12/2016;1000113;1729646491;105973;66495;66000;71554;71565;16;1896495;1885243;Inbound;0;100;1712128;;1886415;0
30/12/2016;1000113;1729646595;128574;72007;72000;76861;76282;16;1896496;1005952;Outbound;0;100;1712128;;1886369;0
30/12/2016;1000113;1729646692;151912;77935;76920;76920;78010;16;2798253;202;;3;100;1712128;;2794088;0
30/12/2016;1000113;1729646695;152627;78017;78000;82511;81753;16;1896498;1885243;Inbound;0;100;1712128;;1886410;0
30/12/2016;1000113;1729646783;175233;84618;84600;86119;85978;16;1931429;1005953;Outbound;0;100;1712128;;1930990;0
30/12/2016;1000113;1729646830;186935;85978;86460;86820;85978;16;2798254;222;;4;50;1712128;;2702864;0
30/12/2016;1000115;1729867407;16076;56426;56400;59924;60417;41;1750339;1003967;Inbound;0;94;1711413;;17;0
30/12/2016;1000115;1729867483;35306;60584;60300;63629;64262;41;1750340;1003963;Outbound;0;100;1711413;;17;0
30/12/2016;1000115;1729867552;53543;64262;63120;63120;64288;41;1792068;5;;3;100;1711413;;1784747;0
30/12/2016;1000115;1729867555;53740;64511;64200;67963;68273;41;1750342;1065176;Inbound;0;100;1711413;;16;0
30/12/2016;1000115;1729867638;73706;68295;68100;68280;68295;41;2671878;6;;4;50;1711413;;1786154;0
30/12/2016;1000116;1729646850;12879;25216;25200;28576;28721;16;1897578;1885243;Inbound;0;100;1712156;;1886394;0
30/12/2016;1000116;1729646940;35235;30637;30600;35139;35448;16;1897579;1005952;Outbound;0;100;1712156;;1886358;0
30/12/2016;1000116;1729647041;58576;35928;35460;35460;36008;16;2803114;202;;3;100;1712156;;2793966;0
30/12/2016;1000116;1729647044;59304;36035;36000;40928;42100;16;1897581;1885243;Inbound;0;100;1712156;;1886409;0
30/12/2016;1000116;1729647135;81870;42250;42300;47989;48071;16;1897582;1005952;Outbound;0;98;1712156;;1886349;0
30/12/2016;1000116;1729647244;105196;48810;48300;48300;48911;16;2803115;202;;3;100;1712156;;2789027;0
30/12/2016;1000116;1729647247;105923;48962;48960;54524;54653;16;1897584;1885243;Inbound;0;98;1712156;;1886406;0
30/12/2016;1000116;1729647351;128489;55452;55440;60887;59822;16;1897585;1005952;Outbound;0;61;1712156;;1886360;0
30/12/2016;1000117;1729867666;2052;34375;34200;36831;37130;41;1732361;1003963;Outbound;0;94;1711024;;14;0
30/12/2016;1000117;1729867724;19690;37130;36900;36900;37157;41;1796461;5;;3;100;1711024;;1785286;0
30/12/2016;1000117;1729867727;19794;37808;37800;41899;41457;41;1732363;1065176;Inbound;0;100;1711024;;14;0
30/12/2016;1000117;1729867800;39803;41793;41700;44820;45127;41;1732364;1009919;Outbound;0;93;1711024;;14;0
30/12/2016;1000117;1729867884;59506;45127;44880;44880;45149;41;1796462;5;;3;100;1711024;;1785286;0
30/12/2016;1000117;1729867887;59627;45604;45600;49506;49197;41;1732366;1065176;Inbound;0;100;1711024;;15;0
30/12/2016;1000117;1729867959;79678;50758;50400;53762;54873;41;1756333;1003963;Outbound;0;94;1712507;;16;0
30/12/2016;1000117;1729868031;97235;54874;53640;53640;54902;41;1802453;5;;3;100;1712507;;1786862;0
30/12/2016;1000117;1729868034;97428;55047;54600;58124;58220;41;1756335;1003967;Inbound;0;83;1712507;;17;0
30/12/2016;1000117;1729868095;114112;58809;58800;62129;62811;41;1756336;1003963;Outbound;0;94;1712507;;17;0
30/12/2016;1000117;1729868160;131736;62812;61620;61620;63137;41;1802454;5;;3;100;1712507;;1784747;0
30/12/2016;1000117;1729868164;131918;63168;63000;66763;66868;41;1756338;1065176;Inbound;0;100;1712507;;16;0
30/12/2016;1000117;1729868239;151877;67194;67200;70529;69998;41;1756339;1003963;Outbound;0;100;1712507;;17;0
30/12/2016;1000117;1729868305;170143;69998;70020;70020;70027;41;1802455;5;;3;100;1712507;;1784747;0
30/12/2016;1000117;1729868308;170279;71305;71400;74645;74039;41;1756341;1003967;Inbound;0;100;1712507;;18;0
30/12/2016;1000117;1729868375;190202;74121;75000;75180;74121;41;2671455;6;;4;50;1712507;;1796874;0
30/12/2016;1000118;1729647471;17421;38340;36600;37500;38340;41;1802451;12;;2;50;1712507;;1802450;0
30/12/2016;1000118;1729647473;17421;38381;38400;42121;41937;41;1756329;1003967;Inbound;0;100;1712507;;15;0
30/12/2016;1000118;1729647549;37304;42274;42300;45599;45478;41;1756330;1003963;Outbound;0;100;1712507;;15;0
30/12/2016;1000118;1729647621;55613;45478;45180;45180;45532;41;1802452;5;;3;100;1712507;;1785288;0
