measure_id;trip_id;line_code;pattern_long_name;point_first;point_last;point_first_seq_no;point_last_seq_no;event_no;regulation_kilometres
484981385182216661;923270;4;00041001;1051593;1013720;34;60;1729952443;-9.393
484981385182289011;2415880;39;039A0001;1086403;7588;0;23;;7.221
484981385182215874;1728468;26;00660001;1229340;1086381;0;23;;9.745
484981385182523167;1753242;75;00750001;1051575;1257986;0;77;;25.348
484981385182758369;1753245;75;00750001;1211618;1257986;56;77;;6.548
484981385183015537;1753248;75;00750001;1051575;2860;0;38;;13.522
484981385182854647;925860;13;00131002;1065007;1013720;84;89;;-2.901
484981385182216116;998535;39;00391001;1193061;1192988;0;78;1729791350;-26.941
484981385182032290;973525;4;00041001;1179021;1013720;0;60;1729803213;-21.005
484981385182289093;955452;4;00041001;1179021;1013720;0;60;;-21.005
484981385182683251;955847;75;00750001;1312020;1257986;55;77;;-6.955
484981385182216541;2095892;46A;046A1001;1258056;770;0;30;;10.392
484981385182922696;2456231;46A;046A1001;1258056;1009899;0;32;;10.95
484981385182021527;2247629;69;00681002;1001436;1013526;67;70;;1.223
484981385182021527;2247630;69;00680004;1013526;1001420;0;3;;1.345
484981385182021527;2247632;69;00681002;1001436;1013526;67;70;;1.223
484981385182021527;2247633;69;00680004;1013526;1001420;0;3;;1.345
484981385182021527;2247635;69;00681002;1001436;1013526;67;70;;1.223
484981385182021527;2247636;69;00680004;1013526;1001420;0;3;;1.345
484981385182021527;2247638;69;00681003;1001436;1013526;68;71;;1.223
484981385182021527;2247639;69;00680004;1013526;1001420;0;3;;1.345
484981385183224348;920227;33;00330001;6076;1005705;84;89;;-1.721
484981385183295950;1906176;4;00041001;1051426;1051426;59;59;;0
484981385182021833;2796423;7;00070006;1211580;1211584;51;54;;2.669
484981385182288776;990909;39;039A0001;1086403;1193090;0;72;1729951842;-28.647
484981385183329785;918804;75;00750001;1258100;1257986;71;77;;-1.663
484981385182363404;1844647;9;00090001;1136130;1258007;0;65;;20.637
484981385182757993;1735917;33A;033A0001;1005724;1005726;0;63;;29.574
484981385182523892;1747706;40;00400001;1537;1086458;24;79;;18.388
484981385182757599;1954062;40;00401001;1086345;4799;0;16;;6.475
484981385183071322;1954065;40;00401001;1086345;1193049;0;13;;5.282
484981385182981220;976029;27B;027B0001;1013613;1013720;0;43;1729790173;-16.77
484981385182289471;2294958;25;025A1002;1193060;1247139;0;39;;19.83
484981385183365530;995630;27B;027B0001;1510369;1013720;42;43;;-.134
484981385183071413;983841;31;00311002;1030279;2313167;0;54;1729646167;-16.448
484981385182465589;973496;1;00010001;1641;1086431;6;21;;-4.081
484981385182364016;2444522;27;00271001;1051594;2360;0;12;;3.757
484981385182021833;2803390;7;00070006;1211580;1211584;51;54;;2.669
484981385183211348;2803474;7;007A1002;1211661;1045900;0;63;;19.361
484981385182842473;1754787;75;00750001;1211618;1257986;56;77;;6.548
484981385182712837;905638;46A;046A0001;846;1005668;19;27;;-2.325
484981385183212237;1869737;76;00761001;2119;1193017;17;34;;7.626
484981385183212187;1902025;4;00040001;1013514;1179020;0;55;;20.653
484981385183372260;1902027;4;00041001;1179021;1051612;0;33;;10.527
484981385182627573;905867;41;041C1001;1004528;1003834;58;59;;-.542
484981385182757560;1723256;75;00750001;1211618;1257986;56;77;;6.548
484981385182981050;1723259;75;00750001;1211618;1257986;56;77;;6.548
484981385183329785;1723262;75;00750001;1258100;2036;71;76;;1.434
484981385183372387;1723266;75;00750001;1051575;1257986;0;77;;25.348
484981385182981666;931879;31;00311002;1030279;2313167;0;54;;-16.448
484981385182021833;2797673;7;00070006;1211580;1211584;51;54;;2.669
484981385182021833;2797675;7;00070006;1211580;1211584;51;54;;2.669
484981385182021833;2797677;7;00070006;1211580;1211584;51;54;;2.669
484981385182021833;2797684;7;00070007;1211580;1211584;51;54;;2.669
484981385182021833;2802455;7;00070006;1211580;1211584;51;54;;2.669
484981385182021833;2802457;7;00070006;1211580;1211584;51;54;;2.669
484981385182021833;2802459;7;00070006;1211580;1211584;51;54;;2.669
484981385182021833;2802466;7;00070007;1211580;1211584;51;54;;2.669
484981385182021833;;83;00831001;1136107;1013720;0;67;;24.002
484981385182506445;944244;65B;00651001;311001;2237085;83;84;;-.862
484981385183071630;984002;31;00320002;2313165;1013795;0;55;1729705062;-19.808
484981385183372201;1741329;40;00400001;1086376;4411;65;78;;3.705
484981385183372171;1952781;40;00401002;1086400;1193049;1;13;;3.724
484981385182363862;1900047;11;00111001;1211620;3031;0;18;;5.22
484981385182841723;1900051;11;00111001;10;1312067;46;67;;5.987
484981385182841723;1900052;11;00110001;1312067;1211620;0;60;;17.254
484981385182363795;1940847;1;00010001;1642;1086469;7;41;;9.857
484981385182628261;2241686;65B;065B1001;311001;311001;55;55;;0
484981385182841629;1743720;13;00131002;1086356;1136088;0;52;;19.279
484981385182922913;1743720;13;00131002;1086356;1136088;0;52;;-19.279
484981385182980962;1743720;13;00131002;1086356;1086334;0;4;;2.568
484981385182757628;1741022;79;079A0001;6023;1086392;29;32;;.787
484981385182757656;1741024;79;079A1001;1086492;1086385;0;31;;11.292
484981385182981109;1741029;79;079A0001;1086414;2909;21;27;;1.595
484981385182923082;1741031;79;079A1001;1086492;6021;0;4;;.936
484981385182981331;1741032;79;079A0001;6020;1086392;28;32;;1.01
484981385182923082;1741034;79;079A1001;1086492;6021;0;4;;.936
484981385182981331;1741038;79;079A0001;6020;1086392;28;32;;1.01
484981385182923082;1741040;79;079A1001;1086492;6021;0;4;;.936
484981385182981331;1741041;79;079A0001;6020;1086392;28;32;;1.01
484981385182923082;1741043;79;079A1001;1086492;6021;0;4;;.936
484981385183015263;977235;13;00130001;1065022;1086356;31;90;1729611707;-20.351
484981385183372046;967292;27;00270005;1013614;1030210;0;39;1729957489;-11.727
484981385182923257;977300;40;00400001;1528357;1065022;0;33;1729611682;-9.852
484981385182981272;;40;00400001;1003812;1086458;34;79;1729611682;15.609
