depot;vehicle_id;vehicle_short_name;opd_date
CF;1000110;33416;30/12/2016
HN;1000111;33418;30/12/2016
SL;1000113;33420;30/12/2016
SL;1000115;33422;30/12/2016
SL;1000116;33424;30/12/2016
SL;1000117;33426;30/12/2016
SL;1000118;33428;30/12/2016
PO;1000120;33430;30/12/2016
PO;1000122;33432;30/12/2016
PO;1000124;33434;30/12/2016
PO;1000126;33436;30/12/2016
PO;1000128;33438;30/12/2016
PO;1000130;33440;30/12/2016
PO;1000132;33442;30/12/2016
PO;1000134;33444;30/12/2016
PO;1000135;33446;30/12/2016
HN;1000136;33448;30/12/2016
PO;1000138;33450;30/12/2016
HN;1000140;33452;30/12/2016
HN;1000142;33454;30/12/2016
HN;1000144;33456;30/12/2016
HN;1000146;33458;30/12/2016
RD;1000148;33460;30/12/2016
SL;1000150;33462;30/12/2016
D1;1000152;33464;30/12/2016
D1;1000154;33466;30/12/2016
D1;1000156;33468;30/12/2016
RD;1000158;33470;30/12/2016
RD;1000160;33472;30/12/2016
RD;1000162;33474;30/12/2016
RD;1000164;33476;30/12/2016
RD;1000166;33478;30/12/2016
RD;1000168;33480;30/12/2016
PO;1000170;40002;30/12/2016
RD;1000171;33482;30/12/2016
PO;1000173;40004;30/12/2016
RD;1000174;33484;30/12/2016
PO;1000176;40006;30/12/2016
RD;1000177;33486;30/12/2016
PO;1000180;40008;30/12/2016
RD;1000181;33488;30/12/2016
PO;1000183;40010;30/12/2016
RD;1000184;33490;30/12/2016
HN;1000186;40012;30/12/2016
RD;1000187;33492;30/12/2016
HN;1000189;40014;30/12/2016
RD;1000190;33494;30/12/2016
PO;1000193;33496;30/12/2016
HN;1000195;40018;30/12/2016
HN;1000198;40020;30/12/2016
HN;1000201;40022;30/12/2016
HN;1000202;33502;30/12/2016
HN;1000204;40024;30/12/2016
HN;1000205;33504;30/12/2016
HN;1000208;33506;30/12/2016
HN;1000211;33508;30/12/2016
SL;1000213;40030;30/12/2016
HN;1000340;38072;30/12/2016
HN;1000343;38074;30/12/2016
CF;1000345;38076;30/12/2016
CF;1000348;38078;30/12/2016
CF;1000351;38080;30/12/2016
CF;1000354;38082;30/12/2016
CF;1000357;38084;30/12/2016
CF;1000360;38086;30/12/2016
CF;1000363;38088;30/12/2016
D1;1000366;38090;30/12/2016
D1;1000369;38092;30/12/2016
D1;1000372;38094;30/12/2016
D1;1000375;38096;30/12/2016
D1;1000377;38098;30/12/2016
D1;1000379;38100;30/12/2016
PO;1000381;24246;30/12/2016
PO;1000382;33212;30/12/2016
PO;1000389;33224;30/12/2016
HN;1000415;33274;30/12/2016
HN;1000417;33278;30/12/2016
HN;1000418;33280;30/12/2016
CF;1000420;33284;30/12/2016
CF;1000421;33286;30/12/2016
CD;1000422;33288;30/12/2016
CD;1000424;33292;30/12/2016
CD;1000425;33294;30/12/2016
CD;1000426;33296;30/12/2016
SL;1000428;33300;30/12/2016
SL;1000429;33302;30/12/2016
PO;1000431;33306;30/12/2016
PO;1000432;33308;30/12/2016
PO;1000433;33310;30/12/2016
PO;1000435;33314;30/12/2016
CF;1000436;33316;30/12/2016
RD;1000438;33320;30/12/2016
HN;1000440;33322;30/12/2016
HN;1000442;33324;30/12/2016
HN;1000443;33326;30/12/2016
D1;1000446;33330;30/12/2016
D1;1000447;33332;30/12/2016
SL;1000449;33336;30/12/2016
SL;1000451;33338;30/12/2016
SL;1000453;33340;30/12/2016
HN;1000454;33342;30/12/2016
CF;1000457;33346;30/12/2016
D1;1000458;33348;30/12/2016
CD;1000460;33352;30/12/2016
CD;1000461;33354;30/12/2016
CD;1000464;33358;30/12/2016
CD;1000465;33360;30/12/2016
PO;1000467;33364;30/12/2016
PO;1000468;33366;30/12/2016
PO;1000469;33368;30/12/2016
PO;1000471;33372;30/12/2016
HN;1000472;35002;30/12/2016
HN;1000474;35004;30/12/2016
PO;1000476;33376;30/12/2016
HN;1000478;33378;30/12/2016
HN;1000479;35008;30/12/2016
HN;1000481;35010;30/12/2016
PO;1000482;33382;30/12/2016
RD;1000483;33384;30/12/2016
D1;1000485;33388;30/12/2016
D1;1000489;33392;30/12/2016
D1;1000490;33394;30/12/2016
D1;1000492;33398;30/12/2016
CD;1000494;33400;30/12/2016
CD;1000496;33404;30/12/2016
CD;1000497;33406;30/12/2016
CD;1000499;33410;30/12/2016
CD;1000501;33412;30/12/2016
RD;1000503;33414;30/12/2016
D2;1000556;36001;30/12/2016
D2;1000558;36003;30/12/2016
D2;1000560;36005;30/12/2016
D2;1000562;36007;30/12/2016
D2;1000564;36009;30/12/2016
D2;1000566;36011;30/12/2016
D2;1000568;36013;30/12/2016
D2;1000570;36015;30/12/2016
D2;1000572;36017;30/12/2016
D2;1000574;36019;30/12/2016
D2;1000576;36021;30/12/2016
D2;1000578;36023;30/12/2016
D2;1000580;36025;30/12/2016
D2;1000582;36027;30/12/2016
D2;1000584;36029;30/12/2016
D2;1000586;36031;30/12/2016
D2;1000588;36033;30/12/2016
D2;1000590;36035;30/12/2016
PO;1000592;36037;30/12/2016
PO;1000596;36041;30/12/2016
PO;1000599;36045;30/12/2016
PO;1000603;36049;30/12/2016
PO;1000607;36053;30/12/2016
PO;1000609;36055;30/12/2016
PO;1000611;36057;30/12/2016
PO;1000613;36061;30/12/2016
PO;1000614;36063;30/12/2016
PO;1000615;36065;30/12/2016
PO;1000617;36069;30/12/2016
D2;1000639;28051;30/12/2016
PO;1000651;33023;30/12/2016
PO;1000665;33051;30/12/2016
PO;1000666;33053;30/12/2016
PO;1000672;33065;30/12/2016
PO;1000686;33093;30/12/2016
RD;1000694;38001;30/12/2016
SL;1000216;40032;30/12/2016
SL;1000218;40034;30/12/2016
PO;1000219;33514;30/12/2016
SL;1000220;40036;30/12/2016
SL;1000222;40038;30/12/2016
RD;1000223;33518;30/12/2016
SL;1000224;40040;30/12/2016
SL;1000226;40042;30/12/2016
D1;1000227;33522;30/12/2016
