opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
30/12/2016;484981385182758036;54479;15:07:59;TR05
30/12/2016;484981385182364016;39600;11:00:00;TR05
30/12/2016;484981385182841838;56585;15:43:05;TR05
30/12/2016;484981385182980962;60892;16:54:52;TR05
30/12/2016;484981385182980911;60861;16:54:21;TR05
30/12/2016;484981385182758178;54635;15:10:35;TR05
30/12/2016;484981385182363760;38235;10:37:15;TR05
30/12/2016;484981385182923317;60689;16:51:29;TR05
30/12/2016;484981385183212092;75595;20:59:55;TR05
30/12/2016;484981385182842504;58551;16:15:51;TR05
30/12/2016;484981385182216575;29681;08:14:41;TR05
30/12/2016;484981385182841629;55965;15:32:45;TR05
30/12/2016;484981385182523437;45790;12:43:10;TR05
30/12/2016;484981385182981481;61660;17:07:40;TR05
30/12/2016;484981385182216541;29474;08:11:14;TR05
30/12/2016;484981385182842473;58449;16:14:09;TR05
30/12/2016;484981385183372387;80977;22:29:37;TR05
30/12/2016;484981385182842014;57186;15:53:06;TR05
30/12/2016;484981385182757924;54000;15:00:00;TR05
30/12/2016;484981385182031735;18012;05:00:12;TR05
30/12/2016;484981385182758149;54629;15:10:29;TR05
30/12/2016;484981385182923374;60734;16:52:14;TR05
30/12/2016;484981385182288610;31331;08:42:11;TR05
30/12/2016;484981385182923199;60363;16:46:03;TR05
30/12/2016;484981385182841600;55960;15:32:40;TR05
30/12/2016;484981385182981036;60954;16:55:54;TR05
30/12/2016;484981385182923257;60534;16:48:54;TR05
30/12/2016;484981385182216116;28035;07:47:15;TR05
30/12/2016;484981385182216628;29854;08:17:34;TR05
30/12/2016;484981385183211954;74887;20:48:07;TR05
30/12/2016;484981385182289011;32693;09:04:53;TR05
30/12/2016;484981385183015569;63796;17:43:16;TR05
30/12/2016;484981385182758369;55256;15:20:56;TR05
30/12/2016;484981385182288582;31302;08:41:42;TR05
30/12/2016;484981385182758207;54670;15:11:10;TR05
30/12/2016;484981385182923285;60588;16:49:48;TR05
30/12/2016;484981385182758540;55542;15:25:42;TR05
30/12/2016;484981385182289219;33609;09:20:09;TR05
30/12/2016;484981385183015537;63714;17:41:54;TR05
