measure_id;trip_id;line_code;pattern_long_name;point_first;point_last;point_first_seq_no;point_last_seq_no;event_no;regulation_kilometres
484981385216013910;1725439;18;00181001;1311958;1311876;44;60;;5.025
484981385217475446;;18;00180001;1311970;1086418;0;64;;18.891
484981385216121878;2749721;83;00831001;154;1510369;44;66;;11.394
484981385217036990;2749729;83;00830001;1013514;1136107;0;66;;23.816
484981385217474698;2758006;83;083A1001;1136107;1352;0;23;;5.555
484981385216273845;2757999;83;083A0001;1013514;1136107;0;70;;23.531
484981385216111664;2757997;83;00831001;1192989;1013720;29;67;;16.023
484981385216249960;968740;83;00831001;1136089;1013720;62;67;;-5.785
484981385216121878;956511;83;00831001;154;1013720;44;67;;-11.528
484981385216202601;2029250;83;00831001;1258023;1510369;58;66;;7.097
484981385215935672;;83;00831001;1136107;1013720;0;67;;24.002
484981385216175386;2024656;83;00831001;4890;1510369;57;66;;7.434
484981385217474669;2752602;83;00831001;1192989;1013720;29;67;;16.023
484981385216273560;2752595;83;00830001;1013514;1136107;0;66;;23.816
484981385217296336;2760108;83;00831001;138;1510369;54;66;;8.55
484981385217296336;949685;83;00831001;138;1013720;54;67;;-8.684
484981385216178643;928748;83;00830001;1013514;1136107;0;66;1738990441;-23.816
484981385217475166;2764673;83;00831001;1136107;4528;0;21;;4.935
484981385216111694;2764664;83;00831001;1136107;1352;0;23;;5.555
484981385216175386;988960;83;00831001;4890;1013720;57;67;;-7.568
484981385216202601;973786;83;00831001;1258023;1013720;58;67;;-7.231
484981385216112153;2756505;83;00830001;1013514;1051568;0;28;;13.364
484981385216249960;2031599;83;00831001;1136089;1510369;62;66;;5.651
484981385215935768;2766040;83;00830001;1013514;185;0;26;;12.748
484981385215720111;958977;120;01201001;1258022;1257968;0;23;;-7.575
484981385216596854;1756160;120;01200001;1258088;1257963;0;25;;7.448
484981385215761471;1756144;120;01200001;1258088;1311893;0;1;;.252
484981385217122708;2757520;122;01220001;1001398;1193129;0;4;;1.469
484981385217290981;2751289;122;01220001;1001398;1001415;0;10;;3.386
484981385216597229;2755738;122;01220001;1001398;1001399;0;49;;14.979
484981385216597229;2755736;122;01221001;1311893;1001401;30;51;;6.686
484981385217201621;2755734;122;01220001;1001398;1051660;0;19;;5.982
484981385216051398;2751179;122;01221001;1001400;1435;0;11;;2.938
484981385217291111;2755598;122;01220001;1278;1001399;22;49;;7.317
484981385216273653;2754152;122;01220001;51;1001399;18;49;;9.151
484981385215761650;2754146;122;01221001;1001400;1381;0;15;;4.009
484981385216273653;2754154;122;01221001;1001400;1311893;0;30;;8.813
484981385216178577;2757862;123;01231001;35004;1001404;17;46;;8.295
484981385216013520;2752061;123;01231001;1001394;1001471;0;15;;3.84
484981385216013422;2752059;123;01230001;1001410;1001408;30;43;;3.573
484981385216013490;2760491;123;01230001;1001405;1378;0;18;;4.479
484981385216273403;2760765;123;01230001;1001405;1001400;0;4;;.966
484981385216273403;2760763;123;01231001;5149;1001404;39;46;;2.05
484981385217396198;2757362;123;01231001;35004;1001404;17;46;;8.295
484981385216112337;2757348;123;01230001;1001405;1378;0;18;;4.479
484981385216178260;2757346;123;01231001;1001399;1001404;41;46;;1.662
484981385215832538;2757344;123;01230001;1001405;1045893;0;5;;1.168
484981385217396259;2761136;123;01231001;1001394;1065018;0;16;;4.28
484981385217122506;2755345;123;01231001;35004;1001404;17;46;;8.295
484981385215761347;907501;25;025A1002;1193060;1247139;0;39;;-19.83
484981385215832215;2417266;25;025A0002;1229340;7588;0;5;;1.419
484981385217584381;934849;25;025B0002;1229340;1247116;0;6;;-2.067
484981385215832348;2417463;25;025B0002;1229340;7588;0;5;;1.419
484981385215719437;949937;25;025B1002;5164;1247139;15;39;1738722628;-14.84
484981385215719477;986813;25;025B1002;5164;1247139;15;39;1738916268;-14.84
484981385215719953;2424271;25;025A0002;1229340;1193118;0;40;;19.647
484981385215761737;2424260;25;025A0002;1229340;1193118;0;40;;19.647
484981385215761889;2426912;25;025A0002;1229340;1193118;0;40;;19.647
484981385215720136;987792;25;025A0002;1229340;1193118;0;40;1738964214;-19.647
484981385215719257;971253;25;025A0002;1229340;1193118;0;40;1738964037;-19.647
484981385215761374;2284931;25;025A1002;1193060;1247139;0;39;;19.83
484981385215761512;987667;25;025A0002;1229340;1193118;0;40;1738722673;-19.647
484981385215832879;2419099;25;025A1002;1193060;1086460;0;33;;17.341
484981385215761709;2419097;25;025A0002;1229340;1193118;0;40;;19.647
484981385215832879;2419095;25;025A1002;1193060;1247139;0;39;;19.83
484981385215832056;2421532;25;025A0002;1229340;7588;0;5;;1.419
484981385217584381;2409118;25;025B0002;1229340;7588;0;5;;1.419
484981385215761289;2779108;25;025A0002;1229340;7588;0;5;;1.419
484981385215832485;2428651;25;025B0002;1229340;7588;0;5;;1.419
484981385215719284;2428647;25;025A0002;1229340;1193118;0;40;;19.647
484981385215761847;931936;25;025A0002;1229340;1193118;0;40;;-19.647
484981385215875404;995319;25;025A1002;1193060;1247139;0;39;1738818310;-19.83
484981385215761818;2413472;25;025B0002;1229340;1086416;0;40;;21.811
484981385215720191;2777345;25;025B1003;1229362;1247139;0;30;;16.723
484981385215761240;965092;25;025A0002;1247116;1193118;6;40;1739784822;-17.58
484981385215719762;926098;25;025B1002;1193062;1247139;12;39;1739784709;-15.764
484981385215719502;994268;25;025B1002;5164;1247139;15;39;1738993188;-14.84
484981385215761790;949449;25;025B0002;1229340;1086416;0;40;1738993232;-21.811
484981385215761539;919662;25;025A0002;1229340;1193118;0;40;1738974230;-19.647
484981385215719579;2298159;25;025B1002;1086440;1247139;0;39;;20.841
484981385215761623;923720;25;025A0002;1229340;1193118;0;40;1739030910;-19.647
484981385216051783;1755710;26;00660001;1229340;1051612;0;4;;1.349
484981385216763273;1738949;26;066B0001;1229340;1229359;0;5;;1.582
484981385216597357;2292692;26;00661002;1229377;1229374;0;52;;26.348
484981385215719842;1753815;26;00260001;1229340;1229360;0;28;;10.775
484981385215875321;2294424;26;00661002;1229377;1229374;0;52;;26.348
484981385217623349;1744043;26;00660001;1229340;1051612;0;4;;-1.349
484981385216597846;1744043;26;00660001;1229340;1051612;0;4;;1.349
484981385216597817;2293841;26;00661002;2281405;1229374;48;52;;1.74
484981385216013549;1736224;26;00260001;1229340;1229360;0;28;;10.775
484981385217623313;2296404;26;00661002;1229355;1229374;11;52;;17.792
484981385216013950;903351;26;00260001;1229340;1229360;0;28;1739784754;-10.775
484981385215875211;999291;26;00661002;1229377;1229374;0;52;1738810369;-26.348
484981385216597261;2297468;26;066A1002;3997;1229374;3;45;;18.153
484981385215719655;1750448;26;00660001;1229340;1229359;0;5;;1.582
484981385215719801;903246;26;00260001;1229340;1229360;0;28;1738671018;-10.775
484981385216437197;2757549;27;077A0001;1051601;1051455;0;72;;24.026
484981385215578883;2750838;27;00270003;1051601;1045898;0;14;;4.609
484981385215578854;2750838;27;00270003;1001425;1051531;15;53;;-13.218
484981385215578818;2750838;27;00270003;1001425;1051531;15;53;;13.218
484981385216762810;2766213;27;077A1001;1051540;1051438;0;67;;23.887
484981385217589478;955942;27;00270004;1005740;1030210;39;40;;-.584
484981385216051308;2754787;27;00270004;1013614;1013482;0;18;;4.931
484981385217201955;2754141;27;00270004;1229361;1051531;41;90;;16.729
484981385217123111;2754141;27;00270004;1003895;1030210;27;40;;4.043
484981385217488172;2759483;27;00271001;311001;311001;46;46;;0
484981385217396319;2759483;27;00271001;1013655;1013614;47;87;;12.094
484981385216597049;2757492;27;00270004;1013614;1005740;0;39;;11.142
484981385216016430;959002;27;077A1001;1051539;1051438;66;67;;-.214
484981385215875460;2757129;27;077A1001;1051540;1051438;0;67;;23.887
484981385217488172;973648;27;00271001;311001;1013655;46;47;;-.768
484981385216016430;2764690;27;077A1001;1051539;1051539;66;66;;0
484981385217589478;2766070;27;00270004;1005740;1005740;39;39;;0
484981385216763691;2739064;130;01301002;1013539;1733;0;21;;5.847
484981385216552700;1720435;27B;027B0001;1013709;1510369;36;42;;5.619
484981385217201063;2314360;27B;027B1007;1013514;1251;0;17;;8.156
484981385216597553;1720918;27B;027B0001;1013613;1013720;0;43;;16.77
484981385216552700;969323;27B;027B0001;1013709;1013720;36;43;;-5.753
484981385217036383;1722600;27B;027B0001;1013613;672;0;12;;3.797
484981385216921900;978897;27B;027B0001;1013613;1231;0;28;;-8.951
484981385217290160;953671;14;00611001;1030207;1051611;0;47;1739053737;-14.863
484981385217202068;2525224;14;00611001;1030207;1051611;0;47;;14.863
484981385217475346;2525533;14;00611001;1258086;1051611;24;47;;8.283
484981385215875892;2522013;14;00140002;1003786;1005740;0;27;;7.114
484981385217475446;2519173;14;00141002;1188;1003786;64;72;;2.563
484981385215875715;992364;65B;00651003;1051635;2237085;0;76;1738675955;-31.64
484981385215875715;949749;65B;00650003;1393035;1051436;1;73;1738675881;-30.387
484981385217825568;2240381;65B;065B1001;311001;311001;55;55;;0
484981385217825568;952157;65B;065B1001;311001;2237085;55;56;;-.862
484981385217201303;2348091;65B;00651003;1051635;1051614;0;48;;21.998
484981385216649124;984017;7;007A1001;1045900;1311978;63;64;;-1.262
484981385216649124;2800759;7;007A1001;1045900;1045900;63;63;;0
484981385217357016;2787218;7;007A1001;1051612;1045900;61;63;;1.426
484981385217357016;981839;7;007A1001;1051612;1311978;61;64;;-2.688
484981385216922210;948082;7;007A1001;1051549;1311978;35;64;1738945361;-10.019
484981385216112443;;7;00070006;1311978;1051417;0;27;;9.145
484981385216111545;940592;7;00070006;1211669;2786719;28;55;;-12.11
484981385215936222;978010;7;00070006;1311978;2786719;0;55;1738844717;-21.604
484981385216922098;998371;7;007A1001;1211661;1311978;0;64;1739068303;-20.623
484981385216013639;1726978;75;00750001;1211618;1257986;56;77;;6.548
484981385216921538;1750972;75;00750001;1312036;1257986;28;77;;14.369
484981385217290567;1717804;75;00750002;1211618;1257986;65;86;;6.548
484981385216013810;1717793;75;00751001;1257986;1051467;0;83;;-25.552
484981385216013737;1717793;75;00751001;1257986;1051467;0;83;;25.552
484981385216438070;1751917;75;00750001;1211618;1257986;56;77;;6.548
484981385217396378;1744755;75;00750001;1051575;1257986;0;77;;-25.348
484981385217395934;1744755;75;00750001;1051575;1257986;0;77;;25.348
484981385217122289;2413305;140;01400003;1065034;1051634;0;18;;7.99
484981385217395749;2411482;140;01401003;1013533;7582;0;16;;4.343
484981385217201720;2411479;140;01400003;1065003;1013467;26;43;;4.566
