point_id;point_code;short_name;long_name;stop_id;point_role;gps_longitude;gps_latitude;valid_from;valid_until
1086321;STJMHP04;01942;James Street St. James Hospital;7610;ST;-6.294611;53.342252;28/07/2010;01/01/2036
1030251;FELTHA02;06312;Holywell Link Road;10700;ST;-6.21139;53.443462;10/08/2010;01/01/2036
1013471;FRJCRR02;00788;Forest Road Rathingle Cottages;8092;ST;-6.240955;53.445847;28/07/2010;01/01/2036
1030289;CRCHRD01;00584;Howth Road Methodist Church;1690;ST;-6.105185;53.389894;28/07/2010;01/01/2036
1051473;TLGHFB02;02553;Tallaght Road M50 Flyover;8220;ST;-6.333788;53.28968;28/07/2010;01/01/2036
1009881;RTBLRD01;03884;Rathbeale Road Pine Grove Park;6795;ST;-6.234735;53.464599;28/07/2010;01/01/2036
1051475;MERNVH01;00478;Merrion Road St. Vincent's Hospital;5380;ST;-6.211264;53.318107;28/07/2010;01/01/2036
1086475;INCKCC02;02640;Inchicore Road Kilmainham Jail;10130;ST;-6.309997;53.342088;28/07/2010;01/01/2036
1045888;CMLNBD01;02187;Crumlin Road Iveagh Grounds;2300;ST;-6.307261;53.328038;28/07/2010;01/01/2036
1013674;CAPAHP02;01579;Cappagh Road Cappagh Hospital;1430;ST;-6.323713;53.393521;10/08/2010;01/01/2036
1136112;DBTENS02;03723;Donabate National School;2500;ST;-6.135407;53.492557;01/01/1970;01/01/2036
1136080;NBGRBG01;03746;Hearse Road Newbridge House;5940;ST;-6.176817;53.48172;01/01/1970;01/01/2036
1136098;NBGRBG02;03719;Hearse Road Newbridge House;5940;ST;-6.177236;53.481908;01/01/1970;01/01/2036
1136100;NBGRFL01;03745;Hearse Road Newbridge House;5950;ST;-6.163449;53.480216;01/01/1970;01/01/2036
1136128;AMGHRD01;02467;Cashel Road Health Centre;170;ST;-6.303915;53.319232;01/01/1970;01/01/2036
1051426;BMUNRD02;00323;Ballymun Road Silloge Golf Club;10460;ST;-6.265437;53.41292;10/08/2010;01/01/2036
1001458;THOMFS01;02001;High Street St. Audeon's Church;8360;ST;-6.273649;53.343307;09/09/2010;01/01/2036
1013481;NTLYLN02;02088;Nutley Lane St. Vincent's Hospital;6200;ST;-6.216074;53.317293;19/09/2010;01/01/2036
1193050;ADMSTR04;02225;Adamstown Road St. Patrick's Church;60;ST;-6.450081;53.349471;01/01/1970;01/01/2036
1193138;WESTMT02;04820;Westmanstown Garda Club;8720;ST;-6.439161;53.379587;01/01/1970;01/01/2036
1193088;STBTER02;01648;Stoneybatter Arbour Place;7930;ST;-6.282784;53.351088;01/01/1970;01/01/2036
1193089;BSWNHP02;02294;Mill Road Blanchardstown Hospital;1050;ST;-6.370307;53.389838;01/01/1970;01/01/2036
1193016;STBTER01;01713;Manor Street Stanhope Street Convent;7930;ST;-6.283309;53.351906;01/01/1970;01/01/2036
1045902;CKSTDO01;02379;Cork Street Marion Villas;9280;ST;-6.284633;53.337836;31/10/2010;01/01/2036
1193117;ASTRBT02;01666;Navan Road Ashtown Roundabout;210;ST;-6.330579;53.371586;01/01/1970;01/01/2036
1165355;GRENIH02;06003;Boot Road Green Isle Hotel;3440;ST;-6.403648;53.309992;31/10/2010;01/01/2036
1064609;DBRK1:2-1;DBRK1:2-1;DBRK1:2-1;;DT;-6.231275;53.31729;31/10/2010;01/01/2036
1165376;KCRBRY02;03383;Nangor Road Kilcarberry;4080;ST;-6.445485;53.318478;31/10/2010;01/01/2036
1136136;DBTESN02;03720;Donabate Railway Station;2510;ST;-6.151183;53.485372;31/10/2010;01/01/2036
1064617;DBRK1:2-2;DBRK1:2-2;DBRK1:2-2;;DT;-6.232604;53.318471;31/10/2010;01/01/2036
1193166;WESTMT01;04826;Westmanstown Garda Club;8720;ST;-6.439346;53.379545;01/01/1970;01/01/2036
1211659;WTONQT01;01476;Wolfe Tone Quay Ellis Street;5340;ST;-6.284664;53.347003;01/01/1970;01/01/2036
1193076;DBRK1:2;DBRK1:2;DBRK1:2;;DT;-6.2319395;53.3178805;21/11/2010;01/01/2036
1229373;FHILRD02;02214;Lucan Road Clarion Hotel;3130;ST;-6.399918;53.356089;01/01/1970;01/01/2036
1001397;PHIB:2;PHIB:2;PHIB:2;;DT;-6.2744645;53.3533905;21/11/2010;01/01/2036
1030201;REND:2;REND:2;REND:2;;DT;-6.23380966666667;53.34206;21/11/2010;01/01/2036
1229334;STLMHP02;02215;Lucan Road St. Loman's Hospital;7690;ST;-6.409277;53.358303;01/01/1970;01/01/2036
1229351;SALSCG02;03912;Maynooth Road Salesian College;7180;ST;-6.551695;53.359074;01/01/1970;01/01/2036
1229353;CTONRD01;03983;Maynooth Road Carton House;1490;ST;-6.552681;53.378015;01/01/1970;01/01/2036
1003792;HARS:2;HARS:2;HARS:2;;DT;-6.2777205;53.4166635;21/11/2010;01/01/2036
1005696;SKSTN:2;SKSTN:2;SKSTN:2;;DT;-6.118932;53.574325;21/11/2010;01/01/2036
1229336;CTONRD02;03968;Maynooth Road Carton Road;1490;ST;-6.553968;53.377947;01/01/1970;01/01/2036
1013716;CTARF:2;CTARF:2;CTARF:2;;DT;-6.190832;53.3585075;21/11/2010;01/01/2036
1247051;LCANHL03;02231;Lucan Hill St. Andrew's School;4890;ST;-6.439295;53.36004;01/01/1970;01/01/2036
1247107;ATGRPK04;04612;Esker Road Arthur Griffith Park;180;ST;-6.442446;53.347447;01/01/1970;01/01/2036
1247120;MERROW01;00748;Merrion Row Huguenot Cemetery;5385;ST;-6.255004;53.338513;01/01/1970;01/01/2036
1051578;BLMEUS01;07289;Ballymore Eustace Main Street;10010;ST;-6.614839;53.133403;19/12/2010;01/01/2036
