measure_id;trip_id;line_code;pattern_long_name;point_first;point_last;point_first_seq_no;point_last_seq_no;event_no;regulation_kilometres
484981385213815279;1722796;18;00180001;1311970;1086418;0;64;;18.891
484981385213814508;1722794;18;00181001;2794;1311876;16;60;;13.001
484981385213420940;1923186;185;00841002;4265;4267;8;10;;.778
484981385213815174;2036947;83;00831001;1136107;1192989;0;29;;7.979
484981385213527643;2036942;83;00831001;1510369;1510369;66;66;;0
484981385213072990;2036938;83;00830001;1013514;2281405;0;36;;16.202
484981385213440990;943645;83;00831001;1510369;1013720;66;67;;-.134
484981385213420245;2032906;83;083A0001;1013514;1136107;0;70;;23.531
484981385213534784;2022120;83;083A1001;1136124;1510369;66;67;;3.92
484981385213644637;2028474;83;00831001;1136124;1510369;65;66;;3.92
484981385213534784;909107;83;083A1001;1136124;1013720;66;68;;-4.054
484981385213527643;969534;83;00831001;1510369;1013720;66;67;;-.134
484981385213306464;2033562;83;00831001;1136107;2477;0;15;;3.507
484981385214111592;2032198;83;083A0001;1013514;7504;0;5;;3.871
484981385213949345;2032196;83;00831001;1136107;1393032;0;27;;6.862
484981385213440990;2032188;83;00831001;1510369;1510369;66;66;;0
484981385213644637;959063;83;00831001;1136124;1013720;65;67;;-4.054
484981385213508308;1747262;122;01221001;1001400;1001451;0;3;;-.831
484981385213420762;1747262;122;01221001;1001400;1001451;0;3;;.831
484981385213508308;1747260;122;01220001;5149;1001399;47;49;;-.388
484981385213420762;1747260;122;01220001;5149;1001399;47;49;;.388
484981385213508179;1721546;122;01220001;1001407;1001399;21;49;;7.993
484981385213421050;1721546;122;01220001;1001398;1004534;0;20;;6.378
484981385213420762;1724100;122;01221001;1001400;1001451;0;3;;.831
484981385213420762;1724098;122;01220001;5149;1001399;47;49;;.388
484981385213420762;1755822;122;01221001;1001400;1001451;0;3;;.831
484981385213420762;1755820;122;01220001;5149;1001399;47;49;;.388
484981385213508213;1915271;123;01231001;1001394;1001471;0;15;;3.84
484981385213420675;1915269;123;01230001;1001405;1001408;0;43;;13.002
484981385213420646;1920593;123;01230001;1001450;1001451;6;7;;.379
484981385213420832;1926549;123;01230001;1001450;1001451;6;7;;.379
484981385213306967;2286863;25;025B1002;1086440;1247139;0;39;;20.841
484981385213073343;2286863;25;025B1002;1086440;1247139;0;39;;20.841
484981385213306967;2418364;25;025B0002;1229340;1086416;0;40;;21.811
484981385213073343;2418364;25;025B0002;1229340;1086416;0;40;;21.811
484981385213306967;2286858;25;025B1002;1211664;1247139;35;39;;1.521
484981385213073343;2286858;25;025B1002;1211664;1247139;35;39;;1.521
484981385212835019;2426355;25;025B0002;1229340;7588;0;5;;1.419
484981385213073653;2295012;25;025B1002;1086440;1247139;0;39;;20.841
484981385212835019;2295012;25;025B1002;1086440;1247139;0;39;;20.841
484981385213073708;2426352;25;025B0002;1229340;7588;0;5;;1.419
484981385213073653;2426352;25;025B0002;1247116;1086416;6;40;;19.744
484981385212835019;2426352;25;025B0002;1247116;1086416;6;40;;19.744
484981385213073680;2295009;25;025B1002;1086440;1247139;0;39;;20.841
484981385213073653;2295009;25;025B1002;1086440;1247139;0;39;;20.841
484981385212835019;2295009;25;025B1002;1086440;1247139;0;39;;20.841
484981385213073653;2426349;25;025B0002;1229340;1086416;0;40;;21.811
484981385212834991;2426349;25;025B0002;1229340;1086416;0;40;;21.811
484981385213306748;953451;27;00271001;1013655;1013614;47;87;;-12.094
484981385214111840;2433450;27;00270004;1013614;1013482;0;18;;4.931
484981385213509013;2444959;27;00271001;1051594;1013614;0;87;;28.794
484981385213073453;955637;27;00270005;1013614;1030210;0;39;;-11.727
484981385213306678;2444522;27;00271001;1051594;1013614;0;87;;28.794
484981385213814932;2741050;130;01300002;1013664;1013484;0;37;;10.308
484981385214103776;1744064;27B;027B0001;1003850;1510369;41;42;;2.803
484981385213752760;2325166;27B;027B1007;1013514;1013710;0;6;;5.156
