depot;vehicle_id;vehicle_short_name;opd_date
CF;1000110;33416;13/01/2017
HN;1000111;33418;13/01/2017
SL;1000113;33420;13/01/2017
SL;1000115;33422;13/01/2017
SL;1000116;33424;13/01/2017
SL;1000117;33426;13/01/2017
SL;1000118;33428;13/01/2017
PO;1000120;33430;13/01/2017
PO;1000122;33432;13/01/2017
PO;1000124;33434;13/01/2017
PO;1000126;33436;13/01/2017
PO;1000128;33438;13/01/2017
PO;1000130;33440;13/01/2017
PO;1000132;33442;13/01/2017
PO;1000134;33444;13/01/2017
PO;1000135;33446;13/01/2017
HN;1000136;33448;13/01/2017
PO;1000138;33450;13/01/2017
HN;1000140;33452;13/01/2017
HN;1000142;33454;13/01/2017
HN;1000144;33456;13/01/2017
HN;1000146;33458;13/01/2017
RD;1000148;33460;13/01/2017
SL;1000150;33462;13/01/2017
D1;1000152;33464;13/01/2017
D1;1000154;33466;13/01/2017
D1;1000156;33468;13/01/2017
RD;1000158;33470;13/01/2017
RD;1000160;33472;13/01/2017
RD;1000162;33474;13/01/2017
RD;1000164;33476;13/01/2017
RD;1000166;33478;13/01/2017
RD;1000168;33480;13/01/2017
PO;1000170;40002;13/01/2017
RD;1000171;33482;13/01/2017
PO;1000173;40004;13/01/2017
RD;1000174;33484;13/01/2017
PO;1000176;40006;13/01/2017
RD;1000177;33486;13/01/2017
PO;1000180;40008;13/01/2017
RD;1000181;33488;13/01/2017
PO;1000183;40010;13/01/2017
RD;1000184;33490;13/01/2017
HN;1000186;40012;13/01/2017
RD;1000187;33492;13/01/2017
HN;1000189;40014;13/01/2017
RD;1000190;33494;13/01/2017
PO;1000193;33496;13/01/2017
HN;1000195;40018;13/01/2017
HN;1000198;40020;13/01/2017
HN;1000201;40022;13/01/2017
HN;1000202;33502;13/01/2017
HN;1000204;40024;13/01/2017
HN;1000205;33504;13/01/2017
HN;1000208;33506;13/01/2017
HN;1000211;33508;13/01/2017
SL;1000213;40030;13/01/2017
HN;1000340;38072;13/01/2017
HN;1000343;38074;13/01/2017
CF;1000345;38076;13/01/2017
CF;1000348;38078;13/01/2017
CF;1000351;38080;13/01/2017
CF;1000354;38082;13/01/2017
CF;1000357;38084;13/01/2017
CF;1000360;38086;13/01/2017
CF;1000363;38088;13/01/2017
D1;1000366;38090;13/01/2017
D1;1000369;38092;13/01/2017
D1;1000372;38094;13/01/2017
D1;1000375;38096;13/01/2017
D1;1000377;38098;13/01/2017
D1;1000379;38100;13/01/2017
PO;1000381;24246;13/01/2017
PO;1000382;33212;13/01/2017
PO;1000389;33224;13/01/2017
HN;1000415;33274;13/01/2017
HN;1000417;33278;13/01/2017
HN;1000418;33280;13/01/2017
CF;1000420;33284;13/01/2017
CF;1000421;33286;13/01/2017
CD;1000422;33288;13/01/2017
CD;1000424;33292;13/01/2017
CD;1000425;33294;13/01/2017
CD;1000426;33296;13/01/2017
SL;1000428;33300;13/01/2017
SL;1000429;33302;13/01/2017
PO;1000431;33306;13/01/2017
PO;1000432;33308;13/01/2017
PO;1000433;33310;13/01/2017
PO;1000435;33314;13/01/2017
CF;1000436;33316;13/01/2017
RD;1000438;33320;13/01/2017
HN;1000440;33322;13/01/2017
HN;1000442;33324;13/01/2017
HN;1000443;33326;13/01/2017
D1;1000446;33330;13/01/2017
D1;1000447;33332;13/01/2017
SL;1000449;33336;13/01/2017
SL;1000451;33338;13/01/2017
SL;1000453;33340;13/01/2017
HN;1000454;33342;13/01/2017
CF;1000457;33346;13/01/2017
D1;1000458;33348;13/01/2017
CD;1000460;33352;13/01/2017
