opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
13/01/2017;484981385210622829;29004;08:03:24;TR05
13/01/2017;484981385211884652;63386;17:36:26;TR05
13/01/2017;484981385210266591;20060;05:34:20;TR05
13/01/2017;484981385210347122;21082;05:51:22;TR05
13/01/2017;484981385210622669;28910;08:01:50;TR05
13/01/2017;484981385211736570;59124;16:25:24;TR05
13/01/2017;484981385211884816;63632;17:40:32;TR05
13/01/2017;484981385211884911;63717;17:41:57;TR05
13/01/2017;484981385210772136;32904;09:08:24;TR05
13/01/2017;484981385210347240;21411;05:56:51;TR05
13/01/2017;484981385210622530;28694;07:58:14;TR05
13/01/2017;484981385210346997;20882;05:48:02;TR05
13/01/2017;484981385210421904;25220;07:00:20;TR02
13/01/2017;484981385210421816;25075;06:57:55;TR02
13/01/2017;484981385210622899;29093;08:04:53;TR02
13/01/2017;484981385210421991;25393;07:03:13;TR02
13/01/2017;484981385211483166;54685;15:11:25;TR02
13/01/2017;484981385211662083;58020;16:07:00;TR02
13/01/2017;484981385210536790;27296;07:34:56;TR02
13/01/2017;484981385211483305;54792;15:13:12;TR02
13/01/2017;484981385210873217;34913;09:41:53;TR02
13/01/2017;484981385210536281;26360;07:19:20;TR02
13/01/2017;484981385210536618;27140;07:32:20;TR02
13/01/2017;484981385211561059;57212;15:53:32;TR02
13/01/2017;484981385210536588;27078;07:31:18;TR02
13/01/2017;484981385211561229;57414;15:56:54;TR02
13/01/2017;484981385211883922;61833;17:10:33;TR02
13/01/2017;484981385210536676;27200;07:33:20;TR02
13/01/2017;484981385210622858;29062;08:04:22;TR02
13/01/2017;484981385210772301;33142;09:12:22;TR02
13/01/2017;484981385211968426;64681;17:58:01;TR02
13/01/2017;484981385210536412;26773;07:26:13;TR03
13/01/2017;484981385210536365;26705;07:25:05;TR03
13/01/2017;484981385212420588;76934;21:22:14;ON04
13/01/2017;484981385211809359;60674;16:51:14;ON07
13/01/2017;484981385211047271;39511;10:58:31;ST02
13/01/2017;484981385211047359;39557;10:59:17;ST02
13/01/2017;484981385211047638;40670;11:17:50;AC00
13/01/2017;484981385211884538;62789;17:26:29;AC00
13/01/2017;484981385211560916;57017;15:50:17;ST02
