opd_date;act_time;vehicle_short_name;device_type;defect_type
13/01/2017;25464;33416;Internal EEPROM (COPILOTpc);OK
13/01/2017;25464;33416;External EEPROM (COPILOTpc);OK
13/01/2017;25568;33416;TicketMachine;OK
13/01/2017;42619;33416;Internal EEPROM (COPILOTpc);OK
13/01/2017;42619;33416;External EEPROM (COPILOTpc);OK
13/01/2017;42735;33416;TicketMachine;OK
13/01/2017;96739;33416;Internal EEPROM (COPILOTpc);OK
13/01/2017;96739;33416;External EEPROM (COPILOTpc);OK
13/01/2017;10836;33418;Internal EEPROM (COPILOTpc);OK
13/01/2017;10836;33418;External EEPROM (COPILOTpc);OK
13/01/2017;28272;33418;External EEPROM (COPILOTpc);OK
13/01/2017;28277;33418;Internal EEPROM (COPILOTpc);OK
13/01/2017;32899;33418;Internal EEPROM (COPILOTpc);OK
13/01/2017;32899;33418;External EEPROM (COPILOTpc);OK
13/01/2017;38852;33418;Internal EEPROM (COPILOTpc);OK
13/01/2017;38852;33418;External EEPROM (COPILOTpc);OK
13/01/2017;50462;33418;Internal EEPROM (COPILOTpc);OK
13/01/2017;50462;33418;External EEPROM (COPILOTpc);OK
13/01/2017;56933;33418;TicketMachine;OK
13/01/2017;70979;33418;Internal EEPROM (COPILOTpc);OK
13/01/2017;70979;33418;External EEPROM (COPILOTpc);OK
13/01/2017;79925;33418;Internal EEPROM (COPILOTpc);OK
13/01/2017;79925;33418;External EEPROM (COPILOTpc);OK
13/01/2017;22597;33420;External EEPROM (COPILOTpc);OK
13/01/2017;22598;33420;Internal EEPROM (COPILOTpc);OK
13/01/2017;25216;33420;TicketMachine;OK
13/01/2017;35676;33420;tsp-emitter;OK
13/01/2017;76951;33420;Internal EEPROM (COPILOTpc);OK
13/01/2017;76951;33420;External EEPROM (COPILOTpc);OK
13/01/2017;77486;33420;TicketMachine;OK
13/01/2017;97173;33420;Internal EEPROM (COPILOTpc);OK
13/01/2017;97173;33420;External EEPROM (COPILOTpc);OK
13/01/2017;25873;33422;Internal EEPROM (COPILOTpc);OK
13/01/2017;25873;33422;External EEPROM (COPILOTpc);OK
13/01/2017;26320;33422;TicketMachine;OK
13/01/2017;31275;33422;tsp-emitter;OK
13/01/2017;96900;33422;Internal EEPROM (COPILOTpc);OK
13/01/2017;96900;33422;External EEPROM (COPILOTpc);OK
13/01/2017;24509;33424;Internal EEPROM (COPILOTpc);OK
13/01/2017;24509;33424;External EEPROM (COPILOTpc);OK
13/01/2017;27349;33424;TicketMachine;OK
13/01/2017;41592;33424;tsp-emitter;OK
13/01/2017;96305;33424;Internal EEPROM (COPILOTpc);OK
13/01/2017;96305;33424;External EEPROM (COPILOTpc);OK
13/01/2017;25685;33426;External EEPROM (COPILOTpc);OK
13/01/2017;25690;33426;Internal EEPROM (COPILOTpc);OK
13/01/2017;25764;33426;TicketMachine;OK
13/01/2017;57134;33426;Internal EEPROM (COPILOTpc);OK
13/01/2017;57134;33426;External EEPROM (COPILOTpc);OK
13/01/2017;57179;33426;TicketMachine;OK
13/01/2017;68089;33426;Internal EEPROM (COPILOTpc);OK
13/01/2017;68089;33426;External EEPROM (COPILOTpc);OK
13/01/2017;68201;33426;TicketMachine;OK
13/01/2017;76029;33426;External EEPROM (COPILOTpc);OK
13/01/2017;76030;33426;Internal EEPROM (COPILOTpc);OK
13/01/2017;76147;33426;TicketMachine;OK
13/01/2017;77670;33426;Internal EEPROM (COPILOTpc);OK
13/01/2017;77670;33426;External EEPROM (COPILOTpc);OK
13/01/2017;81793;33426;TicketMachine;OK
13/01/2017;95744;33426;External EEPROM (COPILOTpc);OK
13/01/2017;95745;33426;Internal EEPROM (COPILOTpc);OK
13/01/2017;10905;33428;Internal EEPROM (COPILOTpc);OK
13/01/2017;10905;33428;External EEPROM (COPILOTpc);OK
13/01/2017;26870;33428;Internal EEPROM (COPILOTpc);OK
13/01/2017;26870;33428;External EEPROM (COPILOTpc);OK
13/01/2017;28578;33428;TicketMachine;OK
13/01/2017;32566;33428;tsp-emitter;OK
13/01/2017;95392;33428;Internal EEPROM (COPILOTpc);OK
13/01/2017;95392;33428;External EEPROM (COPILOTpc);OK
13/01/2017;26694;33430;Internal EEPROM (COPILOTpc);OK
13/01/2017;26694;33430;External EEPROM (COPILOTpc);OK
13/01/2017;50406;33430;Internal EEPROM (COPILOTpc);OK
13/01/2017;50406;33430;External EEPROM (COPILOTpc);OK
13/01/2017;56916;33430;Internal EEPROM (COPILOTpc);OK
13/01/2017;56916;33430;External EEPROM (COPILOTpc);OK
13/01/2017;96953;33430;Internal EEPROM (COPILOTpc);OK
13/01/2017;96953;33430;External EEPROM (COPILOTpc);OK
13/01/2017;26512;33432;Internal EEPROM (COPILOTpc);OK
13/01/2017;26512;33432;External EEPROM (COPILOTpc);OK
13/01/2017;27064;33432;TicketMachine;OK
13/01/2017;59061;33432;Internal EEPROM (COPILOTpc);OK
13/01/2017;59061;33432;External EEPROM (COPILOTpc);OK
13/01/2017;59506;33432;TicketMachine;OK
13/01/2017;86682;33432;Internal EEPROM (COPILOTpc);OK
13/01/2017;86682;33432;External EEPROM (COPILOTpc);OK
13/01/2017;96683;33432;External EEPROM (COPILOTpc);OK
13/01/2017;96684;33432;Internal EEPROM (COPILOTpc);OK
13/01/2017;22749;33434;External EEPROM (COPILOTpc);OK
13/01/2017;22750;33434;Internal EEPROM (COPILOTpc);OK
13/01/2017;22952;33434;TicketMachine;OK
13/01/2017;59511;33434;Internal EEPROM (COPILOTpc);OK
13/01/2017;59511;33434;External EEPROM (COPILOTpc);OK
13/01/2017;61637;33434;TicketMachine;OK
13/01/2017;81854;33434;Internal EEPROM (COPILOTpc);OK
13/01/2017;81854;33434;External EEPROM (COPILOTpc);OK
13/01/2017;96890;33434;Internal EEPROM (COPILOTpc);OK
13/01/2017;96890;33434;External EEPROM (COPILOTpc);OK
13/01/2017;25383;33436;Internal EEPROM (COPILOTpc);OK
13/01/2017;25383;33436;External EEPROM (COPILOTpc);OK
13/01/2017;27960;33436;TicketMachine;OK
13/01/2017;56387;33436;Internal EEPROM (COPILOTpc);OK
13/01/2017;56387;33436;External EEPROM (COPILOTpc);OK
13/01/2017;60100;33436;TicketMachine;OK
13/01/2017;81239;33436;External EEPROM (COPILOTpc);OK
13/01/2017;81240;33436;Internal EEPROM (COPILOTpc);OK
13/01/2017;96031;33436;Internal EEPROM (COPILOTpc);OK
13/01/2017;96031;33436;External EEPROM (COPILOTpc);OK
13/01/2017;10866;33438;Internal EEPROM (COPILOTpc);OK
13/01/2017;10866;33438;External EEPROM (COPILOTpc);OK
13/01/2017;21832;33438;Internal EEPROM (COPILOTpc);OK
13/01/2017;21832;33438;External EEPROM (COPILOTpc);OK
13/01/2017;23808;33438;TicketMachine;OK
13/01/2017;51987;33438;Internal EEPROM (COPILOTpc);OK
13/01/2017;51987;33438;External EEPROM (COPILOTpc);OK
13/01/2017;55235;33438;TicketMachine;OK
13/01/2017;89756;33438;Internal EEPROM (COPILOTpc);OK
13/01/2017;89756;33438;External EEPROM (COPILOTpc);OK
13/01/2017;25154;33440;External EEPROM (COPILOTpc);OK
13/01/2017;25155;33440;Internal EEPROM (COPILOTpc);OK
13/01/2017;27564;33440;TicketMachine;OK
13/01/2017;59647;33440;Internal EEPROM (COPILOTpc);OK
13/01/2017;59647;33440;External EEPROM (COPILOTpc);OK
13/01/2017;61576;33440;TicketMachine;OK
13/01/2017;88096;33440;External EEPROM (COPILOTpc);OK
13/01/2017;88097;33440;Internal EEPROM (COPILOTpc);OK
13/01/2017;95579;33440;Internal EEPROM (COPILOTpc);OK
13/01/2017;95579;33440;External EEPROM (COPILOTpc);OK
13/01/2017;19371;33446;Internal EEPROM (COPILOTpc);OK
13/01/2017;19371;33446;External EEPROM (COPILOTpc);OK
13/01/2017;21949;33446;TicketMachine;OK
13/01/2017;24769;33448;Internal EEPROM (COPILOTpc);OK
13/01/2017;24769;33448;External EEPROM (COPILOTpc);OK
13/01/2017;26695;33448;TicketMachine;OK
13/01/2017;36425;33448;Internal EEPROM (COPILOTpc);OK
13/01/2017;36425;33448;External EEPROM (COPILOTpc);OK
13/01/2017;58367;33448;Internal EEPROM (COPILOTpc);OK
13/01/2017;58367;33448;External EEPROM (COPILOTpc);OK
13/01/2017;59533;33448;TicketMachine;OK
13/01/2017;96991;33448;Internal EEPROM (COPILOTpc);OK
13/01/2017;96991;33448;External EEPROM (COPILOTpc);OK
13/01/2017;10905;33450;Internal EEPROM (COPILOTpc);OK
13/01/2017;10905;33450;External EEPROM (COPILOTpc);OK
13/01/2017;25912;33450;External EEPROM (COPILOTpc);OK
13/01/2017;25913;33450;Internal EEPROM (COPILOTpc);OK
13/01/2017;27128;33450;TicketMachine;OK
13/01/2017;58242;33450;External EEPROM (COPILOTpc);OK
13/01/2017;58243;33450;Internal EEPROM (COPILOTpc);OK
13/01/2017;60036;33450;TicketMachine;OK
13/01/2017;64811;33450;tsp-emitter;OK
13/01/2017;87095;33450;Internal EEPROM (COPILOTpc);OK
13/01/2017;87095;33450;External EEPROM (COPILOTpc);OK
13/01/2017;20673;33452;Internal EEPROM (COPILOTpc);OK
13/01/2017;20673;33452;External EEPROM (COPILOTpc);OK
13/01/2017;27749;33452;Internal EEPROM (COPILOTpc);OK
13/01/2017;27749;33452;External EEPROM (COPILOTpc);OK
13/01/2017;29943;33452;TicketMachine;OK
13/01/2017;58761;33452;Internal EEPROM (COPILOTpc);OK
13/01/2017;58761;33452;External EEPROM (COPILOTpc);OK
13/01/2017;59313;33452;TicketMachine;OK
13/01/2017;90291;33452;Internal EEPROM (COPILOTpc);OK
