opd_date;act_time;vehicle_short_name;device_type;defect_type
24/01/2017;25320;33416;Internal EEPROM (COPILOTpc);OK
24/01/2017;25320;33416;External EEPROM (COPILOTpc);OK
24/01/2017;27621;33416;TicketMachine;OK
24/01/2017;43306;33416;Internal EEPROM (COPILOTpc);OK
24/01/2017;43306;33416;External EEPROM (COPILOTpc);OK
24/01/2017;44900;33416;TicketMachine;OK
24/01/2017;96733;33416;Internal EEPROM (COPILOTpc);OK
24/01/2017;96733;33416;External EEPROM (COPILOTpc);OK
24/01/2017;10859;33418;Internal EEPROM (COPILOTpc);OK
24/01/2017;10859;33418;External EEPROM (COPILOTpc);OK
24/01/2017;19892;33418;Internal EEPROM (COPILOTpc);OK
24/01/2017;19892;33418;External EEPROM (COPILOTpc);OK
24/01/2017;23289;33418;TicketMachine;OK
24/01/2017;46322;33418;Internal EEPROM (COPILOTpc);OK
24/01/2017;46322;33418;External EEPROM (COPILOTpc);OK
24/01/2017;47768;33418;TicketMachine;OK
24/01/2017;80048;33418;Internal EEPROM (COPILOTpc);OK
24/01/2017;80048;33418;External EEPROM (COPILOTpc);OK
24/01/2017;80620;33418;TicketMachine;OK
24/01/2017;21804;33420;Internal EEPROM (COPILOTpc);OK
24/01/2017;21804;33420;External EEPROM (COPILOTpc);OK
24/01/2017;25209;33420;TicketMachine;OK
24/01/2017;36510;33420;tsp-emitter;OK
24/01/2017;83066;33420;External EEPROM (COPILOTpc);OK
24/01/2017;83067;33420;Internal EEPROM (COPILOTpc);OK
24/01/2017;84962;33420;TicketMachine;OK
24/01/2017;97178;33420;Internal EEPROM (COPILOTpc);OK
24/01/2017;97178;33420;External EEPROM (COPILOTpc);OK
24/01/2017;23898;33422;Internal EEPROM (COPILOTpc);OK
24/01/2017;23898;33422;External EEPROM (COPILOTpc);OK
24/01/2017;25784;33422;TicketMachine;OK
24/01/2017;29211;33422;tsp-emitter;OK
24/01/2017;90038;33422;External EEPROM (COPILOTpc);OK
24/01/2017;90043;33422;Internal EEPROM (COPILOTpc);OK
24/01/2017;96940;33422;Internal EEPROM (COPILOTpc);OK
24/01/2017;96940;33422;External EEPROM (COPILOTpc);OK
24/01/2017;24092;33424;External EEPROM (COPILOTpc);OK
24/01/2017;24093;33424;Internal EEPROM (COPILOTpc);OK
24/01/2017;25699;33424;TicketMachine;OK
24/01/2017;50987;33424;tsp-emitter;OK
24/01/2017;96361;33424;Internal EEPROM (COPILOTpc);OK
24/01/2017;96361;33424;External EEPROM (COPILOTpc);OK
24/01/2017;41466;33426;Internal EEPROM (COPILOTpc);OK
24/01/2017;41466;33426;External EEPROM (COPILOTpc);OK
24/01/2017;45643;33426;Internal EEPROM (COPILOTpc);OK
24/01/2017;45643;33426;External EEPROM (COPILOTpc);OK
24/01/2017;51835;33426;External EEPROM (COPILOTpc);OK
24/01/2017;51836;33426;Internal EEPROM (COPILOTpc);OK
24/01/2017;58895;33426;TicketMachine;OK
24/01/2017;78769;33426;External EEPROM (COPILOTpc);OK
24/01/2017;78770;33426;Internal EEPROM (COPILOTpc);OK
24/01/2017;95717;33426;Internal EEPROM (COPILOTpc);OK
24/01/2017;95717;33426;External EEPROM (COPILOTpc);OK
24/01/2017;24604;33428;Internal EEPROM (COPILOTpc);OK
24/01/2017;24604;33428;External EEPROM (COPILOTpc);OK
24/01/2017;26623;33428;TicketMachine;OK
24/01/2017;39045;33428;tsp-emitter;OK
24/01/2017;82057;33428;External EEPROM (COPILOTpc);OK
24/01/2017;82058;33428;Internal EEPROM (COPILOTpc);OK
24/01/2017;21301;33430;Internal EEPROM (COPILOTpc);OK
24/01/2017;21301;33430;External EEPROM (COPILOTpc);OK
24/01/2017;22321;33430;TicketMachine;OK
24/01/2017;52403;33430;Internal EEPROM (COPILOTpc);OK
24/01/2017;52403;33430;External EEPROM (COPILOTpc);OK
24/01/2017;59895;33430;TicketMachine;OK
24/01/2017;90752;33430;External EEPROM (COPILOTpc);OK
24/01/2017;90753;33430;Internal EEPROM (COPILOTpc);OK
24/01/2017;96909;33430;External EEPROM (COPILOTpc);OK
24/01/2017;96910;33430;Internal EEPROM (COPILOTpc);OK
24/01/2017;96703;33432;Internal EEPROM (COPILOTpc);OK
24/01/2017;96703;33432;External EEPROM (COPILOTpc);OK
24/01/2017;96780;33432;Radio;Action failed
24/01/2017;27098;33434;External EEPROM (COPILOTpc);OK
24/01/2017;27099;33434;Internal EEPROM (COPILOTpc);OK
24/01/2017;29247;33434;TicketMachine;OK
24/01/2017;54836;33434;External EEPROM (COPILOTpc);OK
24/01/2017;54837;33434;Internal EEPROM (COPILOTpc);OK
24/01/2017;55189;33434;TicketMachine;OK
24/01/2017;91447;33434;Internal EEPROM (COPILOTpc);OK
24/01/2017;91447;33434;External EEPROM (COPILOTpc);OK
24/01/2017;25425;33436;Internal EEPROM (COPILOTpc);OK
24/01/2017;25425;33436;External EEPROM (COPILOTpc);OK
24/01/2017;28145;33436;TicketMachine;OK
24/01/2017;56210;33436;Internal EEPROM (COPILOTpc);OK
24/01/2017;56210;33436;External EEPROM (COPILOTpc);OK
24/01/2017;87672;33436;Internal EEPROM (COPILOTpc);OK
24/01/2017;87672;33436;External EEPROM (COPILOTpc);OK
24/01/2017;96043;33436;Internal EEPROM (COPILOTpc);OK
24/01/2017;96043;33436;External EEPROM (COPILOTpc);OK
24/01/2017;10879;33438;External EEPROM (COPILOTpc);OK
24/01/2017;10880;33438;Internal EEPROM (COPILOTpc);OK
24/01/2017;27606;33438;Internal EEPROM (COPILOTpc);OK
24/01/2017;27606;33438;External EEPROM (COPILOTpc);OK
24/01/2017;29681;33438;TicketMachine;OK
24/01/2017;54064;33438;External EEPROM (COPILOTpc);OK
24/01/2017;54065;33438;Internal EEPROM (COPILOTpc);OK
24/01/2017;54346;33438;TicketMachine;OK
24/01/2017;93311;33438;Internal EEPROM (COPILOTpc);OK
24/01/2017;93311;33438;External EEPROM (COPILOTpc);OK
24/01/2017;26624;33440;Internal EEPROM (COPILOTpc);OK
24/01/2017;26624;33440;External EEPROM (COPILOTpc);OK
24/01/2017;28665;33440;TicketMachine;OK
24/01/2017;61015;33440;Internal EEPROM (COPILOTpc);OK
24/01/2017;61015;33440;External EEPROM (COPILOTpc);OK
24/01/2017;62722;33440;TicketMachine;OK
24/01/2017;89110;33440;Internal EEPROM (COPILOTpc);OK
24/01/2017;89110;33440;External EEPROM (COPILOTpc);OK
24/01/2017;95553;33440;Internal EEPROM (COPILOTpc);OK
24/01/2017;95553;33440;External EEPROM (COPILOTpc);OK
24/01/2017;22320;33446;Internal EEPROM (COPILOTpc);OK
24/01/2017;22320;33446;External EEPROM (COPILOTpc);OK
24/01/2017;23700;33446;TicketMachine;OK
24/01/2017;90309;33446;Internal EEPROM (COPILOTpc);OK
24/01/2017;90309;33446;External EEPROM (COPILOTpc);OK
24/01/2017;96748;33446;Internal EEPROM (COPILOTpc);OK
24/01/2017;96748;33446;External EEPROM (COPILOTpc);OK
24/01/2017;25149;33448;Internal EEPROM (COPILOTpc);OK
24/01/2017;25149;33448;External EEPROM (COPILOTpc);OK
24/01/2017;55965;33448;Internal EEPROM (COPILOTpc);OK
24/01/2017;55965;33448;External EEPROM (COPILOTpc);OK
24/01/2017;58195;33448;TicketMachine;OK
24/01/2017;88050;33448;Internal EEPROM (COPILOTpc);OK
24/01/2017;88050;33448;External EEPROM (COPILOTpc);OK
24/01/2017;93462;33448;Internal EEPROM (COPILOTpc);OK
24/01/2017;93462;33448;External EEPROM (COPILOTpc);OK
24/01/2017;10905;33450;Internal EEPROM (COPILOTpc);OK
24/01/2017;10905;33450;External EEPROM (COPILOTpc);OK
24/01/2017;26298;33450;Internal EEPROM (COPILOTpc);OK
24/01/2017;26298;33450;External EEPROM (COPILOTpc);OK
24/01/2017;29025;33450;TicketMachine;OK
24/01/2017;33084;33450;tsp-emitter;OK
24/01/2017;51459;33450;External EEPROM (COPILOTpc);OK
24/01/2017;51460;33450;Internal EEPROM (COPILOTpc);OK
24/01/2017;91703;33450;Internal EEPROM (COPILOTpc);OK
24/01/2017;91703;33450;External EEPROM (COPILOTpc);OK
24/01/2017;22368;33452;Internal EEPROM (COPILOTpc);OK
24/01/2017;22368;33452;External EEPROM (COPILOTpc);OK
24/01/2017;23117;33452;TicketMachine;OK
24/01/2017;80121;33452;Internal EEPROM (COPILOTpc);OK
24/01/2017;80121;33452;External EEPROM (COPILOTpc);OK
