block_id;block_code;short_name;long_name;daytype_id;valid_from;valid_until
1710960;012207:36;12207;12207;36;01/01/1970;01/01/2036
1711337;012201:36;12201;12201;36;01/01/1970;01/01/2036
1710820;123002:36;123002;123002;36;01/01/1970;01/01/2036
1711417;040108A:36;40108;40108;36;01/01/1970;01/01/2036
1711493;040104A:36;40104;40104;36;01/01/1970;01/01/2036
1711585;040106:36;40106;40106;36;01/01/1970;01/01/2036
1711161;041014:36;41014;41014;36;01/01/1970;01/01/2036
2042507;042007:36;42007;42007;36;01/01/1970;01/01/2036
1711716;130001:36;130001;130001;36;01/01/1970;01/01/2036
1710868;013103:36;13103;13103;36;01/01/1970;01/01/2036
1711357;013105:36;13105;13105;36;01/01/1970;01/01/2036
1711579;013104A:36;13104;13104;36;01/01/1970;01/01/2036
1712155;013005:36;13005;13005;36;01/01/1970;01/01/2036
1711042;004002:36;4002;4002;36;01/01/1970;01/01/2036
1712200;004003:36;4003;4003;36;01/01/1970;01/01/2036
1710847;007005:36;7005;7005;36;01/01/1970;01/01/2036
1711893;007011:36;7011;7011;36;01/01/1970;01/01/2036
1711192;014005:36;14005;14005;36;01/01/1970;01/01/2036
1711743;014103:36;14103;14103;36;01/01/1970;01/01/2036
1712289;014002:36;14002;14002;36;01/01/1970;01/01/2036
1710875;015013:36;15013;15013;36;01/01/1970;01/01/2036
1711306;015011:36;15011;15011;36;01/01/1970;01/01/2036
1712359;015102:36;15102;15102;36;01/01/1970;01/01/2036
1711953;016008:36;16008;16008;36;01/01/1970;01/01/2036
1711968;123003:36;123003;123003;36;01/01/1970;01/01/2036
1712461;123005:36;123005;123005;36;01/01/1970;01/01/2036
1712556;068001A:36;68001;68001;36;01/01/1970;01/01/2036
1712180;079002A:36;79002;79002;36;01/01/1970;01/01/2036
1711622;018005A:36;18005;18005;36;01/01/1970;01/01/2036
1711153;272001:36;272001;272001;36;01/01/1970;01/01/2036
1712244;033003:36;33003;33003;36;01/01/1970;01/01/2036
1711292;171004A:36;171004;171004;36;01/01/1970;01/01/2036
1711774;056002:36;56002;56002;36;01/01/1970;01/01/2036
1711925;065003A:36;65003;65003;36;01/01/1970;01/01/2036
1711419;025010:36;25010;25010;36;01/01/1970;01/01/2036
1712416;066007:36;66007;66007;36;01/01/1970;01/01/2036
1712499;066004A:36;66004;66004;36;01/01/1970;01/01/2036
1711017;332001A:36;332001;332001;36;01/01/1970;01/01/2036
1711034;046017:36;46017;46017;36;01/01/1970;01/01/2036
1712042;102001A:36;102001;102001;36;01/01/1970;01/01/2036
1711442;145002:36;145002;145002;36;01/01/1970;01/01/2036
1712030;145104:36;145104;145104;36;01/01/1970;01/01/2036
2408028;145105:36;145105;145105;36;01/01/1970;01/01/2036
2460386;821301:36;821301;821301;36;01/01/1970;01/01/2036
2042525;150001:36;150001;150001;36;01/01/1970;01/01/2036
1711235;220003A:36;220003;220003;36;01/01/1970;01/01/2036
