opd_date;vehicle_id;event_no;meters;act_dep_time;nom_dep_time;nom_end_time;act_end_time;line_id;trip_id;pattern_id;pattern_direction;trip_type;pattern_quality;block_id;passenger_data;time_grp_id;is_additional_trip
23/01/2017;1000110;1742793934;12818;27777;26100;31320;33156;2106021;2179652;2178939;Outbound;0;88;1711410;;2178951;0
23/01/2017;1000110;1742794022;42932;33282;36000;37800;33282;2106021;2797448;270;;4;50;1711410;;2330838;0
23/01/2017;1000110;1742794060;60463;44080;43200;44100;44080;31;2798010;575;;2;50;2042496;;2789428;0
23/01/2017;1000110;1742794064;60463;44116;44100;47415;47395;31;2331772;1030754;Outbound;0;100;2042496;;2313595;0
23/01/2017;1000110;1742794148;83261;50344;50400;53618;53417;31;2331773;1030755;Inbound;0;100;2042496;;2313607;0
23/01/2017;1000110;1742794233;105734;54878;54900;59093;58232;31;2331775;1030754;Outbound;0;100;2042496;;2313593;0
23/01/2017;1000110;1742794318;128532;61234;61200;64255;64746;31;2331776;1030755;Inbound;0;100;2042496;;2313619;0
23/01/2017;1000110;1742794406;151021;65456;65400;69014;68799;31;2672094;2313184;Outbound;0;100;2042496;;2313625;0
23/01/2017;1000110;1742794490;171302;69614;69600;71656;71224;31;2331779;2313185;Inbound;0;100;2042496;;2313628;0
23/01/2017;1000110;1742794547;187681;71487;71880;73080;71491;31;2798090;569;;3;100;2042496;;2375783;0
23/01/2017;1000110;1742794550;187804;73207;73200;76090;75826;31;2331781;1030754;Outbound;0;100;2042496;;2313592;0
23/01/2017;1000110;1742794630;210585;75856;76800;78300;75856;31;2798092;578;;4;50;2042496;;2798091;0
23/01/2017;1000111;1743092737;11723;26384;24600;25800;26384;1014394;2799000;252;;2;50;1711904;;2541525;0
23/01/2017;1000111;1743092742;11723;26494;26400;30973;31163;1014394;2145075;1909318;Inbound;0;100;1711904;;1910214;0
23/01/2017;1000111;1743092816;36038;31263;31140;31140;31323;1014394;2799001;253;;3;100;1711904;;2541527;0
23/01/2017;1000111;1743092819;36401;31394;31200;35877;35848;1014394;2145077;1909316;Outbound;0;98;1711904;;1910199;0
23/01/2017;1000111;1743092895;60861;36033;35640;35640;36188;1014394;2799002;254;;3;100;1711904;;2542317;0
23/01/2017;1000111;1743092900;61291;36204;36300;40376;40186;1014394;2145080;1909318;Inbound;0;100;1711904;;1910213;0
23/01/2017;1000111;1743092973;85569;40213;41100;42600;40213;1014394;2799003;255;;4;50;1711904;;2542319;0
23/01/2017;1000111;1743092984;106661;48051;48000;52491;52452;1014394;2142803;1909318;Inbound;0;100;1710790;;1910212;0
23/01/2017;1000111;1743093058;130929;52586;52800;54300;52586;1014394;2793782;255;;4;50;1710790;;2538148;0
23/01/2017;1000111;1743093074;158384;55835;55800;58618;58802;270;2392235;2389315;Inbound;0;96;1711330;;2389356;0
23/01/2017;1000111;1743093120;177224;59412;59400;63176;63110;270;2392236;1712611;Outbound;0;100;1711330;;2389350;0
23/01/2017;1000111;1743093167;195927;63110;63000;65818;66524;270;2392237;2389315;Inbound;0;96;1711330;;2389356;0
23/01/2017;1000111;1743093217;213441;66548;66900;68700;66548;270;2800565;95;;4;50;1711330;;2287500;0
23/01/2017;1000111;1743093228;222612;73883;73800;76336;77441;270;2392241;2389315;Inbound;0;96;1711330;;2389366;0
23/01/2017;1000111;1743093262;241501;77472;77400;79729;80950;270;2392242;1712611;Outbound;0;100;1711330;;1716218;0
23/01/2017;1000111;1743093301;260211;80950;81000;83018;84548;270;2392243;2389315;Inbound;0;100;1711330;;2389360;0
23/01/2017;1000111;1743093334;279180;84607;84600;86929;86092;270;1748495;1712611;Outbound;0;81;1711330;;1716218;0
23/01/2017;1000113;1746436011;13489;27024;27000;33151;32197;16;1895942;1885243;Inbound;0;98;1712297;;1886391;0
23/01/2017;1000113;1746436115;35652;34610;34560;39856;39784;16;1895943;1005952;Outbound;0;100;1712297;;1886363;0
23/01/2017;1000113;1746436232;58974;39801;40680;40680;41871;16;2802120;202;;3;100;1712297;;2788508;0
23/01/2017;1000113;1746436238;62756;41876;41760;47305;47012;16;1895946;1885243;Inbound;0;100;1712297;;1886404;0
23/01/2017;1000113;1746436338;84896;48257;48240;53710;53632;16;1895947;1005952;Outbound;0;47;1712297;;1886365;0
23/01/2017;1000113;1746436434;108224;54255;54240;54240;54644;16;2802121;202;;3;100;1712297;;2788037;0
23/01/2017;1000113;1746436470;120636;57961;54600;60494;60438;16;1895949;1885243;Inbound;0;41;1712297;;1886407;0
23/01/2017;1000113;1746436524;131566;61796;61800;68727;68267;16;1895950;1005952;Outbound;0;100;1712297;;1886361;0
23/01/2017;1000113;1746436643;154860;68385;70200;71700;68385;16;2802122;203;;4;50;1712297;;2788039;0
23/01/2017;1000115;1746486160;6335;29008;28800;34050;33598;16;1894239;1885240;Outbound;0;95;1711909;;1886378;0
23/01/2017;1000115;1746486254;23413;34225;33900;33900;34225;16;2799240;202;;3;50;1711909;;2790919;0
23/01/2017;1000115;1746486258;25548;34746;34560;39982;39148;16;1894242;1885243;Inbound;0;95;1711909;;1886387;0
23/01/2017;1000115;1746486355;50319;42517;42480;47950;48105;16;1894243;1005952;Outbound;0;100;1711909;;1886365;0
23/01/2017;1000115;1746486469;73659;48642;48600;48600;48798;16;2799241;202;;3;100;1711909;;2788037;0
23/01/2017;1000115;1746486473;74387;48964;48960;54505;54096;16;1894245;1885243;Inbound;0;100;1711909;;1886404;0
23/01/2017;1000115;1746486573;96983;55805;55800;62267;61624;16;2761871;1005952;Outbound;0;100;1711909;;1886372;0
23/01/2017;1000115;1746486692;120287;63528;63240;63240;63528;16;2799242;202;;3;50;1711909;;2793599;0
23/01/2017;1000115;1746486697;122384;64237;63900;69782;69826;16;1894249;1885243;Inbound;0;94;1711909;;1886396;0
23/01/2017;1000115;1746486796;143633;71370;71400;76709;76883;16;1894395;1005952;Outbound;0;90;1711909;;1886364;0
23/01/2017;1000115;1746486893;169359;77448;77400;81675;81642;16;1894398;1885243;Inbound;0;89;1711909;;1886395;0
23/01/2017;1000115;1746486981;192735;83508;83400;85006;85145;16;1931296;1005953;Outbound;0;100;1711909;;1930991;0
23/01/2017;1000115;1746487027;204380;85215;85500;85860;85215;16;2799244;222;;4;50;1711909;;2696974;0
23/01/2017;1000116;1746436677;16956;25634;24900;27749;28633;41;1740781;1065175;Inbound;0;90;1711999;;1;0
23/01/2017;1000116;1746436746;34704;28670;28500;31620;32179;41;1740782;1003966;Outbound;0;96;1711999;;1;0
23/01/2017;1000116;1746436817;53788;32179;31620;31620;32946;41;1794343;5;;3;100;1711999;;1782913;0
23/01/2017;1000116;1746436820;53941;33007;33000;37094;36831;41;1740784;1003967;Inbound;0;100;1711999;;2;0
23/01/2017;1000116;1746436900;73913;36831;37500;37950;36831;41;2667978;6;;4;50;1711999;;1789822;0
23/01/2017;1000116;1746436912;88012;40340;38100;39000;40340;16;2794128;201;;2;50;1712517;;5;0
23/01/2017;1000116;1746436916;88012;40365;40320;45742;44898;16;1900180;1885243;Inbound;0;100;1712517;;1886387;0
23/01/2017;1000116;1746437017;110586;46813;46800;52270;51957;16;1900181;1005952;Outbound;0;98;1712517;;1886365;0
23/01/2017;1000116;1746437125;133880;53383;52920;52920;53481;16;2794129;202;;3;100;1712517;;2788037;0
23/01/2017;1000116;1746437129;134616;53493;53280;59174;59615;16;1900183;1885243;Inbound;0;100;1712517;;1886407;0
23/01/2017;1000116;1746437235;157215;59994;60000;66927;66415;16;2764355;1005952;Outbound;0;46;1712517;;1886361;0
