opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
23/01/2017;484981385230941307;33179;09:12:59;TR01
23/01/2017;484981385231113698;38177;10:36:17;TR01
23/01/2017;484981385231055896;36514;10:08:34;TR01
23/01/2017;484981385230644493;20219;05:36:59;TR05
23/01/2017;484981385230892840;31156;08:39:16;TR05
23/01/2017;484981385231932723;64586;17:56:26;TR05
23/01/2017;484981385230752199;25673;07:07:53;TR05
23/01/2017;484981385230991092;34587;09:36:27;TR05
23/01/2017;484981385230585639;18742;05:12:22;TR05
23/01/2017;484981385230892406;30633;08:30:33;TR05
23/01/2017;484981385231805348;61236;17:00:36;TR05
23/01/2017;484981385231805015;60599;16:49:59;TR05
23/01/2017;484981385230940773;32286;08:58:06;TR05
23/01/2017;484981385231988066;64673;17:57:53;TR05
23/01/2017;484981385230752634;26204;07:16:44;TR05
23/01/2017;484981385231932565;64245;17:50:45;TR05
23/01/2017;484981385231113605;37816;10:30:16;TR05
23/01/2017;484981385230585438;18376;05:06:16;TR05
23/01/2017;484981385230941369;33274;09:14:34;TR05
23/01/2017;484981385230585904;19776;05:29:36;TR05
23/01/2017;484981385232120174;67846;18:50:46;TR05
23/01/2017;484981385230752607;26171;07:16:11;TR05
23/01/2017;484981385231988183;64795;17:59:55;TR05
23/01/2017;484981385230752564;26133;07:15:33;TR05
23/01/2017;484981385230585520;18505;05:08:25;TR05
23/01/2017;484981385230645341;25381;07:03:01;TR05
23/01/2017;484981385230940844;32421;09:00:21;TR05
23/01/2017;484981385230586017;20135;05:35:35;TR05
23/01/2017;484981385230821886;28429;07:53:49;TR05
23/01/2017;484981385230645408;25419;07:03:39;TR05
23/01/2017;484981385230822257;29087;08:04:47;TR05
23/01/2017;484981385231988706;65308;18:08:28;TR05
23/01/2017;484981385232247211;72707;20:11:47;TR05
23/01/2017;484981385231463857;51317;14:15:17;TR05
23/01/2017;484981385231988661;65240;18:07:20;TR05
23/01/2017;484981385231582607;54401;15:06:41;TR05
23/01/2017;484981385232042239;67663;18:47:43;TR05
23/01/2017;484981385232120264;68046;18:54:06;TR05
23/01/2017;484981385230644441;20160;05:36:00;TR05
23/01/2017;484981385231055317;35684;09:54:44;TR05
23/01/2017;484981385231653520;56796;15:46:36;TR05
23/01/2017;484981385232247345;73412;20:23:32;TR05
23/01/2017;484981385231988212;64813;18:00:13;TR05
23/01/2017;484981385230644519;20242;05:37:22;TR05
23/01/2017;484981385230861820;29967;08:19:27;TR05
23/01/2017;484981385232041359;65809;18:16:49;TR05
23/01/2017;484981385231056096;37144;10:19:04;TR05
23/01/2017;484981385231931924;63368;17:36:08;TR05
23/01/2017;484981385230861758;29790;08:16:30;TR05
23/01/2017;484981385231582922;54863;15:14:23;TR05
23/01/2017;484981385230585766;19470;05:24:30;TR05
23/01/2017;484981385232042075;67090;18:38:10;TR05
23/01/2017;484981385231869290;62001;17:13:21;TR05
23/01/2017;484981385230789243;27453;07:37:33;TR05
23/01/2017;484981385232041935;66777;18:32:57;TR05
23/01/2017;484981385230585792;19491;05:24:51;TR05
23/01/2017;484981385230752480;25958;07:12:38;TR05
23/01/2017;484981385231756001;59359;16:29:19;TR05
23/01/2017;484981385230644564;20810;05:46:50;TR05
23/01/2017;484981385230752173;25645;07:07:25;TR05
23/01/2017;484981385231653653;56869;15:47:49;TR05
23/01/2017;484981385230893035;31569;08:46:09;TR05
23/01/2017;484981385232041616;66231;18:23:51;TR05
23/01/2017;484981385231988481;65099;18:04:59;TR05
23/01/2017;484981385231988602;65226;18:07:06;TR05
23/01/2017;484981385231582650;54438;15:07:18;TR05
23/01/2017;484981385231869746;62497;17:21:37;TR05
23/01/2017;484981385231583135;55190;15:19:50;TR05
23/01/2017;484981385231464059;52379;14:32:59;TR05
23/01/2017;484981385232041473;66046;18:20:46;TR05
23/01/2017;484981385230941339;33253;09:14:13;TR05
23/01/2017;484981385230585992;20104;05:35:04;TR05
23/01/2017;484981385232120141;67709;18:48:29;TR05
23/01/2017;484981385231988094;64692;17:58:12;TR05
23/01/2017;484981385230991516;35207;09:46:47;TR05
23/01/2017;484981385230585967;20074;05:34:34;TR05
23/01/2017;484981385230940605;32145;08:55:45;TR05
23/01/2017;484981385230991260;34850;09:40:50;TR05
23/01/2017;484981385231804820;60256;16:44:16;TR05
23/01/2017;484981385232120360;68339;18:58:59;TR05
23/01/2017;484981385230585466;18432;05:07:12;TR05
23/01/2017;484981385231463900;51707;14:21:47;TR05
23/01/2017;484981385230940548;32108;08:55:08;TR05
23/01/2017;484981385231988851;65381;18:09:41;TR05
23/01/2017;484981385232120697;69543;19:19:03;TR05
23/01/2017;484981385231280592;43486;12:04:46;TR05
23/01/2017;484981385230892983;31304;08:41:44;TR05
23/01/2017;484981385230893249;31953;08:52:33;TR05
23/01/2017;484981385231756444;59920;16:38:40;TR05
23/01/2017;484981385232120728;69634;19:20:34;TR05
23/01/2017;484981385230893264;31964;08:52:44;TR05
23/01/2017;484981385231056038;37083;10:18:03;TR05
23/01/2017;484981385230941201;33098;09:11:38;TR05
23/01/2017;484981385230585739;19449;05:24:09;TR05
23/01/2017;484981385230940577;32116;08:55:16;TR05
23/01/2017;484981385230893093;31664;08:47:44;TR05
23/01/2017;484981385231464481;53481;14:51:21;TR05
23/01/2017;484981385231055235;35634;09:53:54;TR05
23/01/2017;484981385230892523;30765;08:32:45;TR05
23/01/2017;484981385232120234;67991;18:53:11;TR05
23/01/2017;484981385232121017;70642;19:37:22;TR05
23/01/2017;484981385230585353;18253;05:04:13;TR05
23/01/2017;484981385230941400;33344;09:15:44;TR05
23/01/2017;484981385231869775;62538;17:22:18;TR05
23/01/2017;484981385231805174;61130;16:58:50;TR05
23/01/2017;484981385230892471;30738;08:32:18;TR05
23/01/2017;484981385230991217;34812;09:40:12;TR05
23/01/2017;484981385231869543;62326;17:18:46;TR05
23/01/2017;484981385230585710;19321;05:22:01;TR05
23/01/2017;484981385231756527;59995;16:39:55;TR05
23/01/2017;484981385232041557;66188;18:23:08;TR05
23/01/2017;484981385230940802;32322;08:58:42;TR05
23/01/2017;484981385231280700;43701;12:08:21;TR05
23/01/2017;484981385230862491;30422;08:27:02;TR05
23/01/2017;484981385230585849;19666;05:27:46;TR05
23/01/2017;484981385230752525;26102;07:15:02;TR05
23/01/2017;484981385230644467;20188;05:36:28;TR05
23/01/2017;484981385230940955;32557;09:02:37;TR05
23/01/2017;484981385230585933;19846;05:30:46;TR05
23/01/2017;484981385231989008;65687;18:14:47;TR05
23/01/2017;484981385231932708;64584;17:56:24;TR05
23/01/2017;484981385230991003;34488;09:34:48;TR05
23/01/2017;484981385230585380;18301;05:05:01;TR05
23/01/2017;484981385231055091;35372;09:49:32;TR05
23/01/2017;484981385230585684;19305;05:21:45;TR05
23/01/2017;484981385232248081;81171;22:32:51;TR01
23/01/2017;484981385232248048;81097;22:31:37;TR01
23/01/2017;484981385230752037;25515;07:05:15;TR04
23/01/2017;484981385231805144;61103;16:58:23;TR02
23/01/2017;484981385231707209;58795;16:19:55;TR02
23/01/2017;484981385230788860;26773;07:26:13;TR02
23/01/2017;484981385231582562;54279;15:04:39;TR02
23/01/2017;484981385230645314;25366;07:02:46;TR02
23/01/2017;484981385230789667;27802;07:43:22;TR02
23/01/2017;484981385231582863;54714;15:11:54;TR02
23/01/2017;484981385231755868;59195;16:26:35;TR02
23/01/2017;484981385231805699;61664;17:07:44;TR02
23/01/2017;484981385230645368;25392;07:03:12;TR02
23/01/2017;484981385231931738;63254;17:34:14;TR02
23/01/2017;484981385230789135;27410;07:36:50;TR02
23/01/2017;484981385231931939;63371;17:36:11;TR02
23/01/2017;484981385230752690;26233;07:17:13;TR02
23/01/2017;484981385230789578;27733;07:42:13;TR02
23/01/2017;484981385230789091;27332;07:35:32;TR02
23/01/2017;484981385231653475;56753;15:45:53;TR02
23/01/2017;484981385231931997;63413;17:36:53;TR02
23/01/2017;484981385230789519;27673;07:41:13;TR02
23/01/2017;484981385231932026;63446;17:37:26;TR02
23/01/2017;484981385231582709;54473;15:07:53;TR02
23/01/2017;484981385230789463;27640;07:40:40;TR02
23/01/2017;484981385231113483;37450;10:24:10;TR03
23/01/2017;484981385230990887;34224;09:30:24;TR03
23/01/2017;484981385230991573;35311;09:48:31;TR03
23/01/2017;484981385231756557;60059;16:40:59;TR03
23/01/2017;484981385230822008;28715;07:58:35;TR03
23/01/2017;484981385230862451;30408;08:26:48;TR03
23/01/2017;484981385230821976;28664;07:57:44;TR03
23/01/2017;484981385230990703;33678;09:21:18;TR03
23/01/2017;484981385230990769;33991;09:26:31;TR03
23/01/2017;484981385230991290;34897;09:41:37;TR03
23/01/2017;484981385231932354;63818;17:43:38;TR03
23/01/2017;484981385232470545;85687;23:48:07;ON04
23/01/2017;484981385232120877;70047;19:27:27;ON04
23/01/2017;484981385231464414;53189;14:46:29;ON04
23/01/2017;484981385231464450;53420;14:50:20;ON07
23/01/2017;484981385230940926;32521;09:02:01;ON07
23/01/2017;484981385231464298;52985;14:43:05;ON07
23/01/2017;484981385230991231;34834;09:40:34;ON07
23/01/2017;484981385230892736;31016;08:36:56;ON07
23/01/2017;484981385231055805;36372;10:06:12;ST02
23/01/2017;484981385230789748;27914;07:45:14;ST02
23/01/2017;484981385231113959;39594;10:59:54;AC00
23/01/2017;484981385231804889;60312;16:45:12;ST02
