depot;vehicle_id;vehicle_short_name;opd_date
CF;1000110;33416;23/01/2017
HN;1000111;33418;23/01/2017
SL;1000113;33420;23/01/2017
SL;1000115;33422;23/01/2017
SL;1000116;33424;23/01/2017
SL;1000117;33426;23/01/2017
SL;1000118;33428;23/01/2017
PO;1000120;33430;23/01/2017
PO;1000122;33432;23/01/2017
PO;1000124;33434;23/01/2017
PO;1000126;33436;23/01/2017
PO;1000128;33438;23/01/2017
PO;1000130;33440;23/01/2017
PO;1000132;33442;23/01/2017
PO;1000134;33444;23/01/2017
PO;1000135;33446;23/01/2017
HN;1000136;33448;23/01/2017
PO;1000138;33450;23/01/2017
HN;1000140;33452;23/01/2017
HN;1000142;33454;23/01/2017
HN;1000144;33456;23/01/2017
HN;1000146;33458;23/01/2017
RD;1000148;33460;23/01/2017
SL;1000150;33462;23/01/2017
D1;1000152;33464;23/01/2017
D1;1000154;33466;23/01/2017
D1;1000156;33468;23/01/2017
RD;1000158;33470;23/01/2017
RD;1000160;33472;23/01/2017
RD;1000162;33474;23/01/2017
RD;1000164;33476;23/01/2017
RD;1000166;33478;23/01/2017
RD;1000168;33480;23/01/2017
PO;1000170;40002;23/01/2017
RD;1000171;33482;23/01/2017
PO;1000173;40004;23/01/2017
RD;1000174;33484;23/01/2017
PO;1000176;40006;23/01/2017
RD;1000177;33486;23/01/2017
PO;1000180;40008;23/01/2017
RD;1000181;33488;23/01/2017
PO;1000183;40010;23/01/2017
RD;1000184;33490;23/01/2017
HN;1000186;40012;23/01/2017
RD;1000187;33492;23/01/2017
HN;1000189;40014;23/01/2017
RD;1000190;33494;23/01/2017
PO;1000193;33496;23/01/2017
HN;1000195;40018;23/01/2017
HN;1000198;40020;23/01/2017
HN;1000201;40022;23/01/2017
HN;1000202;33502;23/01/2017
HN;1000204;40024;23/01/2017
HN;1000205;33504;23/01/2017
HN;1000208;33506;23/01/2017
HN;1000211;33508;23/01/2017
SL;1000213;40030;23/01/2017
HN;1000340;38072;23/01/2017
HN;1000343;38074;23/01/2017
CF;1000345;38076;23/01/2017
CF;1000348;38078;23/01/2017
CF;1000351;38080;23/01/2017
CF;1000354;38082;23/01/2017
CF;1000357;38084;23/01/2017
CF;1000360;38086;23/01/2017
CF;1000363;38088;23/01/2017
D1;1000366;38090;23/01/2017
D1;1000369;38092;23/01/2017
D1;1000372;38094;23/01/2017
D1;1000375;38096;23/01/2017
D1;1000377;38098;23/01/2017
D1;1000379;38100;23/01/2017
PO;1000382;33212;23/01/2017
PO;1000389;33224;23/01/2017
HN;1000415;33274;23/01/2017
HN;1000417;33278;23/01/2017
HN;1000418;33280;23/01/2017
CF;1000420;33284;23/01/2017
CF;1000421;33286;23/01/2017
CD;1000422;33288;23/01/2017
CD;1000424;33292;23/01/2017
CD;1000425;33294;23/01/2017
CD;1000426;33296;23/01/2017
SL;1000428;33300;23/01/2017
SL;1000429;33302;23/01/2017
PO;1000431;33306;23/01/2017
PO;1000432;33308;23/01/2017
PO;1000433;33310;23/01/2017
PO;1000435;33314;23/01/2017
CF;1000436;33316;23/01/2017
RD;1000438;33320;23/01/2017
HN;1000440;33322;23/01/2017
HN;1000442;33324;23/01/2017
HN;1000443;33326;23/01/2017
D1;1000446;33330;23/01/2017
D1;1000447;33332;23/01/2017
SL;1000449;33336;23/01/2017
SL;1000451;33338;23/01/2017
SL;1000453;33340;23/01/2017
HN;1000454;33342;23/01/2017
CF;1000457;33346;23/01/2017
D1;1000458;33348;23/01/2017
CD;1000460;33352;23/01/2017
CD;1000461;33354;23/01/2017
CD;1000464;33358;23/01/2017
CD;1000465;33360;23/01/2017
PO;1000467;33364;23/01/2017
PO;1000468;33366;23/01/2017
PO;1000469;33368;23/01/2017
PO;1000471;33372;23/01/2017
HN;1000472;35002;23/01/2017
HN;1000474;35004;23/01/2017
PO;1000476;33376;23/01/2017
HN;1000478;33378;23/01/2017
HN;1000479;35008;23/01/2017
HN;1000481;35010;23/01/2017
PO;1000482;33382;23/01/2017
RD;1000483;33384;23/01/2017
D1;1000485;33388;23/01/2017
D1;1000489;33392;23/01/2017
D1;1000490;33394;23/01/2017
D1;1000492;33398;23/01/2017
CD;1000494;33400;23/01/2017
CD;1000496;33404;23/01/2017
CD;1000497;33406;23/01/2017
CD;1000499;33410;23/01/2017
CD;1000501;33412;23/01/2017
RD;1000503;33414;23/01/2017
D2;1000556;36001;23/01/2017
D2;1000558;36003;23/01/2017
D2;1000560;36005;23/01/2017
D2;1000562;36007;23/01/2017
D2;1000564;36009;23/01/2017
D2;1000566;36011;23/01/2017
D2;1000568;36013;23/01/2017
D2;1000570;36015;23/01/2017
D2;1000572;36017;23/01/2017
D2;1000574;36019;23/01/2017
D2;1000576;36021;23/01/2017
D2;1000578;36023;23/01/2017
D2;1000580;36025;23/01/2017
D2;1000582;36027;23/01/2017
D2;1000584;36029;23/01/2017
D2;1000586;36031;23/01/2017
D2;1000588;36033;23/01/2017
D2;1000590;36035;23/01/2017
PO;1000592;36037;23/01/2017
PO;1000596;36041;23/01/2017
PO;1000599;36045;23/01/2017
PO;1000603;36049;23/01/2017
PO;1000607;36053;23/01/2017
PO;1000609;36055;23/01/2017
PO;1000611;36057;23/01/2017
PO;1000613;36061;23/01/2017
PO;1000614;36063;23/01/2017
PO;1000615;36065;23/01/2017
PO;1000617;36069;23/01/2017
D2;1000639;28051;23/01/2017
PO;1000665;33051;23/01/2017
PO;1000666;33053;23/01/2017
PO;1000672;33065;23/01/2017
PO;1000686;33093;23/01/2017
