opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
11/01/2017;484981385205612811;33393;09:16:33;TR01
11/01/2017;484981385205464943;30121;08:22:01;TR01
11/01/2017;484981385205531593;30262;08:24:22;TR01
11/01/2017;484981385206898700;67142;18:39:02;TR01
11/01/2017;484981385205127300;18733;05:12:13;TR05
11/01/2017;484981385205127749;19748;05:29:08;TR05
11/01/2017;484981385206898758;67205;18:40:05;TR05
11/01/2017;484981385205204395;21153;05:52:33;TR05
11/01/2017;484981385206168099;51458;14:17:38;TR05
11/01/2017;484981385206773059;64889;18:01:29;TR05
11/01/2017;484981385206773313;65752;18:15:52;TR05
11/01/2017;484981385205203880;20475;05:41:15;TR05
11/01/2017;484981385205612464;32549;09:02:29;TR05
11/01/2017;484981385205612754;33332;09:15:32;TR05
11/01/2017;484981385205464346;28540;07:55:40;TR05
11/01/2017;484981385205204217;20923;05:48:43;TR05
11/01/2017;484981385205127777;19846;05:30:46;TR05
11/01/2017;484981385205127583;19350;05:22:30;TR05
11/01/2017;484981385206591521;59925;16:38:45;TR05
11/01/2017;484981385206657385;61965;17:12:45;TR05
11/01/2017;484981385205532024;31470;08:44:30;TR05
11/01/2017;484981385205127832;19957;05:32:37;TR05
11/01/2017;484981385205402821;27018;07:30:18;TR05
11/01/2017;484981385205204268;20971;05:49:31;TR05
11/01/2017;484981385206773685;66978;18:36:18;TR05
11/01/2017;484981385206773211;65300;18:08:20;TR05
11/01/2017;484981385205127496;19171;05:19:31;TR05
11/01/2017;484981385205265090;26153;07:15:53;TR05
11/01/2017;484981385205265131;26175;07:16:15;TR05
11/01/2017;484981385205204242;20940;05:49:00;TR05
11/01/2017;484981385205204482;21254;05:54:14;TR05
11/01/2017;484981385205204191;20909;05:48:29;TR05
11/01/2017;484981385205464172;28419;07:53:39;TR05
11/01/2017;484981385205532530;32468;09:01:08;TR05
11/01/2017;484981385205127275;18711;05:11:51;TR05
11/01/2017;484981385206168453;52913;14:41:53;TR05
11/01/2017;484981385205464280;28487;07:54:47;TR05
11/01/2017;484981385205127440;19062;05:17:42;TR05
11/01/2017;484981385205264680;25582;07:06:22;TR05
11/01/2017;484981385206899017;68320;18:58:40;TR05
11/01/2017;484981385205403319;27803;07:43:23;TR05
11/01/2017;484981385205127381;18887;05:14:47;TR05
11/01/2017;484981385205204627;21411;05:56:51;TR05
11/01/2017;484981385205265188;26255;07:17:35;TR05
11/01/2017;484981385206898817;67287;18:41:27;TR05
11/01/2017;484981385206296533;52955;14:42:35;TR05
11/01/2017;484981385205532441;32369;08:59:29;TR05
11/01/2017;484981385205127736;19743;05:29:03;TR05
11/01/2017;484981385205204600;21387;05:56:27;TR05
11/01/2017;484981385205464088;28304;07:51:44;TR05
11/01/2017;484981385205402937;27189;07:33:09;TR05
11/01/2017;484981385205264654;25541;07:05:41;TR05
11/01/2017;484981385206494866;59325;16:28:45;TR05
11/01/2017;484981385206494355;58036;16:07:16;TR05
11/01/2017;484981385205204344;21079;05:51:19;TR05
11/01/2017;484981385206657926;63762;17:42:42;TR05
11/01/2017;484981385206773504;66491;18:28:11;TR05
11/01/2017;484981385206898924;67964;18:52:44;TR05
11/01/2017;484981385206773655;66917;18:35:17;TR05
11/01/2017;484981385205127890;20040;05:34:00;TR05
11/01/2017;484981385206296596;53149;14:45:49;TR05
11/01/2017;484981385206657895;63685;17:41:25;TR05
11/01/2017;484981385205531687;30535;08:28:55;TR05
11/01/2017;484981385205722394;36107;10:01:47;TR05
11/01/2017;484981385205204542;21314;05:55:14;TR05
11/01/2017;484981385205204423;21184;05:53:04;TR05
11/01/2017;484981385205204141;20863;05:47:43;TR05
11/01/2017;484981385205127613;19489;05:24:49;TR05
11/01/2017;484981385206773623;66807;18:33:27;TR05
11/01/2017;484981385205203997;20624;05:43:44;TR05
11/01/2017;484981385205531904;31335;08:42:15;TR05
11/01/2017;484981385205531746;30672;08:31:12;TR05
11/01/2017;484981385205203938;20564;05:42:44;TR05
11/01/2017;484981385206377911;56374;15:39:34;TR05
11/01/2017;484981385206773586;66543;18:29:03;TR05
11/01/2017;484981385205127325;18747;05:12:27;TR05
11/01/2017;484981385206773417;66279;18:24:39;TR05
11/01/2017;484981385205612782;33361;09:16:01;TR05
11/01/2017;484981385205127698;19661;05:27:41;TR05
11/01/2017;484981385205403507;28021;07:47:01;TR05
11/01/2017;484981385205532354;32159;08:55:59;TR05
11/01/2017;484981385205127920;20173;05:36:13;TR05
11/01/2017;484981385205127554;19244;05:20:44;TR05
11/01/2017;484981385206657803;63522;17:38:42;TR05
11/01/2017;484981385205264949;26078;07:14:38;TR05
11/01/2017;484981385205127804;19879;05:31:19;TR05
11/01/2017;484981385205402618;26469;07:21:09;TR05
11/01/2017;484981385205204057;20687;05:44:47;TR05
11/01/2017;484981385206168210;51853;14:24:13;TR05
11/01/2017;484981385206377854;56166;15:36:06;TR05
11/01/2017;484981385205204294;20991;05:49:51;TR05
11/01/2017;484981385205403399;27900;07:45:00;TR05
11/01/2017;484981385205127353;18854;05:14:14;TR05
11/01/2017;484981385205204116;20847;05:47:27;TR05
