opd_date;vehicle_id;event_no;meters;act_dep_time;nom_dep_time;nom_end_time;act_end_time;line_id;trip_id;pattern_id;pattern_direction;trip_type;pattern_quality;block_id;passenger_data;time_grp_id;is_additional_trip
11/01/2017;1000110;1735880895;9261;27807;27300;28500;27807;31;2798007;577;;2;50;2042496;;2798006;0
11/01/2017;1000110;1735880900;9261;28799;28800;32669;32812;31;2672088;2313186;Inbound;0;100;2042496;;2313631;0
11/01/2017;1000110;1735880988;31649;33482;32700;32700;33493;31;2798008;569;;3;100;2042496;;2788516;0
11/01/2017;1000110;1735880991;31715;33493;33300;36375;36692;31;2331768;1030754;Outbound;0;100;2042496;;2313605;0
11/01/2017;1000110;1735881076;54545;37781;37800;40829;40488;31;2331769;1030755;Inbound;0;100;2042496;;2313614;0
11/01/2017;1000110;1735881159;77082;40577;41400;42900;40577;31;2798009;571;;4;50;2042496;;2797013;0
11/01/2017;1000110;1735881195;95356;60411;60300;65940;65552;2106021;2179654;2178940;Inbound;0;100;1711410;;2178953;0
11/01/2017;1000110;1735881295;127154;65565;65700;66900;65565;2106021;2797451;272;;4;50;1711410;;2797450;0
11/01/2017;1000113;1735881323;6295;25380;25200;29832;28990;16;1900797;1885240;Outbound;0;95;1885217;;1886377;0
11/01/2017;1000113;1735881409;23335;30431;29340;29340;30738;16;2791812;202;;3;100;1885217;;2788506;0
11/01/2017;1000113;1735881414;24073;31194;31200;36831;36685;16;2764300;1885243;Inbound;0;100;1885217;;1886408;0
11/01/2017;1000113;1735881526;46683;38900;38880;44176;43325;16;1900801;1005952;Outbound;0;100;1885217;;1886363;0
11/01/2017;1000113;1735881632;70124;43325;44340;44340;45095;16;2791813;202;;3;100;1885217;;2788508;0
11/01/2017;1000113;1735881636;71061;45362;45360;50905;50781;16;1900803;1885243;Inbound;0;98;1885217;;1886404;0
11/01/2017;1000113;1735881745;93663;51888;51840;57830;56921;16;1900804;1005952;Outbound;0;100;1885217;;1886352;0
11/01/2017;1000113;1735881850;116955;56955;58200;58200;58681;16;2791814;202;;3;100;1885217;;2788510;0
11/01/2017;1000113;1735881855;118024;58817;58800;65503;64489;16;2764303;1885243;Inbound;0;100;1885217;;1886417;0
11/01/2017;1000113;1735881961;140598;65694;65700;71740;70200;16;1900807;1005952;Outbound;0;100;1885217;;1886348;0
11/01/2017;1000113;1735882067;164044;70200;73800;75300;70200;16;2791816;203;;4;50;1885217;;2791815;0
11/01/2017;1000115;1736182463;5494;22551;21300;22200;22551;16;2802973;205;;2;50;1885212;;2802972;0
11/01/2017;1000115;1736182465;5494;22806;22800;26540;26593;16;1899524;1885240;Outbound;0;100;1885212;;1886380;0
11/01/2017;1000115;1736182545;24128;28795;28800;34951;34876;16;1899527;1885243;Inbound;0;98;1885212;;1886391;0
11/01/2017;1000115;1736182653;46524;36719;36720;42016;43358;16;1899528;1005952;Outbound;0;100;1885212;;1886363;0
11/01/2017;1000115;1736182759;70183;43358;42180;42180;43716;16;2802975;202;;3;100;1885212;;2788508;0
11/01/2017;1000115;1736182762;70805;43926;43920;49465;49293;16;1899530;1885243;Inbound;0;100;1885212;;1886404;0
11/01/2017;1000115;1736182867;93434;50442;50400;55870;56121;16;1899531;1005952;Outbound;0;100;1885212;;1886365;0
11/01/2017;1000115;1736182981;116712;57433;56640;56640;57433;16;2802976;202;;3;50;1885212;;2788037;0
11/01/2017;1000115;1736182987;119094;57858;57600;63952;62693;16;2750237;1885243;Inbound;0;94;1885212;;1886402;0
11/01/2017;1000115;1736183079;139824;62727;66000;66900;62727;16;2802978;204;;4;50;1885212;;2802977;0
11/01/2017;1000116;1735882101;16133;22538;20700;20880;22538;41;1794245;12;;2;50;1712084;;1552335;0
11/01/2017;1000116;1735882103;16133;22559;22500;26097;25539;41;1738124;1003967;Inbound;0;100;1712084;;1;0
11/01/2017;1000116;1735882172;35996;26700;26640;29930;30751;41;1738125;1009919;Outbound;0;100;1712084;;1;0
