opd_date;vehicle_id;event_no;meters;act_dep_time;nom_dep_time;nom_end_time;act_end_time;line_id;trip_id;pattern_id;pattern_direction;trip_type;pattern_quality;block_id;passenger_data;time_grp_id;is_additional_trip
08/01/2017;1000110;1734173999;7277;37834;36900;37800;37834;53;2780123;665;;2;50;1871804;;2780122;0
08/01/2017;1000110;1734174001;7277;37864;37800;38822;38889;53;2330260;2313195;Inbound;0;100;1871804;;2313820;0
08/01/2017;1000110;1734174022;14394;39675;39600;40560;41539;53;1872458;1871810;Outbound;0;90;1871804;;1871941;0
08/01/2017;1000110;1734174048;21838;41539;41400;42422;42586;53;2330263;2313195;Inbound;0;100;1871804;;2313820;0
08/01/2017;1000110;1734174070;28775;43234;42240;42240;43296;53;2803657;318;;3;100;1871804;;2803655;0
08/01/2017;1000110;1734174074;28853;43296;43200;44160;45131;53;1872460;1871810;Outbound;0;95;1871804;;1871943;0
08/01/2017;1000110;1734174102;39686;45392;45000;46156;46013;53;2330265;2313195;Inbound;0;71;1871804;;2313825;0
08/01/2017;1000110;1734174117;43148;46676;45840;45840;46677;53;2803659;318;;3;100;1871804;;2803658;0
08/01/2017;1000110;1734174120;43164;46778;46800;47760;48585;53;1872462;1871810;Outbound;0;100;1871804;;1871943;0
08/01/2017;1000110;1734174150;50433;48608;48600;49756;49672;53;2330380;2313195;Inbound;0;100;1871804;;2313825;0
08/01/2017;1000110;1734174171;57537;54159;54000;54960;55868;53;1872464;1871810;Outbound;0;81;1871804;;1871952;0
08/01/2017;1000110;1734174198;64900;55868;55800;57015;57005;53;2330382;2313195;Inbound;0;100;1871804;;2313815;0
08/01/2017;1000110;1734174221;71806;57713;56640;56640;57822;53;2803662;318;;3;100;1871804;;2803661;0
08/01/2017;1000110;1734174225;71895;57822;57600;58560;58978;53;1872466;1871810;Outbound;0;90;1871804;;1871952;0
08/01/2017;1000110;1734174250;79050;59406;59400;60615;60372;53;2330385;2313195;Inbound;0;100;1871804;;2313815;0
08/01/2017;1000110;1734174267;86118;61147;60240;60240;61221;53;2803663;318;;3;100;1871804;;2803661;0
08/01/2017;1000110;1734174271;86223;61222;61200;62160;62697;53;1872468;1871810;Outbound;0;81;1871804;;1871934;0
08/01/2017;1000110;1734174297;93464;62969;63000;64647;63871;53;2330387;2313195;Inbound;0;100;1871804;;2313832;0
08/01/2017;1000110;1734174314;100518;64709;63840;63840;64755;53;2803665;318;;3;100;1871804;;2803664;0
08/01/2017;1000110;1734174318;100616;64756;64800;65760;65746;53;1872470;1871810;Outbound;0;95;1871804;;1886732;0
08/01/2017;1000110;1734174343;107765;65777;66300;67200;65777;53;2780192;666;;4;50;1871804;;2780191;0
08/01/2017;1000113;1735042911;57;43693;42300;43200;;41;1802123;12;;2;0;1712587;;1786448;0
08/01/2017;1000113;1735042939;19329;47755;47700;51261;50735;41;1718222;1009919;Outbound;0;100;1712587;;1529019;0
08/01/2017;1000113;1735043014;38910;50735;50820;50820;50765;41;1802124;5;;3;100;1712587;;1784468;0
08/01/2017;1000113;1735043017;39063;51595;51600;56066;55181;41;1718225;1003967;Inbound;0;100;1712587;;1529018;0
08/01/2017;1000113;1735043100;58982;55850;55800;59077;59805;41;1718226;1003963;Outbound;0;100;1712587;;1529011;0
08/01/2017;1000113;1735043170;77246;59805;58800;58800;60308;41;1802125;5;;3;100;1712587;;1784470;0
08/01/2017;1000113;1735043173;77443;60353;60000;63232;63618;41;1718229;1003967;Inbound;0;87;1712587;;1529015;0
08/01/2017;1000113;1735043238;94833;63815;63600;67143;67307;41;1718230;1009919;Outbound;0;100;1712587;;1529022;0
08/01/2017;1000113;1735043313;114479;67307;66840;66840;67556;41;1802126;5;;3;100;1712587;;1784470;0
08/01/2017;1000113;1735043316;114677;67568;67500;71336;71049;41;1718232;1065176;Inbound;0;100;1712587;;1529026;0
08/01/2017;1000113;1735043395;134708;73721;73800;76768;76318;41;1738417;1003963;Outbound;0;100;1712086;;1529009;0
08/01/2017;1000113;1735043460;152972;76318;76740;76740;76345;41;1794389;5;;3;100;1712086;;1794390;0
08/01/2017;1000113;1735043463;153105;77358;77400;80181;79647;41;1738419;1065176;Inbound;0;100;1712086;;1886603;0
08/01/2017;1000113;1735043528;173191;80896;81000;83573;83113;41;1738420;1003963;Outbound;0;100;1712086;;1886598;0
08/01/2017;1000113;1735043587;191469;83113;83760;83760;83143;41;1794391;5;;3;100;1712086;;1897084;0
08/01/2017;1000113;1735043590;191610;84540;84600;87381;86598;41;1738422;1065176;Inbound;0;98;1712086;;1886603;0
08/01/2017;1000118;1734175138;10337;40532;38400;39300;40532;16;2802123;209;;2;50;1712299;;2788531;0
08/01/2017;1000118;1734175140;10337;40789;40800;45482;45248;16;1895965;1005952;Outbound;0;100;1712299;;1886368;0
08/01/2017;1000118;1734175243;33692;46455;45420;45420;46550;16;2802124;202;;3;100;1712299;;2788533;0
08/01/2017;1000118;1734175247;34409;46790;46800;51996;53480;16;1895968;1885243;Inbound;0;100;1712299;;1886414;0
08/01/2017;1000118;1734175376;67758;54831;52800;58191;57758;16;1895969;1005952;Outbound;0;55;1712299;;1886351;0
08/01/2017;1000118;1734175444;79866;58661;58260;58260;58741;16;2802125;202;;3;100;1712299;;2791820;0
08/01/2017;1000118;1734175447;80580;58791;58800;64405;63660;16;1895971;1885243;Inbound;0;100;1712299;;1886389;0
08/01/2017;1000118;1734175551;103194;64818;64800;69788;68953;16;1895972;1005952;Outbound;0;100;1712299;;1886376;0
08/01/2017;1000118;1734175651;126519;70631;69900;69900;70724;16;2802126;202;;3;100;1712299;;2791822;0
08/01/2017;1000118;1734175654;127246;70814;70800;75509;75264;16;1895975;1885243;Inbound;0;98;1712299;;1886386;0
08/01/2017;1000118;1734175755;149852;75858;76800;80851;81026;16;1895976;1005952;Outbound;0;98;1712299;;1886346;0
08/01/2017;1000118;1734175864;173163;81041;81300;81300;81041;16;2802127;202;;3;50;1712299;;2791824;0
08/01/2017;1000118;1734175869;175542;82897;82800;85080;84172;16;1895978;1885247;Inbound;0;90;1712299;;1886426;0
08/01/2017;1000118;1734175915;185775;84172;85800;86160;84172;16;2802129;207;;4;50;1712299;;2802128;0
08/01/2017;1000156;1734107410;8669;33474;33300;35508;35476;63;2790765;2786752;Outbound;0;100;1710978;;2786939;0
08/01/2017;1000156;1734107460;24154;36005;36000;38165;38687;63;2790766;2786757;Inbound;0;94;1710978;;2786978;0
08/01/2017;1000156;1734107500;39174;38714;38700;41162;40977;63;2790767;2786753;Outbound;0;100;1710978;;2786952;0
08/01/2017;1000156;1734107552;56200;41403;41400;43565;43979;63;2790768;2786757;Inbound;0;100;1710978;;2786978;0
08/01/2017;1000156;1734107599;71801;44151;44100;46922;46800;63;2790769;2786753;Outbound;0;100;1710978;;2786957;0
08/01/2017;1000156;1734107656;88803;46813;46800;49291;48807;63;2790770;2786757;Inbound;0;100;1710978;;2786981;0
08/01/2017;1000156;1734107702;103760;49593;49500;52322;52448;63;2790771;2786753;Outbound;0;100;1710978;;2786957;0
08/01/2017;1000156;1734107763;120766;52513;52200;54691;55229;63;2790772;2786757;Inbound;0;100;1710978;;2786981;0
08/01/2017;1000156;1734107812;136295;55718;54900;57999;55718;63;2790773;2786753;Outbound;0;2;1710978;;2786947;0
08/01/2017;1000160;1734107857;199;39599;39600;39600;39599;1468596;2795055;100;;2;50;1711774;;2795054;0
08/01/2017;1000160;1734107859;199;39625;39600;42841;42298;1468596;1731641;1468630;Outbound;0;100;1711774;;1886738;0
08/01/2017;1000160;1734107929;18762;42314;41940;41940;44024;1468596;2795057;98;;3;100;1711774;;2795056;0
08/01/2017;1000160;1734107933;18842;44108;44100;47471;47286;1468596;1731644;1468629;Inbound;0;100;1711774;;1529218;0
08/01/2017;1000160;1734108002;37851;47286;46860;46860;47347;1468596;2795059;97;;3;100;1711774;;2795058;0
08/01/2017;1000160;1734108010;38080;48522;48600;51878;51995;1468596;1731647;1468630;Outbound;0;100;1711774;;1529223;0
08/01/2017;1000160;1734108087;56792;52015;51360;51360;52993;1468596;2795060;98;;3;100;1711774;;2538866;0
08/01/2017;1000160;1734108091;56877;53109;53100;56237;55978;1468596;1731650;1468629;Inbound;0;100;1711774;;1529221;0
08/01/2017;1000160;1734108157;76012;96570;55860;55860;96570;1468596;2795062;97;;3;50;1711774;;2795061;0
08/01/2017;1000173;1734342228;25715;33429;33300;36271;36182;67;2805890;2281417;Inbound;0;96;1711641;;2805852;0
08/01/2017;1000173;1734342303;53328;38595;36480;36480;38669;67;2805892;297;;3;100;1711641;;2805891;0
08/01/2017;1000173;1734342307;53419;38669;38700;42333;41703;67;2805893;1229519;Outbound;0;100;1711641;;1529271;0
08/01/2017;1000173;1734342390;82564;41703;42480;42480;41733;67;2805894;298;;3;100;1711641;;2797577;0
08/01/2017;1000173;1734342393;82840;44105;44100;48359;47538;67;2805895;2281417;Inbound;0;98;1711641;;2281701;0
08/01/2017;1000173;1734342489;120279;53496;52200;53100;53496;120;2788598;83;;2;50;1711152;;2698803;0
08/01/2017;1000173;1734342494;120279;53528;53100;54770;55144;120;1721808;1414859;Inbound;0;100;1711152;;1528520;0
08/01/2017;1000173;1734342524;127708;55446;54240;54240;55446;120;2788599;79;;3;100;1711152;;2540052;0
08/01/2017;1000173;1734342527;127708;55749;55800;57868;57555;120;1721811;1414857;Outbound;0;100;1711152;;1528519;0
08/01/2017;1000173;1734342560;135231;58217;57300;57300;58544;120;2788601;78;;3;100;1711152;;2788600;0
08/01/2017;1000173;1734342564;135776;58569;58500;60115;60299;120;1721814;1414859;Inbound;0;100;1711152;;1886268;0
08/01/2017;1000173;1734342593;143024;61136;59460;59460;61155;120;2788602;79;;3;100;1711152;;2544219;0
08/01/2017;1000173;1734342596;143066;61155;61200;63268;63157;120;1721817;1414857;Outbound;0;100;1711152;;1528519;0
08/01/2017;1000173;1734342629;150538;63614;62700;62700;63710;120;2788603;78;;3;100;1711152;;2788600;0
08/01/2017;1000173;1734342632;151087;63830;63900;65515;65743;120;1721819;1414859;Inbound;0;100;1711152;;1886268;0
08/01/2017;1000173;1734342664;158632;66000;66300;66300;66000;120;2788604;79;;3;100;1711152;;2544219;0
08/01/2017;1000173;1734342667;158632;66559;66600;68668;68314;120;1721821;1414857;Outbound;0;100;1711152;;1528519;0
08/01/2017;1000173;1734342704;166150;69101;68100;68100;69208;120;2788605;78;;3;100;1711152;;2788600;0
08/01/2017;1000173;1734342707;166664;69269;69300;70775;71014;120;1721823;1414859;Inbound;0;100;1711152;;18;0
08/01/2017;1000173;1734342736;173952;71959;70260;70260;71969;120;2788606;79;;3;100;1711152;;2546467;0
08/01/2017;1000173;1734342739;173991;71969;72000;73926;73733;120;1721826;1414857;Outbound;0;100;1711152;;1528517;0
08/01/2017;1000173;1734342771;181328;74330;73380;73380;74659;120;2788608;78;;3;100;1711152;;2788607;0
08/01/2017;1000173;1734342775;182012;74659;74700;76175;76232;120;1721829;1414859;Inbound;0;100;1711152;;18;0
08/01/2017;1000173;1734342805;189526;76232;77100;78300;76232;120;2788609;81;;4;50;1711152;;2546471;0
08/01/2017;1000176;1734196992;14802;36248;34800;36000;36248;38;2789611;586;;2;50;2408035;;2789610;0
