vehicle_id;vehicle_code;short_name;valid_from;valid_until
1000449;AV336;33336;01/01/1970;01/01/2036
1000451;AV338;33338;01/01/1970;01/01/2036
1000453;AV340;33340;01/01/1970;01/01/2036
1000454;AV342;33342;01/01/1970;01/01/2036
1000457;AV346;33346;01/01/1970;01/01/2036
1000458;AV348;33348;01/01/1970;01/01/2036
1000460;AV352;33352;01/01/1970;01/01/2036
1000461;AV354;33354;01/01/1970;01/01/2036
1000464;AV358;33358;01/01/1970;01/01/2036
1000465;AV360;33360;01/01/1970;01/01/2036
1000467;AV364;33364;01/01/1970;01/01/2036
1000468;AV366;33366;01/01/1970;01/01/2036
1000469;AV368;33368;01/01/1970;01/01/2036
1000471;AV372;33372;01/01/1970;01/01/2036
1000472;DT2;35002;01/01/1970;01/01/2036
1000474;DT4;35004;01/01/1970;01/01/2036
1000476;AV376;33376;01/01/1970;01/01/2036
1000478;AV378;33378;01/01/1970;01/01/2036
1000479;DT8;35008;01/01/1970;01/01/2036
1000481;DT10;35010;01/01/1970;01/01/2036
1000482;AV382;33382;01/01/1970;01/01/2036
1000483;AV384;33384;01/01/1970;01/01/2036
1000485;AV388;33388;01/01/1970;01/01/2036
1000489;AV392;33392;01/01/1970;01/01/2036
1000490;AV394;33394;01/01/1970;01/01/2036
1000492;AV398;33398;01/01/1970;01/01/2036
1000494;AV400;33400;01/01/1970;01/01/2036
1000496;AV404;33404;01/01/1970;01/01/2036
1000497;AV406;33406;01/01/1970;01/01/2036
1000499;AV410;33410;01/01/1970;01/01/2036
1000501;AV412;33412;01/01/1970;01/01/2036
1000503;AV414;33414;01/01/1970;01/01/2036
1000556;VT1;36001;01/01/1970;01/01/2036
1000558;VT3;36003;01/01/1970;01/01/2036
1000560;VT5;36005;01/01/1970;01/01/2036
1000562;VT7;36007;01/01/1970;01/01/2036
1000564;VT9;36009;01/01/1970;01/01/2036
1000566;VT11;36011;01/01/1970;01/01/2036
1000568;VT13;36013;01/01/1970;01/01/2036
1000570;VT15;36015;01/01/1970;01/01/2036
1000572;VT17;36017;01/01/1970;01/01/2036
1000574;VT19;36019;01/01/1970;01/01/2036
1000576;VT21;36021;01/01/1970;01/01/2036
1000578;VT23;36023;01/01/1970;01/01/2036
1000580;VT25;36025;01/01/1970;01/01/2036
1000582;VT27;36027;01/01/1970;01/01/2036
1000584;VT29;36029;01/01/1970;01/01/2036
1000586;VT31;36031;01/01/1970;01/01/2036
1000588;VT33;36033;01/01/1970;01/01/2036
1000590;VT35;36035;01/01/1970;01/01/2036
1000592;VT37;36037;01/01/1970;01/01/2036
1000596;VT41;36041;01/01/1970;01/01/2036
1000599;VT45;36045;01/01/1970;01/01/2036
1000603;VT49;36049;01/01/1970;01/01/2036
1000607;VT53;36053;01/01/1970;01/01/2036
1000609;VT55;36055;01/01/1970;01/01/2036
1000611;VT57;36057;01/01/1970;01/01/2036
1000613;VT61;36061;01/01/1970;01/01/2036
1000614;VT63;36063;01/01/1970;01/01/2036
1000615;VT65;36065;01/01/1970;01/01/2036
1000617;VT69;36069;01/01/1970;01/01/2036
1000639;WV51;28051;01/01/1970;01/01/2036
1000651;AV23;33023;01/01/1970;01/01/2036
1000665;AV51;33051;01/01/1970;01/01/2036
1000666;AV53;33053;01/01/1970;01/01/2036
1000672;AV65;33065;01/01/1970;01/01/2036
1000686;AV93;33093;01/01/1970;01/01/2036
1000694;EV1;38001;01/01/1970;01/01/2036
1000216;VG32;40032;01/01/1970;01/01/2036
1000218;VG34;40034;01/01/1970;01/01/2036
1000219;AX514;33514;01/01/1970;01/01/2036
1000220;VG36;40036;01/01/1970;01/01/2036
1000222;VG38;40038;01/01/1970;01/01/2036
1000223;AX518;33518;01/01/1970;01/01/2036
1000224;VG40;40040;01/01/1970;01/01/2036
1000226;VG42;40042;01/01/1970;01/01/2036
1000227;AX522;33522;01/01/1970;01/01/2036
1000229;VG44;40044;01/01/1970;01/01/2036
1000230;AX524;33524;01/01/1970;01/01/2036
1000233;AX526;33526;01/01/1970;01/01/2036
1000236;AX528;33528;01/01/1970;01/01/2036
1000238;VG50;40050;01/01/1970;01/01/2036
1000241;AX532;33532;01/01/1970;01/01/2036
1000243;AX534;33534;01/01/1970;01/01/2036
1000245;AX536;33536;01/01/1970;01/01/2036
1000247;AX538;33538;01/01/1970;01/01/2036
1000249;AX540;33540;01/01/1970;01/01/2036
1000251;AX542;33542;01/01/1970;01/01/2036
1000255;AX546;33546;01/01/1970;01/01/2036
1000259;AX550;33550;01/01/1970;01/01/2036
1000261;AX552;33552;01/01/1970;01/01/2036
1000263;AX554;33554;01/01/1970;01/01/2036
1000265;AX556;33556;01/01/1970;01/01/2036
1000266;VT2;36002;01/01/1970;01/01/2036
1000269;VT4;36004;01/01/1970;01/01/2036
1000272;VT6;36006;01/01/1970;01/01/2036
1000274;AX562;33562;01/01/1970;01/01/2036
1000277;AX564;33564;01/01/1970;01/01/2036
1000280;AX566;33566;01/01/1970;01/01/2036
1000281;VT12;36012;01/01/1970;01/01/2036
1000283;AX568;33568;01/01/1970;01/01/2036
1000284;VT14;36014;01/01/1970;01/01/2036
1000286;AX570;33570;01/01/1970;01/01/2036
1000287;VT16;36016;01/01/1970;01/01/2036
1000290;VT18;36018;01/01/1970;01/01/2036
1000293;VT20;36020;01/01/1970;01/01/2036
1000295;AX576;33576;01/01/1970;01/01/2036
1000298;AX578;33578;01/01/1970;01/01/2036
1000299;VT24;36024;01/01/1970;01/01/2036
1000301;AX580;33580;01/01/1970;01/01/2036
1000302;VT26;36026;01/01/1970;01/01/2036
1000304;AX582;33582;01/01/1970;01/01/2036
1000305;VT28;36028;01/01/1970;01/01/2036
1000307;EV42;38042;01/01/1970;01/01/2036
1000309;EV44;38044;01/01/1970;01/01/2036
1000310;AV154;33154;01/01/1970;01/01/2036
1000311;EV46;38046;01/01/1970;01/01/2036
1000312;AV156;33156;01/01/1970;01/01/2036
1000313;EV48;38048;01/01/1970;01/01/2036
1000315;EV50;38050;01/01/1970;01/01/2036
1000316;AV160;33160;01/01/1970;01/01/2036
1000318;EV52;38052;01/01/1970;01/01/2036
1000319;AV162;33162;01/01/1970;01/01/2036
1000321;EV54;38054;01/01/1970;01/01/2036
1000323;EV56;38056;01/01/1970;01/01/2036
1000325;EV58;38058;01/01/1970;01/01/2036
1000327;EV60;38060;01/01/1970;01/01/2036
1000328;AV170;33170;01/01/1970;01/01/2036
1000329;EV62;38062;01/01/1970;01/01/2036
1000330;AV172;33172;01/01/1970;01/01/2036
1000331;EV64;38064;01/01/1970;01/01/2036
1000332;AV174;33174;01/01/1970;01/01/2036
1000333;EV66;38066;01/01/1970;01/01/2036
1000334;AV176;33176;01/01/1970;01/01/2036
1000335;EV68;38068;01/01/1970;01/01/2036
1000337;EV70;38070;01/01/1970;01/01/2036
1000800;AV221;33221;01/01/1970;01/01/2036
1000802;AV225;33225;01/01/1970;01/01/2036
1000803;AV227;33227;01/01/1970;01/01/2036
1000805;AV231;33231;01/01/1970;01/01/2036
1000806;AV233;33233;01/01/1970;01/01/2036
1000807;AV235;33235;01/01/1970;01/01/2036
1000809;AV239;33239;01/01/1970;01/01/2036
1000810;AV241;33241;01/01/1970;01/01/2036
1000812;AV245;33245;01/01/1970;01/01/2036
1000813;AV247;33247;01/01/1970;01/01/2036
1000814;AV249;33249;01/01/1970;01/01/2036
1000816;AV253;33253;01/01/1970;01/01/2036
1000817;AV255;33255;01/01/1970;01/01/2036
1000818;AV257;33257;01/01/1970;01/01/2036
1000820;AV261;33261;01/01/1970;01/01/2036
1000821;AV263;33263;01/01/1970;01/01/2036
1000823;AV267;33267;01/01/1970;01/01/2036
1000824;AV269;33269;01/01/1970;01/01/2036
1000825;AV271;33271;01/01/1970;01/01/2036
1000827;AV275;33275;01/01/1970;01/01/2036
1000828;AV277;33277;01/01/1970;01/01/2036
1000830;AV281;33281;01/01/1970;01/01/2036
1000831;AV283;33283;01/01/1970;01/01/2036
1000832;AV285;33285;01/01/1970;01/01/2036
1000834;AV289;33289;01/01/1970;01/01/2036
1000835;AV291;33291;01/01/1970;01/01/2036
1000836;AV293;33293;01/01/1970;01/01/2036
1000838;AV297;33297;01/01/1970;01/01/2036
1000839;AV299;33299;01/01/1970;01/01/2036
1000841;AV303;33303;01/01/1970;01/01/2036
1000842;AV305;33305;01/01/1970;01/01/2036
1000843;AV307;33307;01/01/1970;01/01/2036
1000845;AV311;33311;01/01/1970;01/01/2036
1000846;AV313;33313;01/01/1970;01/01/2036
1000848;AV317;33317;01/01/1970;01/01/2036
1000849;AV319;33319;01/01/1970;01/01/2036
1000850;AV321;33321;01/01/1970;01/01/2036
1000852;AV325;33325;01/01/1970;01/01/2036
1000853;AV327;33327;01/01/1970;01/01/2036
1000854;AV329;33329;01/01/1970;01/01/2036
1000856;AV331;33331;01/01/1970;01/01/2036
1000857;AV333;33333;01/01/1970;01/01/2036
1000860;AV337;33337;01/01/1970;01/01/2036
1000861;AV339;33339;01/01/1970;01/01/2036
1000863;AV343;33343;01/01/1970;01/01/2036
1000864;AV345;33345;01/01/1970;01/01/2036
1000866;AV349;33349;01/01/1970;01/01/2036
1000867;AV351;33351;01/01/1970;01/01/2036
1000868;AV353;33353;01/01/1970;01/01/2036
1000870;AV357;33357;01/01/1970;01/01/2036
