opd_date;act_time;vehicle_short_name;device_type;defect_type
09/01/2017;23808;33416;Internal EEPROM (COPILOTpc);OK
09/01/2017;23808;33416;External EEPROM (COPILOTpc);OK
09/01/2017;24515;33416;TicketMachine;OK
09/01/2017;80497;33416;Internal EEPROM (COPILOTpc);OK
09/01/2017;80497;33416;External EEPROM (COPILOTpc);OK
09/01/2017;96717;33416;Internal EEPROM (COPILOTpc);OK
09/01/2017;96717;33416;External EEPROM (COPILOTpc);OK
09/01/2017;32463;33418;External EEPROM (COPILOTpc);OK
09/01/2017;32464;33418;Internal EEPROM (COPILOTpc);OK
09/01/2017;33031;33418;TicketMachine;OK
09/01/2017;20424;33420;Internal EEPROM (COPILOTpc);OK
09/01/2017;20424;33420;External EEPROM (COPILOTpc);OK
09/01/2017;22517;33420;TicketMachine;OK
09/01/2017;76189;33420;Internal EEPROM (COPILOTpc);OK
09/01/2017;76189;33420;External EEPROM (COPILOTpc);OK
09/01/2017;76817;33420;TicketMachine;OK
09/01/2017;97184;33420;Internal EEPROM (COPILOTpc);OK
09/01/2017;97184;33420;External EEPROM (COPILOTpc);OK
09/01/2017;26962;33422;Internal EEPROM (COPILOTpc);OK
09/01/2017;26962;33422;External EEPROM (COPILOTpc);OK
09/01/2017;49597;33422;External EEPROM (COPILOTpc);OK
09/01/2017;49598;33422;Internal EEPROM (COPILOTpc);OK
09/01/2017;56771;33422;Internal EEPROM (COPILOTpc);OK
09/01/2017;56771;33422;External EEPROM (COPILOTpc);OK
09/01/2017;58332;33422;TicketMachine;OK
09/01/2017;63481;33422;tsp-emitter;OK
09/01/2017;96868;33422;Internal EEPROM (COPILOTpc);OK
09/01/2017;96868;33422;External EEPROM (COPILOTpc);OK
09/01/2017;23403;33424;Internal EEPROM (COPILOTpc);OK
09/01/2017;23403;33424;External EEPROM (COPILOTpc);OK
09/01/2017;25232;33424;TicketMachine;OK
09/01/2017;28545;33424;tsp-emitter;OK
09/01/2017;79922;33424;Internal EEPROM (COPILOTpc);OK
09/01/2017;79922;33424;External EEPROM (COPILOTpc);OK
09/01/2017;96302;33424;Internal EEPROM (COPILOTpc);OK
09/01/2017;96302;33424;External EEPROM (COPILOTpc);OK
09/01/2017;23086;33426;External EEPROM (COPILOTpc);OK
09/01/2017;23087;33426;Internal EEPROM (COPILOTpc);OK
09/01/2017;24602;33426;TicketMachine;OK
09/01/2017;28104;33426;Internal EEPROM (COPILOTpc);OK
09/01/2017;28104;33426;External EEPROM (COPILOTpc);OK
09/01/2017;28148;33426;TicketMachine;OK
09/01/2017;35535;33426;tsp-emitter;OK
09/01/2017;41743;33426;External EEPROM (COPILOTpc);OK
09/01/2017;41744;33426;Internal EEPROM (COPILOTpc);OK
09/01/2017;42307;33426;TicketMachine;OK
09/01/2017;51452;33426;Internal EEPROM (COPILOTpc);OK
09/01/2017;51452;33426;External EEPROM (COPILOTpc);OK
09/01/2017;52444;33426;TicketMachine;OK
09/01/2017;58325;33426;Internal EEPROM (COPILOTpc);OK
09/01/2017;58325;33426;External EEPROM (COPILOTpc);OK
09/01/2017;58369;33426;TicketMachine;OK
09/01/2017;67544;33426;tsp-emitter;OK
09/01/2017;68687;33426;Internal EEPROM (COPILOTpc);OK
09/01/2017;68687;33426;External EEPROM (COPILOTpc);OK
09/01/2017;68726;33426;TicketMachine;OK
09/01/2017;71943;33426;Internal EEPROM (COPILOTpc);OK
09/01/2017;71943;33426;External EEPROM (COPILOTpc);OK
09/01/2017;71986;33426;TicketMachine;OK
09/01/2017;79237;33426;tsp-emitter;OK
09/01/2017;95725;33426;Internal EEPROM (COPILOTpc);OK
09/01/2017;95725;33426;External EEPROM (COPILOTpc);OK
09/01/2017;10945;33428;Internal EEPROM (COPILOTpc);OK
09/01/2017;10945;33428;External EEPROM (COPILOTpc);OK
09/01/2017;25304;33428;External EEPROM (COPILOTpc);OK
09/01/2017;25305;33428;Internal EEPROM (COPILOTpc);OK
09/01/2017;27875;33428;TicketMachine;OK
09/01/2017;39713;33428;tsp-emitter;OK
09/01/2017;78096;33428;Internal EEPROM (COPILOTpc);OK
09/01/2017;78096;33428;External EEPROM (COPILOTpc);OK
09/01/2017;27278;33430;Internal EEPROM (COPILOTpc);OK
09/01/2017;27278;33430;External EEPROM (COPILOTpc);OK
09/01/2017;32751;33430;Internal EEPROM (COPILOTpc);OK
09/01/2017;32751;33430;External EEPROM (COPILOTpc);OK
09/01/2017;37843;33430;Internal EEPROM (COPILOTpc);OK
09/01/2017;37843;33430;External EEPROM (COPILOTpc);OK
09/01/2017;48960;33430;Internal EEPROM (COPILOTpc);OK
09/01/2017;48960;33430;External EEPROM (COPILOTpc);OK
09/01/2017;63225;33430;TicketMachine;OK
09/01/2017;79731;33430;Internal EEPROM (COPILOTpc);OK
09/01/2017;79731;33430;External EEPROM (COPILOTpc);OK
