measure_id;trip_id;line_code;pattern_long_name;point_first;point_last;point_first_seq_no;point_last_seq_no;event_no;regulation_kilometres
484981385226491128;1739590;18;00181001;1311823;1005667;0;10;;3.213
484981385227219914;1749958;18;00180001;1311970;1086418;0;64;;18.891
484981385226181366;1757160;18;00181001;1311996;1311876;15;60;;13.24
484981385227488931;997298;185;00841001;4274;1339084;18;49;;-12.232
484981385227480222;1922687;185;084A1001;1339084;1909297;0;40;;14.94
484981385227488931;1914508;185;00841001;4274;4156;18;48;;12.006
484981385227784959;2765010;83;00830001;1136094;1136103;2;5;;1.653
484981385227784925;2765010;83;00830001;1013514;7500;0;1;;.948
484981385227784925;2765008;83;00831001;6348;1013720;61;67;;6.037
484981385226206327;2029249;83;00830001;1478;2281405;34;36;;.757
484981385226086557;2029249;83;00830001;1009891;1136107;37;66;;7.249
484981385227784829;2756910;83;00830001;1013514;7500;0;1;;.948
484981385227784829;2756908;83;083A1001;1136124;1013720;66;68;;4.054
484981385227427069;2760108;83;00831001;1510369;1510369;66;66;;0
484981385226547280;942588;83;00831001;1136108;1013720;64;67;;-5.177
484981385226491320;924445;83;00831001;1136107;1013720;0;67;;-24.002
484981385226547280;2764664;83;00831001;1136108;1510369;64;66;;5.043
484981385227633332;2756515;83;00831001;1136107;1013720;0;67;;24.002
484981385227633332;2756514;83;00830001;1051448;1136107;41;66;;5.955
484981385226357305;2756503;83;00831001;1065041;1510369;60;66;;6.249
484981385227460247;969032;83;00831001;1510369;1013720;66;67;;-.134
484981385227460247;2766046;83;00831001;1510369;1510369;66;66;;0
484981385226409939;;83;083A1001;1136107;1013720;0;68;;23.997
484981385226357305;931011;83;00831001;1065041;1013720;60;67;;-6.383
484981385226490954;2758000;83;00831001;1136107;1013720;0;67;;24.002
484981385226490954;2757999;83;083A0001;1013514;1136107;0;70;;23.531
484981385227557643;;83;00831001;1136107;1013720;0;67;;24.002
484981385227427069;985088;83;00831001;1510369;1013720;66;67;;-.134
484981385227304050;1723007;120;01200001;1258088;1257963;0;25;;7.448
484981385227262986;2751182;122;01221001;1001400;7454;0;13;;3.452
484981385227263537;2754160;122;01220001;1001407;1001399;21;49;;7.993
484981385227220664;2754160;122;01220001;1001398;1004534;0;20;;6.378
484981385226738234;2754156;122;01220001;1001398;84;0;17;;5.401
484981385227263088;2757520;122;01220001;1001398;1051660;0;19;;5.982
484981385227082291;2754962;122;01220001;1001398;1051660;0;19;;5.982
484981385227414675;945183;122;01221001;1001400;1257938;0;29;1741271654;-8.365
484981385227415350;2760732;122;01221001;1311893;1001401;30;51;;6.686
484981385227480708;2761761;122;01221001;1001400;1001401;0;51;;15.499
484981385226409968;2762724;122;01220001;1001398;1001415;0;10;;3.386
484981385227362465;2750189;122;01220001;1001398;1001415;0;10;;3.386
484981385227362159;2755734;122;01220001;1001407;1001399;21;49;;7.993
484981385226490804;2753981;123;01231001;1001394;513;0;14;;3.55
484981385227480280;2752075;123;01230001;1001410;1001408;30;43;;3.573
484981385226206223;2750104;123;01230001;1001410;1001408;30;43;;3.573
484981385227304607;2760505;123;01231001;1001394;1065018;0;16;;4.28
484981385226292299;2760491;123;01230001;1001405;1001458;0;26;;6.734
484981385226361608;2751535;123;01230001;1001405;1378;0;18;;4.479
484981385227081772;2761132;123;01231001;1001394;1065018;0;16;;4.28
484981385227021612;2762847;123;01230001;1001405;1378;0;18;;4.479
484981385226239770;2755341;123;01231001;1001394;1001471;0;15;;3.84
484981385226206355;2755339;123;01230001;1001410;1001408;30;43;;3.573
484981385227633470;2762204;123;01230001;1393032;1001408;28;43;;5.41
484981385226410237;2757862;123;01231001;35004;1001404;17;46;;8.295
484981385226410148;2752061;123;01231001;1001394;1065018;0;16;;4.28
484981385226852053;927956;25;025A1002;1193060;1247139;0;39;1743241601;-19.83
484981385226151369;934061;25;025A0002;1229340;1193118;0;40;1741590774;-19.647
484981385226151369;934061;25;025A0002;1229340;1193118;0;40;1741590697;-19.647
484981385227081990;;25;025B1002;1086440;1247139;0;39;;20.841
484981385226150925;900948;25;025B1002;1086440;1247139;0;39;;-20.841
484981385226181522;2284931;25;025A1002;1193060;1247139;0;39;;19.83
484981385226292699;2419716;25;025B0002;1229340;1086416;0;40;;21.811
484981385226240128;2419097;25;025A0002;1229340;1193118;0;40;;19.647
484981385226206483;;25;025A1002;1193060;1247139;0;39;;19.83
484981385226206249;900645;25;025A1002;1193060;1247139;0;39;;-19.83
484981385226206442;;25;025A1002;1193060;1247139;0;39;;19.83
484981385226206177;930628;25;025A1002;1193060;1247139;0;39;;-19.83
484981385226182353;2421532;25;025A0002;1229340;7588;0;5;;1.419
484981385227556811;2284127;25;025B1002;1086440;1247139;0;39;;20.841
484981385227480566;2284127;25;025B1002;2281405;1247139;34;39;;1.981
484981385225955534;984299;25;025A1002;1247115;1247139;13;39;1741319017;-15.386
484981385225955509;962844;25;025A1002;1247115;1247139;13;39;1741553365;-15.386
484981385226151588;2779108;25;025A0002;1229340;1193118;0;40;;19.647
484981385226182295;2428651;25;025B0002;1229340;7588;0;5;;1.419
484981385225955389;2428647;25;025A0002;1229340;1193118;0;40;;19.647
484981385227480106;2412111;25;025A0002;1229340;1051641;0;1;;.298
484981385226150684;2412107;25;025A0002;1229340;1193118;0;40;;19.647
484981385226240100;2413472;25;025B0002;1229340;1086416;0;40;;21.811
484981385225955360;907991;25;025A0002;1229340;1193118;0;40;1741590774;-19.647
484981385225955360;907991;25;025A0002;1229340;1193118;0;40;1741590697;-19.647
484981385226206550;985699;25;025A0002;1229340;1193118;0;40;1741163685;-19.647
