opd_date;act_time;vehicle_short_name;device_type;defect_type
03/01/2017;22942;33416;Internal EEPROM (COPILOTpc);OK
03/01/2017;22942;33416;External EEPROM (COPILOTpc);OK
03/01/2017;23430;33416;TicketMachine;OK
03/01/2017;81025;33416;Internal EEPROM (COPILOTpc);OK
03/01/2017;81025;33416;External EEPROM (COPILOTpc);OK
03/01/2017;81569;33416;TicketMachine;OK
03/01/2017;96695;33416;Internal EEPROM (COPILOTpc);OK
03/01/2017;96695;33416;External EEPROM (COPILOTpc);OK
03/01/2017;10857;33418;Internal EEPROM (COPILOTpc);OK
03/01/2017;10857;33418;External EEPROM (COPILOTpc);OK
03/01/2017;23079;33418;Internal EEPROM (COPILOTpc);OK
03/01/2017;23079;33418;External EEPROM (COPILOTpc);OK
03/01/2017;25871;33420;Internal EEPROM (COPILOTpc);OK
03/01/2017;25871;33420;External EEPROM (COPILOTpc);OK
03/01/2017;28504;33420;TicketMachine;OK
03/01/2017;41602;33420;tsp-emitter;OK
03/01/2017;94461;33420;Internal EEPROM (COPILOTpc);OK
03/01/2017;94461;33420;External EEPROM (COPILOTpc);OK
03/01/2017;16076;33422;Internal EEPROM (COPILOTpc);OK
03/01/2017;16076;33422;External EEPROM (COPILOTpc);OK
03/01/2017;23576;33422;Internal EEPROM (COPILOTpc);OK
03/01/2017;23576;33422;External EEPROM (COPILOTpc);OK
03/01/2017;24758;33422;TicketMachine;OK
03/01/2017;29449;33422;tsp-emitter;OK
03/01/2017;79694;33422;External EEPROM (COPILOTpc);OK
03/01/2017;79699;33422;Internal EEPROM (COPILOTpc);OK
03/01/2017;96887;33422;Internal EEPROM (COPILOTpc);OK
03/01/2017;96887;33422;External EEPROM (COPILOTpc);OK
03/01/2017;24982;33424;Internal EEPROM (COPILOTpc);OK
03/01/2017;24982;33424;External EEPROM (COPILOTpc);OK
03/01/2017;25062;33424;TicketMachine;OK
03/01/2017;40017;33424;tsp-emitter;OK
03/01/2017;82091;33424;Internal EEPROM (COPILOTpc);OK
03/01/2017;82091;33424;External EEPROM (COPILOTpc);OK
03/01/2017;96310;33424;External EEPROM (COPILOTpc);OK
03/01/2017;96311;33424;Internal EEPROM (COPILOTpc);OK
03/01/2017;27232;33426;External EEPROM (COPILOTpc);OK
03/01/2017;27236;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;57267;33426;External EEPROM (COPILOTpc);OK
03/01/2017;57268;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;57699;33426;TicketMachine;OK
03/01/2017;63823;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;63823;33426;External EEPROM (COPILOTpc);OK
03/01/2017;64108;33426;TicketMachine;OK
03/01/2017;68995;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;68995;33426;External EEPROM (COPILOTpc);OK
03/01/2017;69180;33426;External EEPROM (COPILOTpc);OK
03/01/2017;69181;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;69438;33426;TicketMachine;OK
03/01/2017;72564;33426;External EEPROM (COPILOTpc);OK
03/01/2017;72565;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;72688;33426;TicketMachine;OK
03/01/2017;80544;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;80544;33426;External EEPROM (COPILOTpc);OK
03/01/2017;80752;33426;TicketMachine;OK
03/01/2017;83332;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;83332;33426;External EEPROM (COPILOTpc);OK
03/01/2017;83832;33426;TicketMachine;OK
03/01/2017;95734;33426;Internal EEPROM (COPILOTpc);OK
03/01/2017;95734;33426;External EEPROM (COPILOTpc);OK
03/01/2017;10911;33428;Internal EEPROM (COPILOTpc);OK
03/01/2017;10911;33428;External EEPROM (COPILOTpc);OK
03/01/2017;21603;33428;External EEPROM (COPILOTpc);OK
03/01/2017;21604;33428;Internal EEPROM (COPILOTpc);OK
03/01/2017;25221;33428;TicketMachine;OK
03/01/2017;38651;33428;External EEPROM (COPILOTpc);OK
03/01/2017;38652;33428;Internal EEPROM (COPILOTpc);OK
03/01/2017;30560;33430;External EEPROM (COPILOTpc);OK
03/01/2017;30561;33430;Internal EEPROM (COPILOTpc);OK
03/01/2017;30750;33430;TicketMachine;OK
03/01/2017;45345;33430;Internal EEPROM (COPILOTpc);OK
03/01/2017;45345;33430;External EEPROM (COPILOTpc);OK
03/01/2017;96957;33430;Internal EEPROM (COPILOTpc);OK
03/01/2017;96957;33430;External EEPROM (COPILOTpc);OK
03/01/2017;23268;33432;Internal EEPROM (COPILOTpc);OK
03/01/2017;23268;33432;External EEPROM (COPILOTpc);OK
03/01/2017;23478;33432;TicketMachine;OK
03/01/2017;59636;33432;Internal EEPROM (COPILOTpc);OK
03/01/2017;59636;33432;External EEPROM (COPILOTpc);OK
03/01/2017;61974;33432;TicketMachine;OK
03/01/2017;87717;33432;Internal EEPROM (COPILOTpc);OK
03/01/2017;87717;33432;External EEPROM (COPILOTpc);OK
03/01/2017;96672;33432;Internal EEPROM (COPILOTpc);OK
03/01/2017;96672;33432;External EEPROM (COPILOTpc);OK
03/01/2017;21987;33434;Internal EEPROM (COPILOTpc);OK
03/01/2017;21987;33434;External EEPROM (COPILOTpc);OK
03/01/2017;22405;33434;TicketMachine;OK
03/01/2017;54590;33434;External EEPROM (COPILOTpc);OK
03/01/2017;54591;33434;Internal EEPROM (COPILOTpc);OK
03/01/2017;61691;33434;TicketMachine;OK
03/01/2017;86571;33434;Internal EEPROM (COPILOTpc);OK
03/01/2017;86571;33434;External EEPROM (COPILOTpc);OK
03/01/2017;96914;33434;Internal EEPROM (COPILOTpc);OK
03/01/2017;96914;33434;External EEPROM (COPILOTpc);OK
