opd_date;vehicle_id;event_no;meters;act_dep_time;nom_dep_time;nom_end_time;act_end_time;line_id;trip_id;pattern_id;pattern_direction;trip_type;pattern_quality;block_id;passenger_data;time_grp_id;is_additional_trip
03/01/2017;1000110;1731264391;2754;24707;24600;26700;26360;130;2743405;2313170;Inbound;0;92;2736268;;2313395;0
03/01/2017;1000110;1731264435;12353;27011;26700;26700;27023;130;2802708;593;;3;100;2736268;;2340136;0
03/01/2017;1000110;1731264438;12465;27023;27000;28740;28910;130;2743407;2313169;Outbound;0;100;2736268;;2313368;0
03/01/2017;1000110;1731264485;22794;28927;28740;29340;29874;130;2802709;594;;3;100;2736268;;2365240;0
03/01/2017;1000110;1731264489;22855;29890;29880;32100;31889;130;2743409;2313170;Inbound;0;100;2736268;;2313396;0
03/01/2017;1000110;1731264540;33051;31889;32100;32100;31909;130;2802710;593;;3;100;2736268;;2339318;0
03/01/2017;1000110;1731264543;33076;33319;33300;35100;34879;130;2743411;2313169;Outbound;0;100;2736268;;2313355;0
03/01/2017;1000110;1731264591;43508;34894;35100;35100;34909;130;2802711;594;;3;100;2736268;;2788687;0
03/01/2017;1000110;1731264594;43565;35760;35700;37560;37589;130;2743413;2313170;Inbound;0;100;2736268;;2313383;0
03/01/2017;1000110;1731264644;53767;38110;37560;37560;38120;130;2802712;593;;3;100;2736268;;2339326;0
03/01/2017;1000110;1731264647;53878;38120;38100;39780;38991;130;2743415;2313169;Outbound;0;51;2736268;;2313370;0
03/01/2017;1000110;1731264680;90026;45993;43500;45360;46994;130;2740201;2313170;Inbound;0;50;1711575;;2313380;0
03/01/2017;1000110;1731264715;95086;47686;45480;45480;47699;130;2797712;593;;3;100;1711575;;2339329;0
03/01/2017;1000110;1731264718;95179;47699;45900;47700;49326;130;2740203;2313169;Outbound;0;100;1711575;;2313364;0
03/01/2017;1000110;1731264768;105487;49342;47700;47700;49809;130;2797713;594;;3;100;1711575;;2788693;0
03/01/2017;1000110;1731264771;105550;50092;48300;50160;51770;130;2740205;2313170;Inbound;0;100;1711575;;2313380;0
03/01/2017;1000110;1731264820;115727;52387;50160;50160;52388;130;2797714;593;;3;100;1711575;;2339329;0
03/01/2017;1000110;1731264823;115744;52460;50700;52500;52929;130;2740207;2313169;Outbound;0;24;1711575;;2313364;0
03/01/2017;1000110;1731264836;118244;53078;52500;54300;54448;130;2743427;2313169;Outbound;0;75;2736268;;2313364;0
03/01/2017;1000110;1731264873;126135;54464;54420;54420;54769;130;2802796;594;;3;100;2736268;;2788693;0
03/01/2017;1000110;1731264878;126203;54921;54900;56820;56952;130;2743429;2313170;Inbound;0;100;2736268;;2313393;0
03/01/2017;1000110;1731264929;136359;56988;56820;56820;56989;130;2802797;593;;3;100;2736268;;2339335;0
