trip_id;schedule_id;block_id;line_id;pattern_id;sched_start_time;trip_type;daytype_id;short_name
1745882;12900;1712166;41;1003967;80100;0;36;13463
2249575;12900;1712556;69;2237094;66000;0;36;15105
2803396;12900;1712222;1260309;455;33300;2;36;13454
2453081;12900;1712222;1260309;2080147;41400;0;36;16164
2453083;12900;1712222;1260309;2080147;51000;0;36;16166
2453084;12900;1712222;1260309;2080154;56400;0;36;16167
2453089;12900;1712222;1260309;2080147;79200;0;36;16172
2802704;12900;1712206;42;548;59460;3;36;13746
2412325;12900;1711671;145;2408083;37200;0;36;15929
2518853;12900;1711850;14;2513043;41400;0;36;16395
2518858;12900;1711850;14;2513043;48600;0;36;16397
2794649;12900;2042506;31;569;83100;3;36;13833
2668292;12900;2042506;31;2313187;84300;0;36;16723
2795494;12900;1711671;145;425;87300;4;36;13285
2805931;12900;2805851;67;298;83760;3;36;14296
2795595;12900;1711850;14;506;73920;3;36;13633
2518994;12900;1711850;14;2513045;82800;0;36;16406
2795598;12900;1711850;14;507;87000;4;36;13636
1856077;12900;1711821;76;1852103;41400;0;36;14357
2795519;12900;1711726;40;225;60780;3;36;12281
2795523;12900;1711726;40;224;77220;3;36;12284
2411517;12900;1711545;140;2408077;36900;0;36;15311
2411524;12900;1711545;140;2408079;48600;0;36;15314
2411542;12900;1711545;140;2408079;72000;0;36;15349
1887485;12900;1711445;11;1312508;69600;0;36;14440
1887486;12900;1711445;11;1312506;73800;0;36;14441
2798164;12900;1711534;1468596;97;42360;3;36;11615
2798172;12900;1711534;1468596;97;77880;3;36;11623
2421491;12900;1712030;145;2408083;66000;0;36;15896
2421502;12900;1712033;38;1247345;43800;0;36;15741
2799548;12900;1712033;38;375;51900;3;36;13175
2468214;12900;1712010;1014396;2460388;30000;0;36;16261
2468225;12900;1712010;1014396;2460388;40500;0;36;16265
2798955;12900;1712010;1014396;563;42960;3;36;13503
2468227;12900;1712010;1014396;2460387;43800;0;36;16266
2421940;12900;1712095;38;1247345;47400;0;36;15775
2421943;12900;1712095;38;1353067;56400;0;36;15777
2421946;12900;1712095;38;1353067;66000;0;36;15779
2486276;12900;1711889;104;2481767;61800;0;36;16340
2486277;12900;1711889;104;2481768;65400;0;36;16341
2417048;12900;1711965;15;1030726;40800;0;36;15423
2794041;12900;1712580;9;169;43860;3;36;11877
2794051;12900;1712580;9;169;80820;3;36;11900
1900935;12900;1710804;16;1885243;33600;0;36;14606
2791819;12900;1710804;16;202;44220;3;36;12122
2793754;12900;1712572;16;201;29100;2;36;12101
2793755;12900;1712572;16;202;41820;3;36;12102
1847798;12900;1710796;9;1839468;75600;0;36;14335
2428324;12900;1710797;39;1691010;66600;0;36;15548
2794066;12900;1710797;39;376;77700;4;36;12985
2794040;12900;1712580;9;172;34200;2;36;11876
1757043;12900;1712412;1014394;1193360;46800;0;36;13668
1757045;12900;1712412;1014394;1193362;52200;0;36;13669
2787768;12900;1712412;1014394;256;61500;2;36;11302
2457550;12900;1710979;1260309;2080147;58200;0;36;16177
2790764;12900;1710978;63;627;31500;2;36;14150
2790771;12900;1710978;63;2786753;49500;0;36;17131
1716789;12900;1711058;79;1691018;35700;0;36;14160
2790526;12900;1711058;79;144;45120;3;36;11761
1716806;12900;1711058;79;1691019;58500;0;36;14126
