opd_date;act_time;vehicle_short_name;device_type;defect_type
02/01/2017;57634;33416;Internal EEPROM (COPILOTpc);OK
02/01/2017;57634;33416;External EEPROM (COPILOTpc);OK
02/01/2017;96702;33416;Internal EEPROM (COPILOTpc);OK
02/01/2017;96702;33416;External EEPROM (COPILOTpc);OK
02/01/2017;10800;33418;Internal EEPROM (COPILOTpc);OK
02/01/2017;10800;33418;External EEPROM (COPILOTpc);OK
02/01/2017;97136;33420;Internal EEPROM (COPILOTpc);OK
02/01/2017;97136;33420;External EEPROM (COPILOTpc);OK
02/01/2017;24670;33422;Internal EEPROM (COPILOTpc);OK
02/01/2017;24670;33422;External EEPROM (COPILOTpc);OK
02/01/2017;24775;33422;TicketMachine;OK
02/01/2017;48094;33422;Internal EEPROM (COPILOTpc);OK
02/01/2017;48094;33422;External EEPROM (COPILOTpc);OK
02/01/2017;48147;33422;TicketMachine;OK
02/01/2017;48766;33422;WLANrouter;No connection
02/01/2017;56365;33422;Internal EEPROM (COPILOTpc);OK
02/01/2017;56365;33422;External EEPROM (COPILOTpc);OK
02/01/2017;56404;33422;TicketMachine;OK
02/01/2017;57037;33422;WLANrouter;No connection
02/01/2017;68319;33422;Internal EEPROM (COPILOTpc);OK
02/01/2017;68319;33422;External EEPROM (COPILOTpc);OK
02/01/2017;68344;33422;TicketMachine;OK
02/01/2017;68980;33422;WLANrouter;No connection
02/01/2017;92981;33422;Internal EEPROM (COPILOTpc);OK
02/01/2017;92981;33422;External EEPROM (COPILOTpc);OK
02/01/2017;95924;33422;Internal EEPROM (COPILOTpc);OK
02/01/2017;95924;33422;External EEPROM (COPILOTpc);OK
02/01/2017;31451;33424;External EEPROM (COPILOTpc);OK
02/01/2017;31452;33424;Internal EEPROM (COPILOTpc);OK
02/01/2017;33234;33424;TicketMachine;OK
02/01/2017;36578;33424;tsp-emitter;OK
02/01/2017;96345;33424;Internal EEPROM (COPILOTpc);OK
02/01/2017;96345;33424;External EEPROM (COPILOTpc);OK
02/01/2017;95732;33426;Internal EEPROM (COPILOTpc);OK
02/01/2017;95732;33426;External EEPROM (COPILOTpc);OK
02/01/2017;28250;33428;External EEPROM (COPILOTpc);OK
02/01/2017;28251;33428;Internal EEPROM (COPILOTpc);OK
02/01/2017;28319;33428;TicketMachine;OK
02/01/2017;39089;33428;tsp-emitter;OK
02/01/2017;96906;33434;Internal EEPROM (COPILOTpc);OK
02/01/2017;96906;33434;External EEPROM (COPILOTpc);OK
02/01/2017;96067;33436;Internal EEPROM (COPILOTpc);OK
02/01/2017;96067;33436;External EEPROM (COPILOTpc);OK
02/01/2017;10882;33438;External EEPROM (COPILOTpc);OK
02/01/2017;10883;33438;Internal EEPROM (COPILOTpc);OK
02/01/2017;81903;33446;Internal EEPROM (COPILOTpc);OK
02/01/2017;81903;33446;External EEPROM (COPILOTpc);OK
02/01/2017;96836;33446;Internal EEPROM (COPILOTpc);OK
02/01/2017;96836;33446;External EEPROM (COPILOTpc);OK
02/01/2017;31548;33448;Internal EEPROM (COPILOTpc);OK
02/01/2017;31548;33448;External EEPROM (COPILOTpc);OK
02/01/2017;34187;33448;TicketMachine;OK
02/01/2017;55966;33448;Internal EEPROM (COPILOTpc);OK
02/01/2017;55966;33448;External EEPROM (COPILOTpc);OK
02/01/2017;57510;33448;TicketMachine;OK
02/01/2017;78067;33448;Internal EEPROM (COPILOTpc);OK
02/01/2017;78067;33448;External EEPROM (COPILOTpc);OK
02/01/2017;96987;33448;Internal EEPROM (COPILOTpc);OK
02/01/2017;96987;33448;External EEPROM (COPILOTpc);OK
02/01/2017;46965;33452;External EEPROM (COPILOTpc);OK
02/01/2017;46966;33452;Internal EEPROM (COPILOTpc);OK
02/01/2017;47192;33452;Radio;Action failed
02/01/2017;48033;33452;Radio;OK
02/01/2017;48732;33452;Radio;No connection
02/01/2017;48985;33452;TicketMachine;OK
02/01/2017;49153;33452;Radio;Action failed
02/01/2017;61340;33456;Internal EEPROM (COPILOTpc);OK
02/01/2017;61340;33456;External EEPROM (COPILOTpc);OK
02/01/2017;78466;33456;Internal EEPROM (COPILOTpc);OK
02/01/2017;78466;33456;External EEPROM (COPILOTpc);OK
02/01/2017;97121;33456;Internal EEPROM (COPILOTpc);OK
02/01/2017;97121;33456;External EEPROM (COPILOTpc);OK
02/01/2017;96844;33458;Internal EEPROM (COPILOTpc);OK
02/01/2017;96844;33458;External EEPROM (COPILOTpc);OK
02/01/2017;39431;33460;Internal EEPROM (COPILOTpc);OK
