depot;vehicle_id;vehicle_short_name;opd_date
CF;1000110;33416;27/12/2016
HN;1000111;33418;27/12/2016
SL;1000113;33420;27/12/2016
SL;1000115;33422;27/12/2016
SL;1000116;33424;27/12/2016
SL;1000117;33426;27/12/2016
SL;1000118;33428;27/12/2016
PO;1000120;33430;27/12/2016
PO;1000122;33432;27/12/2016
PO;1000124;33434;27/12/2016
PO;1000126;33436;27/12/2016
PO;1000128;33438;27/12/2016
PO;1000130;33440;27/12/2016
PO;1000132;33442;27/12/2016
PO;1000134;33444;27/12/2016
PO;1000135;33446;27/12/2016
HN;1000136;33448;27/12/2016
PO;1000138;33450;27/12/2016
HN;1000140;33452;27/12/2016
HN;1000142;33454;27/12/2016
HN;1000144;33456;27/12/2016
HN;1000146;33458;27/12/2016
RD;1000148;33460;27/12/2016
SL;1000150;33462;27/12/2016
D1;1000152;33464;27/12/2016
D1;1000154;33466;27/12/2016
D1;1000156;33468;27/12/2016
RD;1000158;33470;27/12/2016
RD;1000160;33472;27/12/2016
RD;1000162;33474;27/12/2016
RD;1000164;33476;27/12/2016
RD;1000166;33478;27/12/2016
RD;1000168;33480;27/12/2016
PO;1000170;40002;27/12/2016
RD;1000171;33482;27/12/2016
PO;1000173;40004;27/12/2016
RD;1000174;33484;27/12/2016
PO;1000176;40006;27/12/2016
RD;1000177;33486;27/12/2016
PO;1000180;40008;27/12/2016
RD;1000181;33488;27/12/2016
PO;1000183;40010;27/12/2016
RD;1000184;33490;27/12/2016
HN;1000186;40012;27/12/2016
RD;1000187;33492;27/12/2016
HN;1000189;40014;27/12/2016
RD;1000190;33494;27/12/2016
PO;1000193;33496;27/12/2016
HN;1000195;40018;27/12/2016
HN;1000198;40020;27/12/2016
HN;1000201;40022;27/12/2016
HN;1000202;33502;27/12/2016
HN;1000204;40024;27/12/2016
HN;1000205;33504;27/12/2016
HN;1000208;33506;27/12/2016
HN;1000211;33508;27/12/2016
SL;1000213;40030;27/12/2016
HN;1000340;38072;27/12/2016
HN;1000343;38074;27/12/2016
CF;1000345;38076;27/12/2016
CF;1000348;38078;27/12/2016
CF;1000351;38080;27/12/2016
CF;1000354;38082;27/12/2016
CF;1000357;38084;27/12/2016
CF;1000360;38086;27/12/2016
CF;1000363;38088;27/12/2016
D1;1000366;38090;27/12/2016
D1;1000369;38092;27/12/2016
D1;1000372;38094;27/12/2016
D1;1000375;38096;27/12/2016
D1;1000377;38098;27/12/2016
D1;1000379;38100;27/12/2016
PO;1000381;24246;27/12/2016
PO;1000382;33212;27/12/2016
PO;1000389;33224;27/12/2016
HN;1000415;33274;27/12/2016
HN;1000417;33278;27/12/2016
HN;1000418;33280;27/12/2016
CF;1000420;33284;27/12/2016
CF;1000421;33286;27/12/2016
CD;1000422;33288;27/12/2016
CD;1000424;33292;27/12/2016
CD;1000425;33294;27/12/2016
CD;1000426;33296;27/12/2016
SL;1000428;33300;27/12/2016
SL;1000429;33302;27/12/2016
PO;1000431;33306;27/12/2016
PO;1000432;33308;27/12/2016
PO;1000433;33310;27/12/2016
PO;1000435;33314;27/12/2016
CF;1000436;33316;27/12/2016
RD;1000438;33320;27/12/2016
HN;1000440;33322;27/12/2016
HN;1000442;33324;27/12/2016
HN;1000443;33326;27/12/2016
D1;1000446;33330;27/12/2016
D1;1000447;33332;27/12/2016
SL;1000449;33336;27/12/2016
SL;1000451;33338;27/12/2016
SL;1000453;33340;27/12/2016
HN;1000454;33342;27/12/2016
CF;1000457;33346;27/12/2016
D1;1000458;33348;27/12/2016
CD;1000460;33352;27/12/2016
CD;1000461;33354;27/12/2016
CD;1000464;33358;27/12/2016
CD;1000465;33360;27/12/2016
PO;1000467;33364;27/12/2016
PO;1000468;33366;27/12/2016
PO;1000469;33368;27/12/2016
PO;1000471;33372;27/12/2016
HN;1000472;35002;27/12/2016
HN;1000474;35004;27/12/2016
PO;1000476;33376;27/12/2016
HN;1000478;33378;27/12/2016
HN;1000479;35008;27/12/2016
HN;1000481;35010;27/12/2016
PO;1000482;33382;27/12/2016
RD;1000483;33384;27/12/2016
D1;1000485;33388;27/12/2016
D1;1000489;33392;27/12/2016
D1;1000490;33394;27/12/2016
D1;1000492;33398;27/12/2016
CD;1000494;33400;27/12/2016
CD;1000496;33404;27/12/2016
CD;1000497;33406;27/12/2016
CD;1000499;33410;27/12/2016
CD;1000501;33412;27/12/2016
RD;1000503;33414;27/12/2016
D2;1000556;36001;27/12/2016
D2;1000558;36003;27/12/2016
D2;1000560;36005;27/12/2016
D2;1000562;36007;27/12/2016
D2;1000564;36009;27/12/2016
D2;1000566;36011;27/12/2016
D2;1000568;36013;27/12/2016
D2;1000570;36015;27/12/2016
D2;1000572;36017;27/12/2016
D2;1000574;36019;27/12/2016
D2;1000576;36021;27/12/2016
D2;1000578;36023;27/12/2016
D2;1000580;36025;27/12/2016
D2;1000582;36027;27/12/2016
D2;1000584;36029;27/12/2016
