opd_date;act_time;vehicle_short_name;device_type;defect_type
27/12/2016;56706;33416;Internal EEPROM (COPILOTpc);OK
27/12/2016;56706;33416;External EEPROM (COPILOTpc);OK
27/12/2016;57130;33416;TicketMachine;OK
27/12/2016;96698;33416;Internal EEPROM (COPILOTpc);OK
27/12/2016;96698;33416;External EEPROM (COPILOTpc);OK
27/12/2016;10812;33418;Internal EEPROM (COPILOTpc);OK
27/12/2016;10812;33418;External EEPROM (COPILOTpc);OK
27/12/2016;28163;33418;Internal EEPROM (COPILOTpc);OK
27/12/2016;28163;33418;External EEPROM (COPILOTpc);OK
27/12/2016;28239;33418;TicketMachine;OK
27/12/2016;47003;33418;External EEPROM (COPILOTpc);OK
27/12/2016;47004;33418;Internal EEPROM (COPILOTpc);OK
27/12/2016;48699;33418;TicketMachine;OK
27/12/2016;21351;33422;External EEPROM (COPILOTpc);OK
27/12/2016;21352;33422;Internal EEPROM (COPILOTpc);OK
27/12/2016;37519;33422;TicketMachine;OK
27/12/2016;51401;33422;tsp-emitter;OK
27/12/2016;96922;33422;Internal EEPROM (COPILOTpc);OK
27/12/2016;96922;33422;External EEPROM (COPILOTpc);OK
27/12/2016;96349;33424;Internal EEPROM (COPILOTpc);OK
27/12/2016;96349;33424;External EEPROM (COPILOTpc);OK
27/12/2016;40723;33426;Internal EEPROM (COPILOTpc);OK
27/12/2016;40723;33426;External EEPROM (COPILOTpc);OK
27/12/2016;43341;33426;TicketMachine;OK
27/12/2016;44331;33426;External EEPROM (COPILOTpc);OK
27/12/2016;44332;33426;Internal EEPROM (COPILOTpc);OK
27/12/2016;44374;33426;TicketMachine;OK
27/12/2016;48243;33426;tsp-emitter;OK
27/12/2016;80940;33426;Internal EEPROM (COPILOTpc);OK
27/12/2016;80940;33426;External EEPROM (COPILOTpc);OK
27/12/2016;95746;33426;Internal EEPROM (COPILOTpc);OK
27/12/2016;95746;33426;External EEPROM (COPILOTpc);OK
27/12/2016;96955;33430;Internal EEPROM (COPILOTpc);OK
27/12/2016;96955;33430;External EEPROM (COPILOTpc);OK
27/12/2016;96689;33432;Internal EEPROM (COPILOTpc);OK
27/12/2016;96689;33432;External EEPROM (COPILOTpc);OK
27/12/2016;96859;33434;External EEPROM (COPILOTpc);OK
27/12/2016;96860;33434;Internal EEPROM (COPILOTpc);OK
27/12/2016;96061;33436;External EEPROM (COPILOTpc);OK
27/12/2016;96062;33436;Internal EEPROM (COPILOTpc);OK
27/12/2016;10876;33438;Internal EEPROM (COPILOTpc);OK
27/12/2016;10876;33438;External EEPROM (COPILOTpc);OK
27/12/2016;95548;33440;Internal EEPROM (COPILOTpc);OK
27/12/2016;95548;33440;External EEPROM (COPILOTpc);OK
27/12/2016;38775;33446;Internal EEPROM (COPILOTpc);OK
27/12/2016;38775;33446;External EEPROM (COPILOTpc);OK
27/12/2016;40324;33446;TicketMachine;OK
27/12/2016;90847;33446;Internal EEPROM (COPILOTpc);OK
27/12/2016;90847;33446;External EEPROM (COPILOTpc);OK
27/12/2016;91347;33446;TicketMachine;OK
27/12/2016;96805;33446;Internal EEPROM (COPILOTpc);OK
27/12/2016;96805;33446;External EEPROM (COPILOTpc);OK
27/12/2016;10933;33450;Internal EEPROM (COPILOTpc);OK
27/12/2016;10933;33450;External EEPROM (COPILOTpc);OK
27/12/2016;22156;33454;Internal EEPROM (COPILOTpc);OK
27/12/2016;22156;33454;External EEPROM (COPILOTpc);OK
27/12/2016;22229;33454;TicketMachine;OK
27/12/2016;54826;33454;Internal EEPROM (COPILOTpc);OK
27/12/2016;54826;33454;External EEPROM (COPILOTpc);OK
27/12/2016;55656;33454;TicketMachine;OK
27/12/2016;89993;33454;External EEPROM (COPILOTpc);OK
27/12/2016;89994;33454;Internal EEPROM (COPILOTpc);OK
27/12/2016;90271;33454;TicketMachine;OK
27/12/2016;95963;33454;Internal EEPROM (COPILOTpc);OK
27/12/2016;95963;33454;External EEPROM (COPILOTpc);OK
27/12/2016;87235;33456;External EEPROM (COPILOTpc);OK
27/12/2016;87236;33456;Internal EEPROM (COPILOTpc);OK
27/12/2016;97092;33456;Internal EEPROM (COPILOTpc);OK
27/12/2016;97092;33456;External EEPROM (COPILOTpc);OK
27/12/2016;23555;33458;External EEPROM (COPILOTpc);OK
27/12/2016;23556;33458;Internal EEPROM (COPILOTpc);OK
27/12/2016;24671;33458;TicketMachine;OK
27/12/2016;82115;33458;Internal EEPROM (COPILOTpc);OK
27/12/2016;82115;33458;External EEPROM (COPILOTpc);OK
27/12/2016;86619;33458;Internal EEPROM (COPILOTpc);OK
27/12/2016;86619;33458;External EEPROM (COPILOTpc);OK
27/12/2016;90418;33458;Internal EEPROM (COPILOTpc);OK
27/12/2016;90418;33458;External EEPROM (COPILOTpc);OK
27/12/2016;96827;33458;External EEPROM (COPILOTpc);OK
27/12/2016;96828;33458;Internal EEPROM (COPILOTpc);OK
27/12/2016;24715;33460;External EEPROM (COPILOTpc);OK
