opd_date;vehicle_id;event_no;meters;act_dep_time;nom_dep_time;nom_end_time;act_end_time;line_id;trip_id;pattern_id;pattern_direction;trip_type;pattern_quality;block_id;passenger_data;time_grp_id;is_additional_trip
27/12/2016;1000111;1728444118;4917;29103;28200;29100;29103;102;2467202;25;;2;50;1712194;;2467201;0
27/12/2016;1000111;1728444125;4917;29124;29100;31744;31890;102;1747980;1118460;Inbound;0;100;1712194;;18;0
27/12/2016;1000111;1728444184;28711;33626;33600;36390;36399;102;1747981;1118459;Outbound;0;100;1712194;;18;0
27/12/2016;1000111;1728444247;65588;49278;49200;53727;53498;1014394;1726777;1193360;Outbound;0;100;1711096;;14;0
27/12/2016;1000111;1728444323;90107;53512;52980;52980;54152;1014394;2790343;254;;3;100;1711096;;2543552;0
27/12/2016;1000111;1728444327;90614;54152;54000;57905;54309;1014394;1726780;1193362;Inbound;0;10;1711096;;13;0
27/12/2016;1000111;1728444366;114472;62301;61200;62400;62301;1014394;2803710;252;;2;50;2664327;;2539211;0
27/12/2016;1000111;1728444368;114472;62355;62400;66305;65463;1014394;2666706;1193362;Inbound;0;100;2664327;;13;0
27/12/2016;1000111;1728444438;138723;66738;65940;65940;66845;1014394;2803711;253;;3;100;2664327;;2539985;0
27/12/2016;1000111;1728444443;139136;67097;67200;70688;70671;1014394;2666708;1193360;Outbound;0;100;2664327;;19;0
27/12/2016;1000111;1728444516;163633;70692;70680;70680;71814;1014394;2803712;254;;3;100;2664327;;2548676;0
27/12/2016;1000111;1728444520;164100;71914;72000;75237;74779;1014394;2666710;1193362;Inbound;0;100;2664327;;19;0
27/12/2016;1000111;1728444586;188379;74801;75600;77100;74801;1014394;2803713;255;;4;50;2664327;;2545141;0
27/12/2016;1000115;1729043253;72231;37787;38100;39900;;16;2798250;201;;2;0;1712128;;2791318;0
27/12/2016;1000115;1729043268;86144;40658;40500;45428;44595;16;1896489;1885243;Inbound;0;95;1712128;;1886409;0
27/12/2016;1000115;1729043358;107392;46858;46800;52489;52362;16;1896490;1005952;Outbound;0;98;1712128;;1886349;0
27/12/2016;1000115;1729043467;130698;53318;52800;52800;53318;16;2798251;202;;3;50;1712128;;2789027;0
27/12/2016;1000115;1729043471;133021;53664;53280;59064;58550;16;1896492;1885243;Inbound;0;93;1712128;;1886403;0
27/12/2016;1000115;1729043563;153960;59797;59760;64657;64822;16;1896493;1005952;Outbound;0;100;1712128;;1886356;0
27/12/2016;1000115;1729043669;177310;66056;65880;65880;66056;16;2798252;202;;3;50;1712128;;2796185;0
27/12/2016;1000115;1729043672;178506;66217;66000;71554;71132;16;1896495;1885243;Inbound;0;98;1712128;;1886415;0
27/12/2016;1000115;1729043770;200631;72009;72000;76861;75772;16;1896496;1005952;Outbound;0;100;1712128;;1886369;0
27/12/2016;1000115;1729043871;223942;77455;76920;76920;77455;16;2798253;202;;3;50;1712128;;2794088;0
27/12/2016;1000115;1729043876;226092;77678;78000;82511;80327;16;1896498;1885243;Inbound;0;95;1712128;;1886410;0
27/12/2016;1000115;1729043955;249017;84621;84600;86119;86012;16;1931429;1005953;Outbound;0;100;1712128;;1930990;0
27/12/2016;1000115;1729043998;260621;86012;86460;86820;86012;16;2798254;222;;4;50;1712128;;2702864;0
27/12/2016;1000117;1728445376;7649;44574;43920;49609;49044;16;1896020;1005952;Outbound;0;86;1885210;;1886349;0
27/12/2016;1000117;1728445472;27828;49044;49740;49740;50296;16;2803828;202;;3;100;1885210;;2789027;0
27/12/2016;1000117;1728445477;28772;50382;50400;55964;55466;16;1896022;1885243;Inbound;0;61;1885210;;1886406;0
27/12/2016;1000117;1728445551;51355;56889;56880;62327;61824;16;1896023;1005952;Outbound;0;100;1885210;;1886360;0
27/12/2016;1000117;1728445654;74663;61914;64200;65700;61914;16;2803829;203;;4;50;1885210;;2803116;0
27/12/2016;1000135;1728339256;15239;40323;38100;39600;40323;220;2787170;108;;2;50;1710905;;2787169;0
27/12/2016;1000135;1728339258;15239;40339;39600;43020;43912;220;1732793;1510453;Inbound;0;95;1710905;;1510652;0
27/12/2016;1000135;1728339346;44374;45091;45000;49901;48614;220;1732794;1510451;Outbound;0;100;1710905;;1510638;0
27/12/2016;1000135;1728339442;73202;48643;49560;49560;48742;220;2787172;86;;3;100;1710905;;2787171;0
27/12/2016;1000135;1728339445;74801;50423;50400;54480;54272;220;1732797;1510453;Inbound;0;81;1710905;;1510648;0
27/12/2016;1000135;1728339545;124602;60246;60240;63307;62832;26;2288353;2281415;Inbound;0;100;2281408;;2281672;0
27/12/2016;1000135;1728339605;143531;63802;62580;62580;63829;26;2795731;309;;3;100;2281408;;2006746;0
27/12/2016;1000135;1728339608;143629;63912;63900;68402;68000;26;2288355;1489386;Outbound;0;100;2281408;;1489495;0
27/12/2016;1000135;1728339687;171246;68023;67620;67620;69227;26;2795732;123;;3;100;2281408;;2790301;0
27/12/2016;1000135;1728339691;171765;69313;69300;72751;72467;26;2288357;2281413;Inbound;0;100;2281408;;2281638;0
27/12/2016;1000135;1728339758;197815;73827;72780;72780;73838;26;2795733;309;;3;100;2281408;;2006751;0
27/12/2016;1000135;1728339761;197876;73855;73800;76644;76813;26;2288359;1489390;Outbound;0;100;2281408;;1489581;0
27/12/2016;1000135;1728339821;218324;77930;77940;80237;80116;26;2288360;2281415;Inbound;0;100;2281408;;2281676;0
27/12/2016;1000135;1728339878;237338;81364;80220;80220;81382;26;2795734;309;;3;100;2281408;;2007979;0
27/12/2016;1000135;1728339881;237386;81402;81420;83260;82978;26;2288362;1489388;Outbound;0;100;2281408;;1489541;0
27/12/2016;1000135;1728339918;248158;83680;83700;85171;84489;26;2288363;2281414;Inbound;0;88;2281408;;2281647;0
27/12/2016;1000142;1728339976;13020;23299;21900;23400;23299;1014394;2797427;256;;2;50;1711570;;2539197;0
27/12/2016;1000142;1728339981;13020;23403;23400;26294;26587;1014394;1742514;1193360;Outbound;0;100;1711570;;17;0
27/12/2016;1000142;1728340049;37928;27501;26700;26700;27525;1014394;2797428;254;;3;100;1711570;;2539199;0
27/12/2016;1000142;1728340052;38075;27604;27600;30829;30582;1014394;1742516;1193362;Inbound;0;100;1711570;;18;0
27/12/2016;1000142;1728340120;63730;32388;30720;30720;32447;1014394;2797526;253;;3;100;1711570;;2539201;0
27/12/2016;1000142;1728340123;64196;32447;32400;35468;35220;1014394;1742519;1193360;Outbound;0;98;1711570;;18;0
27/12/2016;1000142;1728340190;88315;35242;36600;37800;35242;1014394;2797527;257;;4;50;1711570;;2539977;0
27/12/2016;1000142;1728340205;112651;39435;38100;39600;39435;1014394;2795168;256;;2;50;1711719;;2538981;0
27/12/2016;1000142;1728340209;112651;39593;39600;43310;42902;1014394;1730951;1193360;Outbound;0;98;1711719;;16;0
27/12/2016;1000142;1728340279;137110;42949;43380;43380;44399;1014394;2795169;254;;3;100;1711719;;2538983;0
27/12/2016;1000142;1728340284;137665;44399;44400;48436;47965;1014394;1730953;1193362;Inbound;0;100;1711719;;14;0
27/12/2016;1000142;1728340354;161875;48030;48600;50100;48030;1014394;2795170;255;;4;50;1711719;;2544375;0
27/12/2016;1000142;1728340373;185849;55683;55200;59226;58814;1014394;1728605;1193360;Outbound;0;91;1711696;;13;0
27/12/2016;1000142;1728340444;205738;58831;58920;58920;60024;1014394;2794265;254;;3;100;1711696;;2544913;0
27/12/2016;1000142;1728340449;206247;60024;60000;63905;63558;1014394;1728608;1193362;Inbound;0;100;1711696;;13;0
27/12/2016;1000142;1728340517;230447;63669;63540;63540;63691;1014394;2794372;253;;3;100;1711696;;2539985;0
27/12/2016;1000142;1728340521;230861;64885;64800;68826;68765;1014394;1728610;1193360;Outbound;0;98;1711696;;13;0
27/12/2016;1000142;1728340597;255808;69270;69300;71100;69270;1014394;2794373;257;;4;50;1711696;;2538989;0
27/12/2016;1000142;1728340611;286039;79206;79200;82243;82031;1014394;1732648;1193361;Outbound;0;100;1711025;;15;0
27/12/2016;1000142;1728340679;309164;82043;82200;82200;82676;1014394;2789510;254;;3;100;1711025;;2538995;0
27/12/2016;1000146;1728340722;12071;25250;25200;28087;27964;1014394;1745724;1193362;Inbound;0;98;1712220;;17;0
27/12/2016;1000146;1728340787;37922;30006;28320;28320;30049;1014394;2803262;253;;3;100;1712220;;2548663;0
27/12/2016;1000146;1728340790;38387;30049;30000;33068;32644;1014394;1745943;1193360;Outbound;0;100;1712220;;18;0
