measure_id;trip_id;line_code;pattern_long_name;point_first;point_last;point_first_seq_no;point_last_seq_no;event_no;regulation_kilometres
484981385178230368;1724343;18;00181001;1311823;1005667;0;10;;3.213
484981385177270123;1724322;18;00180001;1311970;1086418;0;64;;18.891
484981385177269765;2032909;83;00830001;1013514;1136107;0;66;;23.816
484981385177269765;2032907;83;00831001;1136107;1013720;0;67;;24.002
484981385177269765;2032906;83;083A0001;1013514;1136107;0;70;;23.531
484981385177269681;2022120;83;083A1001;1136107;1510369;0;67;;23.863
484981385177269681;2022119;83;00830001;1013514;1136107;0;66;;23.816
484981385177269706;2032410;83;00831001;1136107;1013720;0;67;;24.002
484981385177269706;2032409;83;00830001;1013514;1136107;0;66;;23.816
484981385177269730;2032190;83;00831001;1136107;1013720;0;67;;24.002
484981385177269730;2032189;83;00830001;1013514;1136107;0;66;;23.816
484981385177314557;1733475;120;01201001;1258022;1257968;0;23;;7.575
484981385177315001;1733472;120;01200001;1258088;1257963;0;25;;7.448
484981385177314557;1733472;120;01200001;1258088;1257963;0;25;;7.448
484981385177315001;1733470;120;01201001;1258022;1257968;0;23;;7.575
484981385177314557;1733470;120;01201001;1258022;1257968;0;23;;7.575
484981385177315001;1733467;120;01200001;1258088;1257963;0;25;;7.448
484981385177314557;1733467;120;01200001;1258088;1257963;0;25;;7.448
484981385177315001;1733464;120;01201001;1258022;1257968;0;23;;7.575
484981385177314557;1733464;120;01201001;1258022;1257968;0;23;;7.575
484981385177315001;1733461;120;01200001;1258088;1257963;0;25;;7.448
484981385177314557;1733461;120;01200001;1258088;1257963;0;25;;7.448
484981385177314582;1755417;120;01201001;1258022;1257968;0;23;;7.575
484981385177314739;1755415;120;01200001;1258088;1257963;0;25;;7.448
484981385177314582;1755415;120;01200001;1258088;1257963;0;25;;7.448
484981385177314739;1755413;120;01201001;1258022;1257968;0;23;;7.575
484981385177314582;1755413;120;01201001;1258022;1257968;0;23;;7.575
484981385177314739;1755411;120;01200001;1258088;1257963;0;25;;7.448
484981385177314582;1755411;120;01200001;1258088;1257963;0;25;;7.448
484981385177595800;1747268;122;01220001;1001398;1051660;0;19;;5.982
484981385177595800;1747266;122;01221001;1001400;1001401;0;51;;15.499
484981385177595800;1747264;122;01220001;1001398;1001399;0;49;;14.979
484981385177595800;1747262;122;01221001;1051623;1001401;31;51;;6.067
484981385177595994;1727924;122;01220001;1001398;1051660;0;19;;5.982
484981385177595994;1727922;122;01221001;1001400;1001401;0;51;;15.499
484981385177595994;1727920;122;01220001;1001398;1001399;0;49;;14.979
484981385177595994;1727918;122;01221001;1051623;1001401;31;51;;6.067
484981385177595969;1755828;122;01220001;1001398;1001399;0;49;;14.979
484981385177595912;1755828;122;01220001;1001398;1001399;0;49;;14.979
484981385177595969;1755826;122;01221001;1001400;1001401;0;51;;15.499
484981385177595912;1755826;122;01221001;1001400;1001401;0;51;;15.499
484981385177595969;1755824;122;01220001;1001407;1001399;21;49;;7.993
484981385177595912;1755824;122;01220001;1001407;1001399;21;49;;7.993
484981385177595912;1755832;122;01220001;1001398;1051660;0;19;;5.982
484981385177595969;1755830;122;01221001;1001400;1001401;0;51;;15.499
484981385177595912;1755830;122;01221001;1001400;1001401;0;51;;15.499
484981385178330398;1926810;123;01231001;1001394;513;0;14;;3.55
484981385177827908;1926808;123;01230001;1001405;1001410;0;30;;9.429
484981385177827908;1926806;123;01231001;1001394;1001404;0;46;;13.176
484981385177827908;1926804;123;01230001;1001405;1001408;0;43;;13.002
484981385177827908;1926802;123;01231001;1065018;1001404;16;46;;8.896
484981385178330326;984097;123;01231002;1001394;1065018;0;16;1728415634;-4.28
484981385178086689;1912413;123;01230001;1001396;1001408;29;43;;4.626
484981385178142873;1923025;123;01231002;1001394;1065018;0;16;;4.28
484981385178142873;1923023;123;01230001;1001405;1001408;0;43;;13.002
484981385178142873;1923021;123;01231001;1001394;1001404;0;46;;13.176
484981385178142873;1923019;123;01230001;4509;1001408;32;43;;2.942
484981385178330290;954205;123;01231002;1001394;1065018;0;16;;-4.28
484981385177315416;981704;25;025B1002;1086440;1247139;0;39;1728421366;-20.841
484981385177315323;951590;25;025A1002;1193060;1247139;0;39;1728329237;-19.83
484981385177410065;975308;25;025B1002;1086440;1247139;0;39;1728370418;-20.841
484981385177502815;955600;25;025B1002;1086440;2281405;0;34;1728370418;-18.86
484981385177157249;959905;25;025A0002;1229340;1193118;0;40;;-19.647
484981385177314441;995403;25;025A1002;1193060;1247139;0;39;1728329237;-19.83
484981385177157417;902578;25;025B1002;1086440;1247139;0;39;1728370418;-20.841
484981385177502256;928382;25;025A1002;1193060;2281405;0;34;1728329237;-17.849
484981385177410119;925191;25;025B1002;1086440;1247139;0;39;1728167594;-20.841
484981385177595566;964178;25;00251002;1247082;2281405;0;35;1728167650;-14.712
484981385177314666;977653;25;025A1002;1193060;1247139;0;39;1728230498;-19.83
484981385177315079;928197;25;025A1002;1193060;1247139;0;39;1728248379;-19.83
484981385177502334;975804;25;025B1002;1086440;2281405;0;34;1728421366;-18.86
484981385177314714;940275;25;025A1002;1193060;1247139;0;39;;-19.83
484981385177595334;;25;025A1002;1211664;1247139;35;39;1728248379;1.521
484981385177595284;922436;25;025A1002;1193060;2281405;0;34;1728248379;-17.849
484981385177502414;911376;25;025A1002;1193060;2281405;0;34;;-17.849
484981385177410467;938776;25;025A1002;1193060;1247139;0;39;1728248379;-19.83
484981385177409929;991980;25;025A1002;1193060;1247139;0;39;;-19.83
484981385177595593;2296956;25;00251002;1247082;1247139;0;40;;16.693
484981385177157303;937134;25;025B1002;1086440;1247139;0;39;1728421366;-20.841
484981385177157353;923763;25;025B1002;1086440;1247139;0;39;;-20.841
484981385178330460;1726633;26;066B0001;1229340;1051612;0;4;;1.349
484981385178230905;2290468;26;00661002;2281405;1229374;48;52;;1.74
484981385177410649;2437553;27;077A1001;1051540;1051438;0;67;;23.887
484981385177410649;2437551;27;077A0001;1051601;1051455;0;72;;24.026
484981385177410649;2437549;27;077A1001;1051540;1051438;0;67;;23.887
484981385177828182;2445864;27;077A1001;1051540;1051438;0;67;;23.887
484981385177828182;2445862;27;077A0001;1051601;1051455;0;72;;24.026
484981385177827963;2442336;27;00270004;1003895;1051531;27;90;;20.934
484981385178230614;2444610;27;077A1001;1051540;1051438;0;67;;23.887
484981385177827806;2444610;27;077A1001;1051540;1051438;0;67;;23.887
484981385178230614;2444608;27;077A0001;1051601;1051455;0;72;;24.026
484981385177827806;2444608;27;077A0001;1051601;1051455;0;72;;24.026
484981385177827671;2444523;27;00270004;1229361;1051531;41;90;;16.729
484981385177410674;2445602;27;077A1001;1051540;1051438;0;67;;23.887
484981385177501900;2445600;27;077A0001;1051601;1051455;0;72;;24.026
484981385177410674;2445600;27;077A0001;1051601;1051455;0;72;;24.026
484981385177314916;2334346;130;01300002;1013664;1013484;0;37;;10.308
484981385178443993;2324350;27B;027B1007;1005774;1051611;28;45;;5.288
484981385178330692;2324350;27B;027B1007;1013514;1242;0;27;;11.247
484981385177595082;2513511;14;00140002;7581;1257998;30;75;;12.58
484981385177145560;2799860;7;00070007;1211580;1211584;51;54;;2.669
484981385177145560;2799857;7;00070006;1211580;1211584;51;54;;2.669
484981385177270239;2799846;7;007A0001;1311978;1211565;0;60;;20.006
484981385177145560;2802569;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2788634;7;00070007;1211580;1211584;51;54;;2.669
484981385177145560;2788620;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2788618;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2788616;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2789245;7;00070007;1211580;1211584;51;54;;2.669
484981385177145560;2789232;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2789230;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2789228;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2789226;7;00070006;1211580;1211584;51;54;;2.669
484981385177270198;953116;7;00070006;1311978;2786719;0;55;1728515980;-21.604
484981385177145560;2794553;7;00070007;1211580;1211584;51;54;;2.669
484981385177145560;2794546;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2794540;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2794538;7;00070006;1211580;1211584;51;54;;2.669
484981385177269792;2794536;7;00070006;1311978;2786719;0;55;;21.604
484981385177145560;2794536;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2795353;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2795351;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2795349;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2795787;7;00070007;1211580;1211584;51;54;;2.669
484981385177145560;2789420;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2789418;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2794764;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2802466;7;00070007;1211580;1211584;51;54;;2.669
484981385177145560;2802459;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2802457;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2802455;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2797684;7;00070007;1211580;1211584;51;54;;2.669
484981385177145560;2797677;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2797675;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2797673;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2803390;7;00070006;1211580;1211584;51;54;;2.669
484981385177145560;2796423;7;00070006;1211580;1211584;51;54;;2.669
484981385177828299;1740093;75;00750001;1211618;1257986;56;77;;6.548
484981385178142322;1719551;75;00751001;1257986;1051467;0;83;;25.552
484981385177959949;1719550;75;00750001;1211618;1257986;56;77;;6.548
484981385177681643;1719546;75;00750001;1211618;1257986;56;77;;6.548
484981385178410037;906647;75;00750001;4567;1257986;70;77;;-2.074
484981385177960343;1723648;75;00750001;1211618;1257986;56;77;;6.548
484981385178410037;1723262;75;00750001;4567;2036;70;76;;1.845
484981385177827871;1723256;75;00750001;1211618;1257986;56;77;;6.548
484981385177959919;1754787;75;00750001;1211618;1257986;56;77;;6.548
484981385177959890;1754787;75;00750001;1051575;2860;0;38;;13.522
484981385177827772;1754785;75;00751001;1257986;1051467;0;83;;25.552
484981385178142516;2798151;111;01111004;2786713;2786719;15;47;;12.5
484981385177410035;2421245;140;01401003;1013533;1065034;0;46;;15.449
484981385177269874;2421245;140;01401003;1013533;1065034;0;46;;15.449
484981385177410035;2421243;140;01400003;1065034;1013467;0;43;;15.279
484981385177269874;2421243;140;01400003;1065034;1013467;0;43;;15.279
484981385177410035;2421242;140;01401003;1013533;1065034;0;46;;15.449
484981385177269874;2421242;140;01401003;1013533;1065034;0;46;;15.449
484981385177410035;2421240;140;01400003;1065003;1013467;26;43;;4.566
484981385177269874;2421240;140;01400003;1065003;1013467;26;43;;4.566
484981385178086800;2415709;140;01401003;1013533;1510360;0;20;;5.713
484981385178086769;2415707;140;01400003;1065015;1013467;25;43;;4.959
484981385177269898;2415707;140;01400003;1065034;1051497;0;24;;9.923
484981385177269898;2415706;140;01401003;1013533;1065034;0;46;;15.449
484981385177269898;2415704;140;01400003;1065034;1013467;0;43;;15.279
484981385177502389;2415703;140;01401003;1013533;1510360;0;20;;5.713
484981385177269898;2415703;140;01401003;1051560;1065034;21;46;;9.29
484981385177502389;2415701;140;01400003;1065034;1013467;0;43;;15.279
484981385177502389;2415700;140;01401003;1013533;1065034;0;46;;15.449
484981385177502389;2415698;140;01400003;1065003;1013467;26;43;;4.566
484981385178229977;2412549;140;01401003;1510360;1065034;20;46;;9.736
484981385177960163;2412549;140;01401003;1013533;1001396;0;19;;5.211
484981385177960163;2412546;140;01400003;1065034;1013467;0;43;;15.279
484981385177960163;2412545;140;01401003;1051560;1065034;21;46;;9.29
484981385177960189;2420467;140;01400004;1065034;1065003;0;26;;10.713
484981385177960189;2420466;140;01401003;1013533;1065034;0;46;;15.449
484981385177960189;2420464;140;01400003;1065034;1013467;0;43;;15.279
484981385177960189;2420463;140;01401003;1013533;1065034;0;46;;15.449
484981385177960189;2420461;140;01400003;1065003;1013467;26;43;;4.566
484981385177269849;2420454;140;01401003;1013533;1001396;0;19;;5.211
484981385177269849;2420452;140;01400003;1065034;1013467;0;43;;15.279
484981385177269849;2420451;140;01401003;1051560;1065034;21;46;;9.29
484981385177410570;2411121;140;01400003;1065034;1051497;0;24;;9.923
484981385177410570;2411120;140;01401003;1013533;1065034;0;46;;15.449
484981385177410570;2411117;140;01400003;1065003;1013467;26;43;;4.566
484981385177157500;1940853;1;00010001;1003788;1051660;0;20;;5.442
484981385177681174;1940852;1;00011001;1086388;1003788;0;42;;12.082
484981385177157500;1940852;1;00011001;1086388;1003788;0;42;;12.082
484981385177681174;1940850;1;00010001;1001407;1086469;22;41;;5.513
484981385177157500;1940850;1;00010001;1001407;1086469;22;41;;5.513
484981385177410150;928143;4;00040001;1013514;1179020;0;55;1728407050;-20.653
484981385177410504;930776;4;00040001;1013514;1179020;0;55;1728176856;-20.653
484981385178142067;1908567;4;00041001;1179021;1051426;0;59;;19.615
484981385178142067;1908564;4;00040001;1013514;1179020;0;55;;20.653
484981385177960256;959643;4;00040001;1013514;1179020;0;55;;-20.653
484981385177409963;939096;4;00041001;1179021;1013720;0;60;1729039646;-21.005
484981385177315104;900273;4;00040001;114;1179020;6;55;1729039588;-16.874
484981385178331033;1902025;4;00040001;1013514;1179020;0;55;;20.653
484981385178087192;1735921;33A;033A0001;1005724;1005726;0;63;;29.574
484981385177269451;1743202;13;00131002;1086356;1013720;0;89;;31.87
484981385177269451;1743201;13;00130002;1013514;1086356;0;91;;31.622
484981385177269399;1741286;13;00130001;1510357;1051660;0;30;;10.78
484981385177269399;1741284;13;00131001;1086356;1510369;0;89;;31.74
484981385177269399;1741283;13;00130001;1003812;1086356;32;90;;19.934
484981385177409844;1749845;13;00130001;1510357;1051660;0;30;;10.78
484981385177409844;1749843;13;00131001;1086356;1510369;0;89;;31.74
484981385177681253;1756878;13;00130002;1013514;1086356;0;91;;31.622
484981385178087436;1719959;13;00130001;1510357;110;0;10;;5.058
484981385177827520;1719956;13;00130001;1510357;1003812;0;32;;11.551
484981385177827491;1719954;13;00131001;1086356;1510369;0;89;;31.74
484981385177269822;1732903;13;00130008;1013514;1086356;0;87;;31.515
484981385177269822;1732900;13;00131008;1086356;1013720;0;86;;31.805
484981385177269426;1727084;13;00131002;1086356;1013720;0;89;;31.87
484981385177269426;1727083;13;00130002;1013514;1086356;0;91;;31.622
484981385177409894;1721211;13;00131001;1086356;1510369;0;89;;31.74
484981385177409894;1721210;13;00130001;1003812;1086356;32;90;;19.934
484981385177269374;1719127;13;00130001;1510357;1051660;0;30;;10.78
484981385177409785;1719124;13;00131001;1086356;1510369;0;89;;31.74
484981385177269374;1719124;13;00131001;1086356;1510369;0;89;;31.74
484981385177409785;1719123;13;00130001;1003812;1086356;32;90;;19.934
484981385177269374;1719123;13;00130001;1003812;1086356;32;90;;19.934
484981385177959976;2429302;15;00151003;1653699;7582;0;36;;10.724
484981385177959976;2429301;15;00150003;7581;1653699;36;71;;11.013
484981385178444064;2425606;15;00150003;1013489;1653699;0;71;;22.563
484981385177960002;2425606;15;00150003;1013489;1653699;0;71;;22.563
484981385178444064;2425604;15;00151003;1653699;1013790;0;68;;22.137
484981385177960002;2425604;15;00151003;1653699;1013790;0;68;;22.137
