opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
27/12/2016;484981385177828462;55438;15:23:58;TR01
27/12/2016;484981385177959694;55942;15:32:22;TR01
27/12/2016;484981385178086830;60810;16:53:30;TR05
27/12/2016;484981385177960283;66000;18:20:00;TR05
27/12/2016;484981385177960443;59380;16:29:40;TR05
27/12/2016;484981385177827871;51738;14:22:18;TR05
27/12/2016;484981385177157688;24045;06:40:45;TR05
27/12/2016;484981385177315354;29894;08:18:14;TR05
27/12/2016;484981385178087379;62388;17:19:48;TR05
27/12/2016;484981385177828299;54792;15:13:12;TR05
27/12/2016;484981385177157303;23361;06:29:21;TR05
27/12/2016;484981385178142364;64046;17:47:26;AC00
27/12/2016;484981385177157249;23214;06:26:54;TR05
27/12/2016;484981385177960229;66000;18:20:00;TR05
27/12/2016;484981385177959949;57024;15:50:24;TR05
27/12/2016;484981385177157473;23821;06:37:01;TR05
27/12/2016;484981385178142322;63738;17:42:18;TR05
27/12/2016;484981385178142777;66103;18:21:43;TR05
27/12/2016;484981385177157054;22028;06:07:08;TR05
27/12/2016;484981385177959890;56952;15:49:12;TR05
27/12/2016;484981385177157353;23398;06:29:58;TR05
27/12/2016;484981385177157417;23495;06:31:35;TR05
27/12/2016;484981385177157193;23107;06:25:07;AC00
27/12/2016;484981385177960343;58766;16:19:26;TR05
27/12/2016;484981385178087467;62643;17:24:03;TR05
27/12/2016;484981385177959919;56983;15:49:43;TR05
27/12/2016;484981385178142263;63520;17:38:40;TR05
27/12/2016;484981385178142550;64733;17:58:53;TR05
27/12/2016;484981385178142095;63340;17:35:40;TR05
27/12/2016;484981385178087550;62855;17:27:35;TR05
27/12/2016;484981385177157600;23995;06:39:55;TR05
27/12/2016;484981385178142394;64084;17:48:04;TR01
27/12/2016;484981385178141912;62918;17:28:38;TR01
27/12/2016;484981385178087580;62858;17:27:38;TR01
27/12/2016;484981385178142516;64554;17:55:54;TR01
27/12/2016;484981385178330551;72416;20:06:56;ON04
27/12/2016;484981385178444632;82595;22:56:35;ON04
27/12/2016;484981385178230368;68534;19:02:14;ON04
27/12/2016;484981385178444267;78301;21:45:01;ON04
27/12/2016;484981385178086689;60655;16:50:55;ON04
27/12/2016;484981385178230715;70586;19:36:26;ON04
27/12/2016;484981385178330357;71614;19:53:34;ON04
27/12/2016;484981385178444354;78598;21:49:58;ON07
27/12/2016;484981385178142635;64891;18:01:31;ON07
27/12/2016;484981385177828267;54631;15:10:31;ON07
27/12/2016;484981385177827963;52852;14:40:52;ON07
27/12/2016;484981385178230157;67697;18:48:17;AC00
27/12/2016;484981385177315001;28111;07:48:31;AC00
27/12/2016;484981385177595800;42131;11:42:11;ST02
27/12/2016;484981385178086800;60755;16:52:35;ST02
27/12/2016;484981385177595912;42447;11:47:27;ST02
