opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
29/12/2016;484981385181802088;82313;22:51:53;TR01
29/12/2016;484981385181636493;74911;20:48:31;TR01
29/12/2016;484981385180954177;44696;12:24:56;ON03
29/12/2016;484981385181360158;63127;17:32:07;TR05
29/12/2016;484981385181360040;62685;17:24:45;TR05
29/12/2016;484981385181636202;73093;20:18:13;TR05
29/12/2016;484981385181360480;64764;17:59:24;TR05
29/12/2016;484981385180954522;46055;12:47:35;TR05
29/12/2016;484981385181360225;63450;17:37:30;TR05
29/12/2016;484981385181360641;65920;18:18:40;TR05
29/12/2016;484981385180789207;44067;12:14:27;TR05
29/12/2016;484981385180587913;28556;07:55:56;TR05
29/12/2016;484981385180645159;31906;08:51:46;TR05
29/12/2016;484981385181098454;58039;16:07:19;TR05
29/12/2016;484981385181098087;56216;15:36:56;TR05
29/12/2016;484981385181489937;66657;18:30:57;TR05
29/12/2016;484981385181290668;59956;16:39:16;TR05
29/12/2016;484981385181290784;60368;16:46:08;TR05
29/12/2016;484981385180788272;37896;10:31:36;TR05
29/12/2016;484981385181360123;62882;17:28:02;TR05
29/12/2016;484981385181360339;64451;17:54:11;TR05
29/12/2016;484981385181360526;65298;18:08:18;TR05
29/12/2016;484981385181097990;55270;15:21:10;TR05
29/12/2016;484981385181360610;65805;18:16:45;TR05
29/12/2016;484981385181360298;64083;17:48:03;TR05
29/12/2016;484981385181290583;59875;16:37:55;TR05
29/12/2016;484981385181360579;65687;18:14:47;TR05
29/12/2016;484981385180788562;39962;11:06:02;TR05
29/12/2016;484981385181098021;55329;15:22:09;TR05
29/12/2016;484981385181636757;76522;21:15:22;TR01
29/12/2016;484981385181097706;52478;14:34:38;ON04
29/12/2016;484981385181097675;52386;14:33:06;ON04
29/12/2016;484981385181290031;58182;16:09:42;ON04
29/12/2016;484981385181490643;71385;19:49:45;ON04
29/12/2016;484981385181098486;58121;16:08:41;ON04
29/12/2016;484981385181360185;63135;17:32:15;ON07
29/12/2016;484981385181290441;59045;16:24:05;ON07
29/12/2016;484981385181636426;74443;20:40:43;ON07
29/12/2016;484981385181290813;60377;16:46:17;ST02
29/12/2016;484981385181489821;66329;18:25:29;ST02
29/12/2016;484981385181097863;54674;15:11:14;ST02
29/12/2016;484981385181489846;66362;18:26:02;ST02
29/12/2016;484981385181097573;51452;14:17:32;ST02
29/12/2016;484981385181098117;56239;15:37:19;ST02
29/12/2016;484981385180954644;46638;12:57:18;ST02
29/12/2016;484981385180954436;45828;12:43:48;ST03
29/12/2016;484981385181636170;72959;20:15:59;ST03
29/12/2016;484981385181359796;61105;16:58:25;ST03
29/12/2016;484981385181490522;70317;19:31:57;ST03
29/12/2016;484981385181490257;68196;18:56:36;ST03
29/12/2016;484981385181097747;52843;14:40:43;ST03
29/12/2016;484981385181490138;67967;18:52:47;ST03
29/12/2016;484981385180788633;40294;11:11:34;ST03
29/12/2016;484981385181490496;70281;19:31:21;ST03
29/12/2016;484981385181490107;67926;18:52:06;ST03
29/12/2016;484981385180788322;38558;10:42:38;ST03
29/12/2016;484981385180954719;47129;13:05:29;ST03
