block_id;block_code;short_name;long_name;daytype_id;valid_from;valid_until
1712015;041010:35;41010;41010;35;01/01/1970;01/01/2036
1711469;272001A:35;272001;272001;35;01/01/1970;01/01/2036
1711570;171001A:35;171001;171001;35;01/01/1970;01/01/2036
1711211;332002A:35;332002;332002;35;01/01/1970;01/01/2036
1711243;046005:35;46005;46005;35;01/01/1970;01/01/2036
1711297;046009:35;46009;46009;35;01/01/1970;01/01/2036
1711867;046013:35;46013;46013;35;01/01/1970;01/01/2036
1711955;046008:35;46008;46008;35;01/01/1970;01/01/2036
1712328;046002:35;46002;46002;35;01/01/1970;01/01/2036
1712353;046015:35;46015;46015;35;01/01/1970;01/01/2036
1712518;046021:35;46021;46021;35;01/01/1970;01/01/2036
1712573;046003:35;46003;46003;35;01/01/1970;01/01/2036
1711054;451003:35;451003;451003;35;01/01/1970;01/01/2036
1711529;451005:35;451005;451005;35;01/01/1970;01/01/2036
1711195;271001:35;271001;271001;35;01/01/1970;01/01/2036
1712121;056002A:35;56002;56002;35;01/01/1970;01/01/2036
1712277;065003:35;65003;65003;35;01/01/1970;01/01/2036
1712585;011007:35;11007;11007;35;01/01/1970;01/01/2036
1710969;013101A:35;13101;13101;35;01/01/1970;01/01/2036
1711616;014003:35;14003;14003;35;01/01/1970;01/01/2036
1712232;068006:35;68006;68006;35;01/01/1970;01/01/2036
1712273;015015:35;15015;15015;35;01/01/1970;01/01/2036
1885223;016001A:35;16001;16001;35;01/01/1970;01/01/2036
1712562;027105:35;27105;27105;35;01/01/1970;01/01/2036
1711727;220001A:35;220001;220001;35;01/01/1970;01/01/2036
1711122;038002:35;38002;38002;35;01/01/1970;01/01/2036
2408061;038012:35;38012;38012;35;01/01/1970;01/01/2036
1711516;039007:35;39007;39007;35;01/01/1970;01/01/2036
1712426;004004:35;4004;4004;35;01/01/1970;01/01/2036
1711707;007001:35;7001;7001;35;01/01/1970;01/01/2036
1711700;015103:35;15103;15103;35;01/01/1970;01/01/2036
1711000;066014:35;66014;66014;35;01/01/1970;01/01/2036
1711692;066004:35;66004;66004;35;01/01/1970;01/01/2036
1839462;009002:35;9002;9002;35;01/01/1970;01/01/2036
1711827;067001:35;67001;67001;35;01/01/1970;01/01/2036
1711874;067005:35;67005;67005;35;01/01/1970;01/01/2036
2786738;007014:35;7014;7014;35;01/01/1970;01/01/2036
2786739;007008A:35;7008;7008;35;01/01/1970;01/01/2036
1711846;009009:35;9009;9009;35;01/01/1970;01/01/2036
1712408;025005:35;25005;25005;35;01/01/1970;01/01/2036
1712470;079002:35;79002;79002;35;01/01/1970;01/01/2036
1712145;037006:35;37006;37006;35;01/01/1970;01/01/2036
1711241;040005:35;40005;40005;35;01/01/1970;01/01/2036
1711561;040204A:35;40204;40204;35;01/01/1970;01/01/2036
1711678;041007:35;41007;41007;35;01/01/1970;01/01/2036
1871801;826010:35;826010;826010;35;01/01/1970;01/01/2036
1711770;017003A:35;17003;17003;35;01/01/1970;01/01/2036
1710837;151006:35;151006;151006;35;01/01/1970;01/01/2036
2591532;151001:35;151001;151001;35;01/01/1970;01/01/2036
1909303;084004:35;84004;84004;35;01/01/1970;01/01/2036
1712001;012001:35;12001;12001;35;01/01/1970;01/01/2036
1712495;012003:35;12003;12003;35;01/01/1970;01/01/2036
1710899;033005:35;33005;33005;35;01/01/1970;01/01/2036
1710771;018001A:35;18001;18001;35;01/01/1970;01/01/2036
1712051;039020:35;39020;39020;35;01/01/1970;01/01/2036
1712215;039019:35;39019;39019;35;01/01/1970;01/01/2036
1711659;104001:35;104001;104001;35;01/01/1970;01/01/2036
1712537;012206:35;12206;12206;35;01/01/1970;01/01/2036
1711123;123007:35;123007;123007;35;01/01/1970;01/01/2036
1711793;123006:35;123006;123006;35;01/01/1970;01/01/2036
1711837;145107:35;145107;145107;35;01/01/1970;01/01/2036
1711933;042004:35;42004;42004;35;01/01/1970;01/01/2036
1712437;042006:35;42006;42006;35;01/01/1970;01/01/2036
1712509;272006A:35;272006;272006;35;01/01/1970;01/01/2036
1711003;171012A:35;171012;171012;35;01/01/1970;01/01/2036
1711349;029004:35;29004;29004;35;01/01/1970;01/01/2036
1711892;332001A:35;332001;332001;35;01/01/1970;01/01/2036
1711185;046001:35;46001;46001;35;01/01/1970;01/01/2036
1711255;046018:35;46018;46018;35;01/01/1970;01/01/2036
2450489;046022:35;46022;46022;35;01/01/1970;01/01/2036
1712211;451004:35;451004;451004;35;01/01/1970;01/01/2036
1711178;065006:35;65006;65006;35;01/01/1970;01/01/2036
1711839;065005:35;65005;65005;35;01/01/1970;01/01/2036
1712337;011006:35;11006;11006;35;01/01/1970;01/01/2036
1711973;014104:35;14104;14104;35;01/01/1970;01/01/2036
2513029;014009:35;14009;14009;35;01/01/1970;01/01/2036
1711062;016008:35;16008;16008;35;01/01/1970;01/01/2036
1711435;016002:35;16002;16002;35;01/01/1970;01/01/2036
1711687;016016:35;16016;16016;35;01/01/1970;01/01/2036
