depot;vehicle_id;vehicle_short_name;opd_date
CF;1000110;33416;05/01/2017
HN;1000111;33418;05/01/2017
SL;1000113;33420;05/01/2017
SL;1000115;33422;05/01/2017
SL;1000116;33424;05/01/2017
SL;1000117;33426;05/01/2017
SL;1000118;33428;05/01/2017
PO;1000120;33430;05/01/2017
PO;1000122;33432;05/01/2017
PO;1000124;33434;05/01/2017
PO;1000126;33436;05/01/2017
PO;1000128;33438;05/01/2017
PO;1000130;33440;05/01/2017
PO;1000132;33442;05/01/2017
PO;1000134;33444;05/01/2017
PO;1000135;33446;05/01/2017
HN;1000136;33448;05/01/2017
PO;1000138;33450;05/01/2017
HN;1000140;33452;05/01/2017
HN;1000142;33454;05/01/2017
HN;1000144;33456;05/01/2017
HN;1000146;33458;05/01/2017
RD;1000148;33460;05/01/2017
SL;1000150;33462;05/01/2017
D1;1000152;33464;05/01/2017
D1;1000154;33466;05/01/2017
D1;1000156;33468;05/01/2017
RD;1000158;33470;05/01/2017
RD;1000160;33472;05/01/2017
RD;1000162;33474;05/01/2017
RD;1000164;33476;05/01/2017
RD;1000166;33478;05/01/2017
RD;1000168;33480;05/01/2017
PO;1000170;40002;05/01/2017
RD;1000171;33482;05/01/2017
PO;1000173;40004;05/01/2017
RD;1000174;33484;05/01/2017
PO;1000176;40006;05/01/2017
RD;1000177;33486;05/01/2017
PO;1000180;40008;05/01/2017
RD;1000181;33488;05/01/2017
PO;1000183;40010;05/01/2017
RD;1000184;33490;05/01/2017
HN;1000186;40012;05/01/2017
RD;1000187;33492;05/01/2017
HN;1000189;40014;05/01/2017
RD;1000190;33494;05/01/2017
PO;1000193;33496;05/01/2017
HN;1000195;40018;05/01/2017
HN;1000198;40020;05/01/2017
HN;1000201;40022;05/01/2017
HN;1000202;33502;05/01/2017
HN;1000204;40024;05/01/2017
HN;1000205;33504;05/01/2017
HN;1000208;33506;05/01/2017
HN;1000211;33508;05/01/2017
SL;1000213;40030;05/01/2017
HN;1000340;38072;05/01/2017
HN;1000343;38074;05/01/2017
CF;1000345;38076;05/01/2017
CF;1000348;38078;05/01/2017
CF;1000351;38080;05/01/2017
CF;1000354;38082;05/01/2017
CF;1000357;38084;05/01/2017
CF;1000360;38086;05/01/2017
CF;1000363;38088;05/01/2017
D1;1000366;38090;05/01/2017
D1;1000369;38092;05/01/2017
D1;1000372;38094;05/01/2017
D1;1000375;38096;05/01/2017
D1;1000377;38098;05/01/2017
D1;1000379;38100;05/01/2017
PO;1000381;24246;05/01/2017
PO;1000382;33212;05/01/2017
PO;1000389;33224;05/01/2017
HN;1000415;33274;05/01/2017
HN;1000417;33278;05/01/2017
HN;1000418;33280;05/01/2017
CF;1000420;33284;05/01/2017
CF;1000421;33286;05/01/2017
CD;1000422;33288;05/01/2017
CD;1000424;33292;05/01/2017
CD;1000425;33294;05/01/2017
CD;1000426;33296;05/01/2017
SL;1000428;33300;05/01/2017
SL;1000429;33302;05/01/2017
PO;1000431;33306;05/01/2017
PO;1000432;33308;05/01/2017
PO;1000433;33310;05/01/2017
PO;1000435;33314;05/01/2017
CF;1000436;33316;05/01/2017
RD;1000438;33320;05/01/2017
HN;1000440;33322;05/01/2017
HN;1000442;33324;05/01/2017
HN;1000443;33326;05/01/2017
D1;1000446;33330;05/01/2017
D1;1000447;33332;05/01/2017
SL;1000449;33336;05/01/2017
SL;1000451;33338;05/01/2017
SL;1000453;33340;05/01/2017
HN;1000454;33342;05/01/2017
CF;1000457;33346;05/01/2017
D1;1000458;33348;05/01/2017
CD;1000460;33352;05/01/2017
CD;1000461;33354;05/01/2017
CD;1000464;33358;05/01/2017
CD;1000465;33360;05/01/2017
PO;1000467;33364;05/01/2017
PO;1000468;33366;05/01/2017
PO;1000469;33368;05/01/2017
PO;1000471;33372;05/01/2017
HN;1000472;35002;05/01/2017
HN;1000474;35004;05/01/2017
PO;1000476;33376;05/01/2017
HN;1000478;33378;05/01/2017
HN;1000479;35008;05/01/2017
HN;1000481;35010;05/01/2017
PO;1000482;33382;05/01/2017
RD;1000483;33384;05/01/2017
D1;1000485;33388;05/01/2017
D1;1000489;33392;05/01/2017
D1;1000490;33394;05/01/2017
D1;1000492;33398;05/01/2017
CD;1000494;33400;05/01/2017
CD;1000496;33404;05/01/2017
