depot;vehicle_id;vehicle_short_name;opd_date
CF;1000110;33416;22/01/2017
HN;1000111;33418;22/01/2017
SL;1000113;33420;22/01/2017
SL;1000115;33422;22/01/2017
SL;1000116;33424;22/01/2017
SL;1000117;33426;22/01/2017
SL;1000118;33428;22/01/2017
PO;1000120;33430;22/01/2017
PO;1000122;33432;22/01/2017
PO;1000124;33434;22/01/2017
PO;1000126;33436;22/01/2017
PO;1000128;33438;22/01/2017
PO;1000130;33440;22/01/2017
PO;1000132;33442;22/01/2017
PO;1000134;33444;22/01/2017
PO;1000135;33446;22/01/2017
HN;1000136;33448;22/01/2017
PO;1000138;33450;22/01/2017
HN;1000140;33452;22/01/2017
HN;1000142;33454;22/01/2017
HN;1000144;33456;22/01/2017
HN;1000146;33458;22/01/2017
RD;1000148;33460;22/01/2017
SL;1000150;33462;22/01/2017
D1;1000152;33464;22/01/2017
D1;1000154;33466;22/01/2017
D1;1000156;33468;22/01/2017
RD;1000158;33470;22/01/2017
RD;1000160;33472;22/01/2017
RD;1000162;33474;22/01/2017
RD;1000164;33476;22/01/2017
RD;1000166;33478;22/01/2017
RD;1000168;33480;22/01/2017
PO;1000170;40002;22/01/2017
RD;1000171;33482;22/01/2017
PO;1000173;40004;22/01/2017
RD;1000174;33484;22/01/2017
PO;1000176;40006;22/01/2017
RD;1000177;33486;22/01/2017
PO;1000180;40008;22/01/2017
RD;1000181;33488;22/01/2017
PO;1000183;40010;22/01/2017
RD;1000184;33490;22/01/2017
HN;1000186;40012;22/01/2017
RD;1000187;33492;22/01/2017
HN;1000189;40014;22/01/2017
RD;1000190;33494;22/01/2017
PO;1000193;33496;22/01/2017
HN;1000195;40018;22/01/2017
HN;1000198;40020;22/01/2017
HN;1000201;40022;22/01/2017
HN;1000202;33502;22/01/2017
HN;1000204;40024;22/01/2017
HN;1000205;33504;22/01/2017
HN;1000208;33506;22/01/2017
HN;1000211;33508;22/01/2017
SL;1000213;40030;22/01/2017
HN;1000340;38072;22/01/2017
HN;1000343;38074;22/01/2017
CF;1000345;38076;22/01/2017
CF;1000348;38078;22/01/2017
CF;1000351;38080;22/01/2017
CF;1000354;38082;22/01/2017
CF;1000357;38084;22/01/2017
CF;1000360;38086;22/01/2017
CF;1000363;38088;22/01/2017
D1;1000366;38090;22/01/2017
D1;1000369;38092;22/01/2017
D1;1000372;38094;22/01/2017
D1;1000375;38096;22/01/2017
D1;1000377;38098;22/01/2017
D1;1000379;38100;22/01/2017
PO;1000382;33212;22/01/2017
PO;1000389;33224;22/01/2017
HN;1000415;33274;22/01/2017
HN;1000417;33278;22/01/2017
HN;1000418;33280;22/01/2017
CF;1000420;33284;22/01/2017
CF;1000421;33286;22/01/2017
CD;1000422;33288;22/01/2017
CD;1000424;33292;22/01/2017
CD;1000425;33294;22/01/2017
CD;1000426;33296;22/01/2017
SL;1000428;33300;22/01/2017
SL;1000429;33302;22/01/2017
PO;1000431;33306;22/01/2017
PO;1000432;33308;22/01/2017
PO;1000433;33310;22/01/2017
PO;1000435;33314;22/01/2017
CF;1000436;33316;22/01/2017
RD;1000438;33320;22/01/2017
HN;1000440;33322;22/01/2017
HN;1000442;33324;22/01/2017
HN;1000443;33326;22/01/2017
D1;1000446;33330;22/01/2017
D1;1000447;33332;22/01/2017
SL;1000449;33336;22/01/2017
SL;1000451;33338;22/01/2017
