depot;vehicle_id;vehicle_short_name;opd_date
CF;1000110;33416;28/12/2016
HN;1000111;33418;28/12/2016
SL;1000113;33420;28/12/2016
SL;1000115;33422;28/12/2016
SL;1000116;33424;28/12/2016
SL;1000117;33426;28/12/2016
SL;1000118;33428;28/12/2016
PO;1000120;33430;28/12/2016
PO;1000122;33432;28/12/2016
PO;1000124;33434;28/12/2016
PO;1000126;33436;28/12/2016
PO;1000128;33438;28/12/2016
PO;1000130;33440;28/12/2016
PO;1000132;33442;28/12/2016
PO;1000134;33444;28/12/2016
PO;1000135;33446;28/12/2016
HN;1000136;33448;28/12/2016
PO;1000138;33450;28/12/2016
HN;1000140;33452;28/12/2016
HN;1000142;33454;28/12/2016
HN;1000144;33456;28/12/2016
HN;1000146;33458;28/12/2016
RD;1000148;33460;28/12/2016
SL;1000150;33462;28/12/2016
D1;1000152;33464;28/12/2016
D1;1000154;33466;28/12/2016
D1;1000156;33468;28/12/2016
RD;1000158;33470;28/12/2016
RD;1000160;33472;28/12/2016
RD;1000162;33474;28/12/2016
RD;1000164;33476;28/12/2016
RD;1000166;33478;28/12/2016
RD;1000168;33480;28/12/2016
PO;1000170;40002;28/12/2016
RD;1000171;33482;28/12/2016
PO;1000173;40004;28/12/2016
RD;1000174;33484;28/12/2016
PO;1000176;40006;28/12/2016
RD;1000177;33486;28/12/2016
PO;1000180;40008;28/12/2016
RD;1000181;33488;28/12/2016
PO;1000183;40010;28/12/2016
RD;1000184;33490;28/12/2016
HN;1000186;40012;28/12/2016
RD;1000187;33492;28/12/2016
HN;1000189;40014;28/12/2016
RD;1000190;33494;28/12/2016
PO;1000193;33496;28/12/2016
HN;1000195;40018;28/12/2016
HN;1000198;40020;28/12/2016
HN;1000201;40022;28/12/2016
HN;1000202;33502;28/12/2016
HN;1000204;40024;28/12/2016
HN;1000205;33504;28/12/2016
HN;1000208;33506;28/12/2016
HN;1000211;33508;28/12/2016
SL;1000213;40030;28/12/2016
HN;1000340;38072;28/12/2016
HN;1000343;38074;28/12/2016
CF;1000345;38076;28/12/2016
CF;1000348;38078;28/12/2016
CF;1000351;38080;28/12/2016
CF;1000354;38082;28/12/2016
CF;1000357;38084;28/12/2016
CF;1000360;38086;28/12/2016
CF;1000363;38088;28/12/2016
D1;1000366;38090;28/12/2016
D1;1000369;38092;28/12/2016
D1;1000372;38094;28/12/2016
D1;1000375;38096;28/12/2016
D1;1000377;38098;28/12/2016
D1;1000379;38100;28/12/2016
PO;1000381;24246;28/12/2016
PO;1000382;33212;28/12/2016
PO;1000389;33224;28/12/2016
HN;1000415;33274;28/12/2016
HN;1000417;33278;28/12/2016
HN;1000418;33280;28/12/2016
CF;1000420;33284;28/12/2016
CF;1000421;33286;28/12/2016
CD;1000422;33288;28/12/2016
CD;1000424;33292;28/12/2016
CD;1000425;33294;28/12/2016
CD;1000426;33296;28/12/2016
SL;1000428;33300;28/12/2016
SL;1000429;33302;28/12/2016
PO;1000431;33306;28/12/2016
PO;1000432;33308;28/12/2016
PO;1000433;33310;28/12/2016
PO;1000435;33314;28/12/2016
CF;1000436;33316;28/12/2016
RD;1000438;33320;28/12/2016
HN;1000440;33322;28/12/2016
HN;1000442;33324;28/12/2016
HN;1000443;33326;28/12/2016
D1;1000446;33330;28/12/2016
D1;1000447;33332;28/12/2016
SL;1000449;33336;28/12/2016
SL;1000451;33338;28/12/2016
