measure_id;trip_id;line_code;pattern_long_name;point_first;point_last;point_first_seq_no;point_last_seq_no;event_no;regulation_kilometres
484981385219220130;1725447;18;00180001;1311841;375;45;63;;5.028
484981385220193121;1739601;18;00181001;1311823;1311946;0;4;;1.578
484981385220175317;947873;83;00831001;1136124;1013720;65;67;;-4.054
484981385220056513;2765005;83;00831001;1136107;1001436;0;26;;6.478
484981385218839679;2024656;83;00831001;1136124;1510369;65;66;;3.92
484981385219944532;2760108;83;00831001;1136124;1510369;65;66;;3.92
484981385218839679;918436;83;00831001;1136124;1013720;65;67;;-4.054
484981385219944532;959762;83;00831001;1136124;1013720;65;67;;-4.054
484981385218782522;914549;83;00831001;1136108;1013720;64;67;;-5.177
484981385219869632;2764672;83;00830001;1013514;1051568;0;28;;13.364
484981385218538873;2764663;83;00830001;1009891;1136107;37;66;;7.249
484981385218787555;;83;00831001;1136107;1013720;0;67;;24.002
484981385218788212;962092;83;00831001;1136107;1013720;0;67;;-24.002
484981385218787497;2756505;83;00830001;1013514;185;0;26;;12.748
484981385218782522;2756503;83;00831001;1136108;1510369;64;66;;5.043
484981385220007928;901053;83;00831001;1510369;1013720;66;67;;-.134
484981385220007928;2766046;83;00831001;1510369;1510369;66;66;;0
484981385218787965;2029182;83;00831001;1136107;1013720;0;67;;24.002
484981385219993996;2749730;83;00831001;1136107;1192989;0;29;;7.979
484981385219219575;2749726;83;083A0001;1013514;185;0;30;;12.463
484981385218798689;2749721;83;00831001;1136135;1510369;63;66;;5.407
484981385218798689;901986;83;00831001;1136135;1013720;63;67;;-5.541
484981385220175317;2759080;83;00831001;1136124;1510369;65;66;;3.92
484981385220129807;1756171;120;01201001;1258022;1257968;0;23;;7.575
484981385218737513;;120;01201001;1258022;1257968;0;23;;7.575
484981385219869062;2749891;122;01221001;1001400;1001432;0;18;;4.904
484981385219933812;2750189;122;01220001;1001398;1051660;0;19;;5.982
484981385220056867;2751289;122;01220001;1278;1001399;22;49;;7.317
484981385219805528;2751287;122;01221001;1001400;1001436;0;27;;7.222
484981385219868992;2755734;122;01220001;1001398;1051660;0;19;;5.982
484981385219805751;2766085;122;01220001;1001398;1051660;0;19;;5.982
484981385219805898;2753908;122;01221001;1311893;1001401;30;51;;6.686
484981385220129750;2754966;122;01220001;1001398;1051660;0;19;;5.982
484981385218884945;2754953;122;01221001;1051623;1001401;31;51;;6.067
484981385218640196;2752059;123;01230001;1001410;1001408;30;43;;3.573
484981385218640253;2752061;123;01231001;1001394;1001471;0;15;;3.84
484981385220056744;2750120;123;01230001;1467;1378;15;18;;.881
484981385218884764;2760491;123;01230001;4509;1001408;32;43;;2.942
484981385218738204;2760491;123;01230001;1001456;1001458;19;26;;1.848
484981385218640419;2760491;123;01230001;1001405;1378;0;18;;4.479
484981385219994334;2751549;123;01231001;1001394;1065018;0;16;;4.28
